TestNo,TestName,Runtime
1,org.jfree.chart.block.junit.RectangleConstraintTests,1
2,org.jfree.chart.imagemap.junit.DynamicDriveToolTipTagFragmentGeneratorTests,1
3,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests,1
4,org.jfree.chart.imagemap.junit.StandardURLTagFragmentGeneratorTests,1
5,org.jfree.chart.util.junit.HashUtilitiesTests,1
6,org.jfree.chart.util.junit.LineUtilitiesTests,1
7,org.jfree.chart.imagemap.junit.OverLIBToolTipTagFragmentGeneratorTests,2
8,org.jfree.chart.needle.junit.MeterNeedleTests,2
9,org.jfree.data.general.junit.DatasetGroupTests,2
10,org.jfree.data.time.junit.MovingAverageTests,2
11,org.jfree.chart.imagemap.junit.ImageMapUtilitiesTests,3
12,org.jfree.chart.labels.junit.ItemLabelAnchorTests,3
13,org.jfree.chart.plot.junit.PlotOrientationTests,3
14,org.jfree.chart.renderer.junit.AreaRendererEndTypeTests,3
15,org.jfree.chart.title.junit.TitleTests,3
16,org.jfree.chart.urls.junit.StandardXYURLGeneratorTests,3
17,org.jfree.data.statistics.junit.BoxAndWhiskerItemTests,3
18,org.jfree.data.time.junit.TimePeriodAnchorTests,3
19,org.jfree.chart.annotations.junit.TextAnnotationTests,4
20,org.jfree.chart.axis.junit.AxisSpaceTests,4
21,org.jfree.chart.axis.junit.CategoryLabelWidthTypeTests,4
22,org.jfree.chart.axis.junit.DateTickMarkPositionTests,4
23,org.jfree.chart.axis.junit.StandardTickUnitSourceTests,4
24,org.jfree.chart.labels.junit.ItemLabelPositionTests,4
25,org.jfree.chart.renderer.junit.OutlierTests,4
26,org.jfree.data.junit.DomainOrderTests,4
27,org.jfree.data.junit.RangeTypeTests,4
28,org.jfree.data.statistics.junit.BoxAndWhiskerCalculatorTests,4
29,org.jfree.data.statistics.junit.HistogramBinTests,4
30,org.jfree.data.time.ohlc.junit.OHLCTests,4
31,org.jfree.data.xy.junit.OHLCDataItemTests,4
32,org.jfree.data.xy.junit.XYIntervalTests,4
33,org.jfree.data.xy.junit.YIntervalTests,4
34,org.jfree.data.xy.junit.YWithXIntervalTests,4
