MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,LIVE
4,EXC
5,LIVE
6,EXC
7,FAIL
8,FAIL
9,EXC
10,EXC
11,LIVE
12,EXC
13,FAIL
14,EXC
15,FAIL
16,FAIL
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,EXC
24,LIVE
25,EXC
26,EXC
27,EXC
28,EXC
29,FAIL
30,EXC
31,FAIL
32,FAIL
33,EXC
34,FAIL
35,EXC
36,FAIL
37,FAIL
38,LIVE
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,EXC
44,FAIL
45,LIVE
46,FAIL
47,EXC
48,EXC
49,FAIL
50,FAIL
51,EXC
52,LIVE
53,FAIL
54,LIVE
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,EXC
62,LIVE
63,LIVE
64,FAIL
65,LIVE
66,EXC
67,EXC
68,FAIL
69,FAIL
70,EXC
71,EXC
72,FAIL
73,FAIL
74,EXC
75,FAIL
76,EXC
77,FAIL
78,LIVE
79,FAIL
80,EXC
81,FAIL
82,EXC
83,FAIL
84,LIVE
85,FAIL
86,FAIL
87,FAIL
88,LIVE
89,EXC
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,EXC
104,EXC
105,LIVE
106,LIVE
107,EXC
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,EXC
113,LIVE
114,LIVE
115,LIVE
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,EXC
121,FAIL
122,FAIL
123,FAIL
124,LIVE
125,EXC
126,FAIL
127,EXC
128,FAIL
129,FAIL
130,EXC
131,FAIL
132,FAIL
133,FAIL
134,FAIL
135,TIME
136,FAIL
137,FAIL
138,LIVE
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,EXC
149,EXC
150,EXC
151,EXC
152,EXC
153,EXC
154,EXC
155,FAIL
156,FAIL
157,LIVE
158,LIVE
159,LIVE
160,FAIL
161,LIVE
162,FAIL
163,LIVE
164,FAIL
165,FAIL
166,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
178,FAIL
