TestNo,TestName,Runtime
1,com.google.debugging.sourcemap.Base64Test,3
2,com.google.javascript.jscomp.CleanupPassesTest,4
3,com.google.javascript.rhino.jstype.BooleanLiteralSetTest,4
4,com.google.javascript.jscomp.GlobalNamespaceTest,5
5,com.google.javascript.jscomp.GlobalVarReferenceMapTest,6
6,com.google.javascript.jscomp.JsMessageTest,7
7,com.google.javascript.jscomp.DotFormatterTest,8
8,com.google.javascript.jscomp.BasicErrorManagerTest,9
9,com.google.javascript.jscomp.SourceInformationAnnotatorTest,10
10,com.google.javascript.jscomp.graph.GraphReachabilityTest,10
11,com.google.javascript.rhino.jstype.TernaryValueTest,12
12,com.google.debugging.sourcemap.Base64VLQTest,13
13,com.google.javascript.jscomp.graph.GraphPrunerTest,13
14,com.google.javascript.jscomp.LightweightMessageFormatterTest,19
15,com.google.javascript.jscomp.deps.JsFileLineParserTest,19
16,com.google.javascript.rhino.IRTest,19
17,com.google.javascript.jscomp.CheckPathsBetweenNodesTest,20
18,com.google.javascript.jscomp.FixedPointGraphTraversalTest,20
19,com.google.javascript.jscomp.DataFlowAnalysisTest,22
20,com.google.javascript.jscomp.graph.GraphTest,23
21,com.google.javascript.jscomp.CompilerOptionsTest,25
22,com.google.javascript.jscomp.VariableMapTest,25
23,com.google.debugging.sourcemap.SourceMapConsumerV2Test,26
24,com.google.javascript.rhino.JSDocInfoTest,28
25,com.google.javascript.jscomp.graph.StandardUnionFindTest,29
26,com.google.javascript.jscomp.parsing.JsDocTokenStreamTest,29
27,com.google.javascript.jscomp.deps.SortedDependenciesTest,30
28,com.google.javascript.rhino.jstype.FunctionParamBuilderTest,35
29,com.google.javascript.jscomp.regex.CharRangesTest,37
30,com.google.javascript.rhino.jstype.EnumElementTypeTest,37
31,com.google.javascript.rhino.jstype.PrototypeObjectTypeTest,38
32,com.google.javascript.rhino.jstype.NamedTypeTest,41
33,com.google.javascript.jscomp.ConcreteTypeTest,42
34,com.google.javascript.rhino.jstype.ParameterizedTypeTest,44
35,com.google.javascript.jscomp.jsonml.JsonMLValidationTest,45
36,com.google.javascript.jscomp.deps.JsFunctionParserTest,60
37,com.google.javascript.rhino.jstype.UnionTypeBuilderTest,60
38,com.google.javascript.rhino.NodeTest,65
39,com.google.debugging.sourcemap.SourceMapConsumerV1Test,67
40,com.google.javascript.jscomp.XtbMessageBundleTest,69
41,com.google.javascript.jscomp.deps.DepsFileParserTest,69
42,com.google.javascript.jscomp.deps.JsFileParserTest,74
43,com.google.javascript.rhino.jstype.UnionTypeTest,84
44,com.google.javascript.jscomp.DiagnosticGroupTest,87
45,com.google.javascript.rhino.jstype.FunctionTypeTest,89
46,com.google.javascript.rhino.jstype.JSTypeRegistryTest,95
47,com.google.javascript.rhino.jstype.RecordTypeTest,96
48,com.google.javascript.jscomp.JSModuleTest,123
49,com.google.javascript.jscomp.GatherSideEffectSubexpressionsCallbackTest,138
50,com.google.javascript.jscomp.JSModuleGraphTest,141
51,com.google.javascript.jscomp.PrepareAstTest,144
52,com.google.javascript.jscomp.GoogleCodingConventionTest,145
53,com.google.javascript.jscomp.MemoizedScopeCreatorTest,145
54,com.google.javascript.jscomp.JSCompilerSourceExcerptProviderTest,147
55,com.google.javascript.jscomp.PhaseOptimizerTest,153
56,com.google.javascript.jscomp.CombinedCompilerPassTest,154
57,com.google.javascript.jscomp.FunctionNamesTest,155
58,com.google.javascript.jscomp.NodeTraversalTest,156
59,com.google.javascript.jscomp.ClosureOptimizePrimitivesTest,164
60,com.google.javascript.jscomp.VariableVisibilityAnalysisTest,167
61,com.google.javascript.jscomp.InlineCostEstimatorTest,170
62,com.google.javascript.jscomp.DefinitionsRemoverTest,173
63,com.google.javascript.jscomp.ClosureCodingConventionTest,175
64,com.google.javascript.jscomp.MoveFunctionDeclarationsTest,175
65,com.google.javascript.jscomp.JsMessageExtractorTest,177
66,com.google.javascript.jscomp.OptimizeCallsTest,178
67,com.google.javascript.jscomp.SourceMapTest,178
68,com.google.javascript.jscomp.ObjectPropertyStringPreprocessTest,179
69,com.google.javascript.jscomp.RhinoErrorReporterTest,180
70,com.google.javascript.jscomp.graph.GraphColoringTest,182
71,com.google.javascript.jscomp.NodeIteratorsTest,184
72,com.google.javascript.jscomp.DenormalizeTest,186
73,com.google.javascript.jscomp.ClosureCodeRemovalTest,187
74,com.google.javascript.jscomp.DefaultCodingConventionTest,188
75,com.google.javascript.jscomp.CheckDebuggerStatementTest,189
76,com.google.javascript.jscomp.SyntacticScopeCreatorTest,190
77,com.google.javascript.jscomp.jsonml.SecureCompilerTest,192
78,com.google.javascript.jscomp.AstParallelizerTest,194
79,com.google.javascript.jscomp.CheckProvidesTest,195
80,com.google.javascript.jscomp.CheckMissingGetCssNameTest,198
81,com.google.javascript.jscomp.ReplaceMessagesForChromeTest,198
82,com.google.javascript.jscomp.JsMessageVisitorTest,200
83,com.google.javascript.jscomp.SanityCheckTest,204
84,com.google.javascript.jscomp.ObjectPropertyStringPostprocessTest,205
85,com.google.javascript.jscomp.RenameLocalVarsTest,206
86,com.google.javascript.jscomp.parsing.IRFactoryTest,209
87,com.google.javascript.jscomp.SimpleFunctionAliasAnalysisTest,211
88,com.google.javascript.jscomp.GenerateExportsTest,214
89,com.google.javascript.jscomp.CheckRegExpTest,215
90,com.google.javascript.jscomp.MustBeReachingVariableDefTest,217
91,com.google.javascript.jscomp.FunctionArgumentInjectorTest,218
92,com.google.javascript.jscomp.GatherRawExportsTest,219
93,com.google.javascript.jscomp.CreateSyntheticBlocksTest,222
94,com.google.javascript.jscomp.ControlStructureCheckTest,225
95,com.google.javascript.jscomp.MaybeReachingVariableUseTest,225
96,com.google.javascript.jscomp.ConvertToDottedPropertiesTest,227
97,com.google.javascript.jscomp.PeepholeOptimizationsPassTest,229
98,com.google.javascript.jscomp.ChainCallsTest,230
99,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,232
100,com.google.javascript.jscomp.InferJSDocInfoTest,234
101,com.google.javascript.jscomp.RemoveUnusedNamesTest,234
102,com.google.javascript.jscomp.ExpandJqueryAliasesTest,236
103,com.google.javascript.jscomp.RenameLabelsTest,236
104,com.google.javascript.jscomp.AstValidatorTest,241
105,com.google.javascript.jscomp.IgnoreCajaPropertiesTest,241
106,com.google.javascript.jscomp.OptimizeArgumentsArrayTest,241
107,com.google.javascript.jscomp.RecordFunctionInformationTest,244
108,com.google.javascript.jscomp.CheckSideEffectsTest,245
109,com.google.javascript.jscomp.ClosureRewriteClassTest,246
110,com.google.javascript.jscomp.LiveVariableAnalysisTest,248
111,com.google.javascript.jscomp.PeepholeFoldWithTypesTest,250
112,com.google.javascript.jscomp.FunctionTypeBuilderTest,252
113,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest,253
114,com.google.javascript.jscomp.GroupVariableDeclarationsTest,256
115,com.google.debugging.sourcemap.SourceMapGeneratorV2Test,257
116,com.google.javascript.jscomp.ControlFlowAnalysisTest,257
117,com.google.javascript.jscomp.TypeValidatorTest,258
118,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,260
119,com.google.javascript.jscomp.ConstCheckTest,260
120,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,263
121,com.google.javascript.jscomp.NameAnonymousFunctionsTest,265
122,com.google.javascript.jscomp.FunctionToBlockMutatorTest,266
123,com.google.javascript.jscomp.OptimizeReturnsTest,269
124,com.google.javascript.jscomp.RemoveTryCatchTest,270
125,com.google.javascript.jscomp.TransformAMDToCJSModuleTest,274
126,com.google.javascript.jscomp.FunctionRewriterTest,275
127,com.google.javascript.jscomp.InlineVariablesConstantsTest,276
128,com.google.javascript.jscomp.NameAnonymousFunctionsMappedTest,277
129,com.google.javascript.jscomp.ProcessCommonJSModulesTest,278
130,com.google.javascript.jscomp.ExploitAssignsTest,281
131,com.google.javascript.jscomp.ShadowVariablesTest,282
132,com.google.javascript.jscomp.ReplaceCssNamesTest,283
133,com.google.javascript.jscomp.ExportTestFunctionsTest,285
134,com.google.javascript.jscomp.PeepholeCollectPropertyAssignmentsTest,285
135,com.google.javascript.jscomp.VariableReferenceCheckTest,285
136,com.google.javascript.jscomp.RemoveUnusedClassPropertiesTest,286
137,com.google.javascript.jscomp.SpecializeModuleTest,289
138,com.google.javascript.jscomp.VarCheckTest,289
139,com.google.javascript.jscomp.ExtractPrototypeMemberDeclarationsTest,292
140,com.google.javascript.jscomp.CrossModuleMethodMotionTest,294
141,com.google.javascript.jscomp.ReplaceMessagesTest,294
142,com.google.javascript.jscomp.ReplaceIdGeneratorsTest,295
143,com.google.javascript.jscomp.ExpressionDecomposerTest,296
144,com.google.javascript.jscomp.SimpleDefinitionFinderTest,297
145,com.google.javascript.jscomp.CrossModuleCodeMotionTest,298
146,com.google.javascript.jscomp.ProcessDefinesTest,298
147,com.google.javascript.jscomp.CheckUnreachableCodeTest,299
148,com.google.javascript.jscomp.AliasKeywordsTest,300
149,com.google.javascript.jscomp.CompilerTest,301
150,com.google.javascript.jscomp.LinkedFlowScopeTest,315
151,com.google.javascript.jscomp.InlineSimpleMethodsTest,316
152,com.google.javascript.jscomp.InlinePropertiesTest,324
153,com.google.javascript.jscomp.RescopeGlobalSymbolsTest,326
154,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest,327
155,com.google.javascript.jscomp.ProcessTweaksTest,329
156,com.google.javascript.jscomp.ExternExportsPassTest,340
157,com.google.debugging.sourcemap.SourceMapGeneratorV1Test,341
158,com.google.javascript.jscomp.CheckRequiresForConstructorsTest,342
159,com.google.javascript.jscomp.StrictModeCheckTest,342
160,com.google.javascript.jscomp.CollapseAnonymousFunctionsTest,345
161,com.google.javascript.jscomp.CheckGlobalThisTest,350
162,com.google.javascript.jscomp.parsing.ParserTest,350
163,com.google.javascript.jscomp.StatementFusionTest,352
164,com.google.javascript.jscomp.CheckSuspiciousCodeTest,354
165,com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest,366
166,com.google.javascript.jscomp.CheckMissingReturnTest,369
167,com.google.javascript.jscomp.StripCodeTest,371
168,com.google.javascript.jscomp.MinimizeExitPointsTest,373
169,com.google.javascript.jscomp.SideEffectsAnalysisTest,374
170,com.google.javascript.jscomp.TypeCheckFunctionCheckTest,379
171,com.google.javascript.jscomp.RenamePrototypesTest,394
172,com.google.javascript.jscomp.NodeUtilTest,395
173,com.google.javascript.jscomp.CallGraphTest,396
174,com.google.javascript.jscomp.RemoveUnusedPrototypePropertiesTest,396
175,com.google.javascript.jscomp.RenameVarsTest,408
176,com.google.javascript.jscomp.FunctionInjectorTest,415
177,com.google.javascript.jscomp.AliasExternalsTest,419
178,com.google.javascript.jscomp.InstrumentFunctionsTest,420
179,com.google.javascript.jscomp.PeepholeIntegrationTest,423
180,com.google.javascript.jscomp.CoalesceVariableNamesTest,428
181,com.google.javascript.jscomp.AliasStringsTest,429
182,com.google.javascript.jscomp.ScopedAliasesTest,431
183,com.google.javascript.jscomp.MarkNoSideEffectCallsTest,438
184,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest,442
185,com.google.javascript.jscomp.InlineObjectLiteralsTest,444
186,com.google.javascript.jscomp.CheckGlobalNamesTest,454
187,com.google.javascript.jscomp.ReorderConstantExpressionTest,471
188,com.google.javascript.jscomp.RenamePropertiesTest,472
189,com.google.javascript.jscomp.PeepholeSimplifyRegExpTest,477
190,com.google.javascript.jscomp.NormalizeTest,516
191,com.google.javascript.jscomp.ProcessClosurePrimitivesTest,528
192,com.google.javascript.rhino.jstype.JSTypeTest,535
193,com.google.javascript.jscomp.OptimizeParametersTest,554
194,com.google.javascript.jscomp.CodePrinterTest,557
195,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,599
196,com.google.javascript.jscomp.UnreachableCodeEliminationTest,642
197,com.google.javascript.jscomp.TypeInferenceTest,649
198,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,691
199,com.google.javascript.jscomp.jsonml.JsonMLConversionTest,709
200,com.google.javascript.jscomp.AmbiguatePropertiesTest,716
201,com.google.javascript.jscomp.ReplaceStringsTest,717
202,com.google.javascript.jscomp.TightenTypesTest,721
203,com.google.javascript.jscomp.RemoveUnusedVarsTest,725
204,com.google.javascript.jscomp.InlineVariablesTest,744
205,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest,755
206,com.google.javascript.jscomp.TypedScopeCreatorTest,833
207,com.google.javascript.jscomp.RuntimeTypeCheckTest,859
208,com.google.javascript.jscomp.DisambiguatePropertiesTest,888
209,com.google.javascript.jscomp.SymbolTableTest,894
210,com.google.javascript.jscomp.CheckAccessControlsTest,915
211,com.google.javascript.jscomp.CollapsePropertiesTest,957
212,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,988
213,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,991
214,com.google.javascript.jscomp.InlineFunctionsTest,1082
215,com.google.javascript.jscomp.NameAnalyzerTest,1187
216,com.google.javascript.jscomp.IntegrationTest,1382
217,com.google.javascript.jscomp.PeepholeFoldConstantsTest,1649
218,com.google.javascript.jscomp.CommandLineRunnerTest,1667
219,com.google.javascript.jscomp.PureFunctionIdentifierTest,1763
220,com.google.javascript.jscomp.LooseTypeCheckTest,2285
221,com.google.javascript.jscomp.TypeCheckTest,5296
