owner_internal,method,descriptor,total_instructions,changed_instructions,roc
org/apache/commons/codec/binary/StringUtils,<init>,()V,3,0,0.000000
org/apache/commons/codec/binary/StringUtils,equals,(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Z,39,16,0.410256
org/apache/commons/codec/binary/StringUtils,getByteBuffer,(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/nio/ByteBuffer;,9,0,0.000000
org/apache/commons/codec/binary/StringUtils,getByteBufferUtf8,(Ljava/lang/String;)Ljava/nio/ByteBuffer;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytes,(Ljava/lang/String;Ljava/nio/charset/Charset;)[B,8,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesIso8859_1,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUnchecked,(Ljava/lang/String;Ljava/lang/String;)[B,13,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUsAscii,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUtf16,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUtf16Be,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUtf16Le,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,getBytesUtf8,(Ljava/lang/String;)[B,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newIllegalStateException,(Ljava/lang/String;Ljava/io/UnsupportedEncodingException;)Ljava/lang/IllegalStateException;,14,0,0.000000
org/apache/commons/codec/binary/StringUtils,newString,([BLjava/lang/String;)Ljava/lang/String;,15,0,0.000000
org/apache/commons/codec/binary/StringUtils,newString,([BLjava/nio/charset/Charset;)Ljava/lang/String;,10,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringIso8859_1,([B)Ljava/lang/String;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringUsAscii,([B)Ljava/lang/String;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringUtf16,([B)Ljava/lang/String;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringUtf16Be,([B)Ljava/lang/String;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringUtf16Le,([B)Ljava/lang/String;,4,0,0.000000
org/apache/commons/codec/binary/StringUtils,newStringUtf8,([B)Ljava/lang/String;,4,0,0.000000
