TestNo,TestName,Runtime
1,org.apache.commons.codec.digest.B64Test,2
2,org.apache.commons.codec.digest.Sha2CryptTest,2
3,org.apache.commons.codec.net.UtilsTest,2
4,org.apache.commons.codec.net.RFC1522CodecTest,3
5,org.apache.commons.codec.DecoderExceptionTest,4
6,org.apache.commons.codec.EncoderExceptionTest,4
7,org.apache.commons.codec.digest.PureJavaCrc32CTest,4
8,org.apache.commons.codec.language.bm.RuleTest,5
9,org.apache.commons.codec.CharEncodingTest,7
10,org.apache.commons.codec.CharsetsTest,8
11,org.apache.commons.codec.StringEncoderComparatorTest,10
12,org.apache.commons.codec.binary.BaseNCodecTest,10
13,org.apache.commons.codec.digest.UnixCryptTest,10
14,org.apache.commons.codec.language.RefinedSoundexTest,10
15,org.apache.commons.codec.language.DoubleMetaphone2Test,11
16,org.apache.commons.codec.binary.Base64Codec13Test,13
17,org.apache.commons.codec.language.Caverphone1Test,14
18,org.apache.commons.codec.net.BCodecTest,14
19,org.apache.commons.codec.binary.BinaryCodecTest,15
20,org.apache.commons.codec.digest.Md5CryptTest,15
21,org.apache.commons.codec.language.ColognePhoneticTest,15
22,org.apache.commons.codec.language.DaitchMokotoffSoundexTest,15
23,org.apache.commons.codec.net.QCodecTest,15
24,org.apache.commons.codec.net.URLCodecTest,18
25,org.apache.commons.codec.binary.Base32Test,19
26,org.apache.commons.codec.language.Caverphone2Test,20
27,org.apache.commons.codec.language.bm.LanguageGuessingTest,20
28,org.apache.commons.codec.binary.StringUtilsTest,23
29,org.apache.commons.codec.language.NysiisTest,24
30,org.apache.commons.codec.net.QuotedPrintableCodecTest,25
31,org.apache.commons.codec.language.DoubleMetaphoneTest,27
32,org.apache.commons.codec.digest.HmacUtilsTest,29
33,org.apache.commons.codec.language.SoundexTest,30
34,org.apache.commons.codec.digest.CryptTest,32
35,org.apache.commons.codec.digest.Apr1CryptTest,39
36,org.apache.commons.codec.language.MetaphoneTest,40
37,org.apache.commons.codec.digest.Sha256CryptTest,51
38,org.apache.commons.codec.binary.Base32OutputStreamTest,56
39,org.apache.commons.codec.binary.Base64InputStreamTest,57
40,org.apache.commons.codec.digest.Sha512CryptTest,58
41,org.apache.commons.codec.digest.PureJavaCrc32Test,63
42,org.apache.commons.codec.binary.Base64Test,64
43,org.apache.commons.codec.binary.Base64OutputStreamTest,70
44,org.apache.commons.codec.binary.Base32InputStreamTest,95
45,org.apache.commons.codec.language.MatchRatingApproachEncoderTest,98
46,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest,102
47,org.apache.commons.codec.binary.HexTest,136
48,org.apache.commons.codec.digest.DigestUtilsTest,615
49,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest,1042
50,org.apache.commons.codec.digest.HmacAlgorithmsTest,1233
51,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest,3543
