owner_internal,method,descriptor,total_units,sliced_units,probability
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<clinit>,()V,10,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;)V,4,3,0.750000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;)V,5,4,0.800000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;Z)V,6,5,0.833333
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;ZZ)V,40,39,0.975000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$1000,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;I)V,4,4,1.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$800,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;I)V,4,4,1.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$900,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;)Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;,3,3,1.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,bufferContainsSignature,(Ljava/io/ByteArrayOutputStream;III)Z,111,110,0.990991
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,cacheBytesRead,(Ljava/io/ByteArrayOutputStream;III)I,22,21,0.954545
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,canReadEntryData,(Lorg/apache/commons/compress/archivers/ArchiveEntry;)Z,16,15,0.937500
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,checksig,([B[B)Z,14,14,1.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,close,()V,14,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,closeEntry,()V,53,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,currentEntryHasOutstandingBytes,()Z,16,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,drainCurrentEntryData,()V,39,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,fill,()I,23,0,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,findEocdRecord,()V,47,0,0.000000
