owner_internal,method,descriptor,roc,forward_probability,impact_probability
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<clinit>,()V,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;)V,0.000000,0.750000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;)V,0.000000,0.800000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;Z)V,0.000000,0.833333,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,<init>,(Ljava/io/InputStream;Ljava/lang/String;ZZ)V,0.000000,0.975000,0.064516
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$1000,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;I)V,0.000000,1.000000,0.026882
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$800,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;I)V,0.000000,1.000000,0.021505
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,access$900,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;)Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;,0.000000,1.000000,0.032258
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,bufferContainsSignature,(Ljava/io/ByteArrayOutputStream;III)Z,0.000000,0.990991,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,cacheBytesRead,(Ljava/io/ByteArrayOutputStream;III)I,0.000000,0.954545,0.021356
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,canReadEntryData,(Lorg/apache/commons/compress/archivers/ArchiveEntry;)Z,0.000000,0.937500,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,checksig,([B[B)Z,0.000000,1.000000,0.032258
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,close,()V,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,closeEntry,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,currentEntryHasOutstandingBytes,()Z,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,drainCurrentEntryData,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,fill,()I,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,findEocdRecord,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,getBytesInflated,()J,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,getNextEntry,()Lorg/apache/commons/compress/archivers/ArchiveEntry;,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,getNextZipEntry,()Lorg/apache/commons/compress/archivers/zip/ZipArchiveEntry;,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,isFirstByteOfEocdSig,(I)Z,0.000000,0.900000,0.032258
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,matches,([BI)Z,0.000000,1.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,processZip64Extra,(Lorg/apache/commons/compress/archivers/zip/ZipLong;Lorg/apache/commons/compress/archivers/zip/ZipLong;)V,0.000000,0.977273,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,pushback,([BII)V,0.000000,0.900000,0.041480
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,read,([BII)I,0.000000,0.990000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readDataDescriptor,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readDeflated,([BII)I,0.000000,0.956522,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readFirstLocalFileHeader,([B)V,0.000000,0.950000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readFromInflater,([BII)I,0.000000,0.972222,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readFully,([B)V,0.000000,0.909091,0.044861
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readOneByte,()I,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readStored,([BII)I,0.000000,0.984615,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,readStoredEntry,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,realSkip,(J)V,0.000000,0.972222,0.028425
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,skip,(J)J,0.000000,0.970588,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,skipRemainderOfArchive,()V,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,supportsCompressedSizeFor,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveEntry;)Z,0.000000,0.954545,0.025974
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,supportsDataDescriptorFor,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveEntry;)Z,0.000000,0.947368,0.025900
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$1,<clinit>,()V,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,<init>,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream;Ljava/io/InputStream;J)V,0.000000,0.900000,0.017028
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,available,()I,0.000000,0.000000,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,read,()I,0.000000,0.000000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,read,([B)I,0.000000,0.800000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,read,([BII)I,0.000000,0.977273,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$BoundedInputStream,skip,(J)J,0.000000,0.944444,0.016129
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,<init>,()V,0.000000,0.000000,0.033007
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,<init>,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$1;)V,0.000000,0.750000,0.000000
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$100,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)Lorg/apache/commons/compress/archivers/zip/ZipArchiveEntry;,0.000000,1.000000,0.101533
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$200,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)Z,0.000000,1.000000,0.029857
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$202,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;Z)Z,0.000000,1.000000,0.017128
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$300,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)Ljava/io/InputStream;,0.000000,1.000000,0.017962
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$302,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;Ljava/io/InputStream;)Ljava/io/InputStream;,0.000000,1.000000,0.021122
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$400,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)Z,0.000000,1.000000,0.021605
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$402,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;Z)Z,0.000000,1.000000,0.018573
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$500,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)Ljava/util/zip/CRC32;,0.000000,1.000000,0.017962
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$600,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)J,0.000000,1.000000,0.026162
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$614,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;J)J,0.000000,1.000000,0.018691
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$700,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)J,0.000000,1.000000,0.045358
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$708,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;)J,0.000000,1.000000,0.021505
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$714,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;J)J,0.000000,1.000000,0.063455
org/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry,access$722,(Lorg/apache/commons/compress/archivers/zip/ZipArchiveInputStream$CurrentEntry;J)J,0.000000,1.000000,0.018477
