owner_internal,method,descriptor,total_units,sliced_units,probability
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)V,5,4,0.800000
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;JJ)V,29,28,0.965517
org/apache/commons/csv/CSVParser,addRecordValue,(Z)V,29,28,0.965517
org/apache/commons/csv/CSVParser,close,()V,6,0,0.000000
org/apache/commons/csv/CSVParser,getCurrentLineNumber,()J,4,0,0.000000
org/apache/commons/csv/CSVParser,getFirstEndOfLine,()Ljava/lang/String;,4,0,0.000000
org/apache/commons/csv/CSVParser,getHeaderMap,()Ljava/util/Map;,9,0,0.000000
org/apache/commons/csv/CSVParser,getRecordNumber,()J,3,0,0.000000
org/apache/commons/csv/CSVParser,getRecords,()Ljava/util/List;,8,0,0.000000
org/apache/commons/csv/CSVParser,initializeHeader,()Ljava/util/Map;,63,0,0.000000
org/apache/commons/csv/CSVParser,isClosed,()Z,4,0,0.000000
org/apache/commons/csv/CSVParser,iterator,()Ljava/util/Iterator;,3,0,0.000000
org/apache/commons/csv/CSVParser,nextRecord,()Lorg/apache/commons/csv/CSVRecord;,88,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/File;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,12,12,1.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/InputStream;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,9,9,1.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,5,5,1.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/lang/String;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,9,9,1.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/net/URL;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,12,12,1.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/nio/file/Path;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,8,8,1.000000
org/apache/commons/csv/CSVParser$1,<clinit>,()V,35,0,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,<init>,(Lorg/apache/commons/csv/CSVParser;)V,5,4,0.800000
org/apache/commons/csv/CSVParser$CSVRecordIterator,getNextRecord,()Lorg/apache/commons/csv/CSVRecord;,17,0,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,hasNext,()Z,15,0,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,next,()Ljava/lang/Object;,3,0,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,next,()Lorg/apache/commons/csv/CSVRecord;,17,0,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,remove,()V,4,0,0.000000
