owner_internal,method,descriptor,roc,forward_probability,impact_probability
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)V,0.000000,0.800000,0.000000
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;JJ)V,0.000000,0.965517,0.000000
org/apache/commons/csv/CSVParser,addRecordValue,(Z)V,0.000000,0.965517,0.240000
org/apache/commons/csv/CSVParser,close,()V,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,getCurrentLineNumber,()J,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,getFirstEndOfLine,()Ljava/lang/String;,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,getHeaderMap,()Ljava/util/Map;,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,getRecordNumber,()J,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,getRecords,()Ljava/util/List;,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser,initializeHeader,()Ljava/util/Map;,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser,isClosed,()Z,0.000000,0.000000,0.080000
org/apache/commons/csv/CSVParser,iterator,()Ljava/util/Iterator;,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser,nextRecord,()Lorg/apache/commons/csv/CSVRecord;,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/File;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/InputStream;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/lang/String;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/net/URL;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/nio/file/Path;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,0.000000,1.000000,0.000000
org/apache/commons/csv/CSVParser$1,<clinit>,()V,0.000000,0.000000,0.040000
org/apache/commons/csv/CSVParser$CSVRecordIterator,<init>,(Lorg/apache/commons/csv/CSVParser;)V,0.000000,0.800000,0.360000
org/apache/commons/csv/CSVParser$CSVRecordIterator,getNextRecord,()Lorg/apache/commons/csv/CSVRecord;,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,hasNext,()Z,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,next,()Ljava/lang/Object;,0.000000,0.000000,0.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,remove,()V,0.000000,0.000000,0.040000
