owner_internal,method,descriptor,total_instructions,changed_instructions,roc
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)V,7,0,0.000000
org/apache/commons/csv/CSVParser,<init>,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;JJ)V,50,17,0.340000
org/apache/commons/csv/CSVParser,addRecordValue,(Z)V,40,0,0.000000
org/apache/commons/csv/CSVParser,close,()V,7,0,0.000000
org/apache/commons/csv/CSVParser,getCurrentLineNumber,()J,4,0,0.000000
org/apache/commons/csv/CSVParser,getFirstEndOfLine,()Ljava/lang/String;,4,0,0.000000
org/apache/commons/csv/CSVParser,getHeaderMap,()Ljava/util/Map;,11,0,0.000000
org/apache/commons/csv/CSVParser,getRecordNumber,()J,3,0,0.000000
org/apache/commons/csv/CSVParser,getRecords,()Ljava/util/List;,16,0,0.000000
org/apache/commons/csv/CSVParser,initializeHeader,()Ljava/util/Map;,105,0,0.000000
org/apache/commons/csv/CSVParser,isClosed,()Z,4,0,0.000000
org/apache/commons/csv/CSVParser,iterator,()Ljava/util/Iterator;,3,3,1.000000
org/apache/commons/csv/CSVParser,nextRecord,()Lorg/apache/commons/csv/CSVRecord;,139,1,0.007194
org/apache/commons/csv/CSVParser,parse,(Ljava/io/File;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,19,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/InputStream;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,14,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,6,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/lang/String;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,15,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/net/URL;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,20,0,0.000000
org/apache/commons/csv/CSVParser,parse,(Ljava/nio/file/Path;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;,12,0,0.000000
org/apache/commons/csv/CSVParser$1,<clinit>,()V,40,40,1.000000
org/apache/commons/csv/CSVParser$1,<init>,(Lorg/apache/commons/csv/CSVParser;)V,6,6,1.000000
org/apache/commons/csv/CSVParser$1,getNextRecord,()Lorg/apache/commons/csv/CSVRecord;,23,23,1.000000
org/apache/commons/csv/CSVParser$1,hasNext,()Z,20,20,1.000000
org/apache/commons/csv/CSVParser$1,next,()Ljava/lang/Object;,3,3,1.000000
org/apache/commons/csv/CSVParser$1,next,()Lorg/apache/commons/csv/CSVRecord;,29,29,1.000000
org/apache/commons/csv/CSVParser$1,remove,()V,4,4,1.000000
org/apache/commons/csv/CSVParser$2,<clinit>,()V,40,40,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,<init>,(Lorg/apache/commons/csv/CSVParser;)V,6,6,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,getNextRecord,()Lorg/apache/commons/csv/CSVRecord;,23,23,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,hasNext,()Z,20,20,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,next,()Ljava/lang/Object;,3,3,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,next,()Lorg/apache/commons/csv/CSVRecord;,29,29,1.000000
org/apache/commons/csv/CSVParser$CSVRecordIterator,remove,()V,4,4,1.000000
