MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,EXC
2,EXC
3,UNCOV
4,UNCOV
5,UNCOV
6,UNCOV
7,EXC
8,LIVE
9,LIVE
10,TIME
11,TIME
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,EXC
17,EXC
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,EXC
28,FAIL
29,TIME
30,LIVE
31,EXC
32,FAIL
33,FAIL
34,EXC
35,FAIL
36,FAIL
37,EXC
38,LIVE
39,EXC
40,EXC
41,FAIL
42,EXC
43,EXC
44,EXC
45,EXC
46,EXC
47,EXC
48,EXC
49,EXC
50,LIVE
51,EXC
52,FAIL
53,EXC
54,FAIL
55,EXC
56,LIVE
57,EXC
58,EXC
59,EXC
60,EXC
61,EXC
62,EXC
63,EXC
64,EXC
65,LIVE
66,FAIL
67,FAIL
68,LIVE
69,EXC
70,EXC
71,FAIL
72,EXC
73,EXC
74,EXC
75,EXC
76,FAIL
77,EXC
78,FAIL
79,FAIL
80,EXC
81,FAIL
82,EXC
83,FAIL
84,EXC
85,EXC
86,FAIL
87,FAIL
88,EXC
89,FAIL
90,FAIL
91,EXC
92,FAIL
93,EXC
94,TIME
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,EXC
100,LIVE
101,FAIL
102,EXC
103,EXC
104,FAIL
105,FAIL
106,EXC
107,FAIL
108,EXC
109,EXC
110,FAIL
111,EXC
112,EXC
