owner_internal,method,descriptor,total_units,sliced_units,probability
com/google/gson/internal/$Gson$Types,<clinit>,()V,3,0,0.000000
com/google/gson/internal/$Gson$Types,<init>,()V,5,0,0.000000
com/google/gson/internal/$Gson$Types,arrayOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/GenericArrayType;,4,4,1.000000
com/google/gson/internal/$Gson$Types,canonicalize,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,39,39,1.000000
com/google/gson/internal/$Gson$Types,checkNotPrimitive,(Ljava/lang/reflect/Type;)V,11,11,1.000000
com/google/gson/internal/$Gson$Types,declaringClassOf,(Ljava/lang/reflect/TypeVariable;)Ljava/lang/Class;,8,8,1.000000
com/google/gson/internal/$Gson$Types,equal,(Ljava/lang/Object;Ljava/lang/Object;)Z,10,10,1.000000
com/google/gson/internal/$Gson$Types,equals,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;)Z,80,80,1.000000
com/google/gson/internal/$Gson$Types,getArrayComponentType,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,9,9,1.000000
com/google/gson/internal/$Gson$Types,getCollectionElementType,(Ljava/lang/reflect/Type;Ljava/lang/Class;)Ljava/lang/reflect/Type;,16,16,1.000000
com/google/gson/internal/$Gson$Types,getGenericSupertype,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/reflect/Type;,41,41,1.000000
com/google/gson/internal/$Gson$Types,getMapKeyAndValueTypes,(Ljava/lang/reflect/Type;Ljava/lang/Class;)[Ljava/lang/reflect/Type;,17,17,1.000000
com/google/gson/internal/$Gson$Types,getRawType,(Ljava/lang/reflect/Type;)Ljava/lang/Class;,46,46,1.000000
com/google/gson/internal/$Gson$Types,getSupertype,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/reflect/Type;,13,13,1.000000
com/google/gson/internal/$Gson$Types,hashCodeOrZero,(Ljava/lang/Object;)I,6,6,1.000000
com/google/gson/internal/$Gson$Types,indexOf,([Ljava/lang/Object;Ljava/lang/Object;)I,14,14,1.000000
com/google/gson/internal/$Gson$Types,newParameterizedTypeWithOwner,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)Ljava/lang/reflect/ParameterizedType;,6,6,1.000000
com/google/gson/internal/$Gson$Types,resolve,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,7,7,1.000000
com/google/gson/internal/$Gson$Types,resolve,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/Type;Ljava/util/Collection;)Ljava/lang/reflect/Type;,95,95,1.000000
com/google/gson/internal/$Gson$Types,resolveTypeVariable,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/TypeVariable;)Ljava/lang/reflect/Type;,16,16,1.000000
com/google/gson/internal/$Gson$Types,subtypeOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,13,13,1.000000
com/google/gson/internal/$Gson$Types,supertypeOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,14,14,1.000000
com/google/gson/internal/$Gson$Types,typeToString,(Ljava/lang/reflect/Type;)Ljava/lang/String;,8,8,1.000000
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,<init>,(Ljava/lang/reflect/Type;)V,6,5,0.833333
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,equals,(Ljava/lang/Object;)Z,11,10,0.909091
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,getGenericComponentType,()Ljava/lang/reflect/Type;,3,0,0.000000
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,hashCode,()I,4,0,0.000000
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,toString,()Ljava/lang/String;,9,0,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,<init>,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V,50,49,0.980000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,equals,(Ljava/lang/Object;)Z,11,10,0.909091
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getActualTypeArguments,()[Ljava/lang/reflect/Type;,5,0,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getOwnerType,()Ljava/lang/reflect/Type;,3,0,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getRawType,()Ljava/lang/reflect/Type;,3,0,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,hashCode,()I,10,0,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,toString,()Ljava/lang/String;,31,0,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,<init>,([Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V,42,41,0.976190
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,equals,(Ljava/lang/Object;)Z,11,10,0.909091
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,getLowerBounds,()[Ljava/lang/reflect/Type;,9,0,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,getUpperBounds,()[Ljava/lang/reflect/Type;,5,0,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,hashCode,()I,13,0,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,toString,()Ljava/lang/String;,22,0,0.000000
