owner_internal,method,descriptor,roc,forward_probability,impact_probability
com/google/gson/internal/$Gson$Types,<clinit>,()V,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types,<init>,()V,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types,arrayOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/GenericArrayType;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,canonicalize,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.002859
com/google/gson/internal/$Gson$Types,checkNotPrimitive,(Ljava/lang/reflect/Type;)V,0.000000,1.000000,0.285319
com/google/gson/internal/$Gson$Types,declaringClassOf,(Ljava/lang/reflect/TypeVariable;)Ljava/lang/Class;,0.000000,1.000000,0.037263
com/google/gson/internal/$Gson$Types,equal,(Ljava/lang/Object;Ljava/lang/Object;)Z,0.000000,1.000000,0.121951
com/google/gson/internal/$Gson$Types,equals,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;)Z,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,getArrayComponentType,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.024390
com/google/gson/internal/$Gson$Types,getCollectionElementType,(Ljava/lang/reflect/Type;Ljava/lang/Class;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,getGenericSupertype,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.073848
com/google/gson/internal/$Gson$Types,getMapKeyAndValueTypes,(Ljava/lang/reflect/Type;Ljava/lang/Class;)[Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,getRawType,(Ljava/lang/reflect/Type;)Ljava/lang/Class;,0.000000,1.000000,0.024390
com/google/gson/internal/$Gson$Types,getSupertype,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,hashCodeOrZero,(Ljava/lang/Object;)I,0.000000,1.000000,0.048780
com/google/gson/internal/$Gson$Types,indexOf,([Ljava/lang/Object;Ljava/lang/Object;)I,0.000000,1.000000,0.037263
com/google/gson/internal/$Gson$Types,newParameterizedTypeWithOwner,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)Ljava/lang/reflect/ParameterizedType;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,resolve,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,resolve,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/Type;Ljava/util/Collection;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,resolveTypeVariable,(Ljava/lang/reflect/Type;Ljava/lang/Class;Ljava/lang/reflect/TypeVariable;)Ljava/lang/reflect/Type;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,subtypeOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,supertypeOf,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,0.000000,1.000000,0.000000
com/google/gson/internal/$Gson$Types,typeToString,(Ljava/lang/reflect/Type;)Ljava/lang/String;,0.000000,1.000000,0.097561
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,<init>,(Ljava/lang/reflect/Type;)V,0.000000,0.833333,0.001137
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,equals,(Ljava/lang/Object;)Z,0.000000,0.909091,0.000000
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,getGenericComponentType,()Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,hashCode,()I,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$GenericArrayTypeImpl,toString,()Ljava/lang/String;,0.000000,0.000000,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,<init>,(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V,0.000000,0.980000,0.000669
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,equals,(Ljava/lang/Object;)Z,0.000000,0.909091,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getActualTypeArguments,()[Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getOwnerType,()Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,getRawType,()Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,hashCode,()I,0.000000,0.000000,0.000000
com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,toString,()Ljava/lang/String;,0.000000,0.000000,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,<init>,([Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V,0.000000,0.976190,0.000666
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,equals,(Ljava/lang/Object;)Z,0.000000,0.909091,0.000000
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,getLowerBounds,()[Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,getUpperBounds,()[Ljava/lang/reflect/Type;,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,hashCode,()I,0.000000,0.000000,0.024390
com/google/gson/internal/$Gson$Types$WildcardTypeImpl,toString,()Ljava/lang/String;,0.000000,0.000000,0.000000
