owner_internal,method,descriptor,total_units,sliced_units,probability
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,<clinit>,()V,26,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,<init>,(Lcom/fasterxml/jackson/core/io/IOContext;ILcom/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer;)V,8,7,0.875000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeCharEscape,()I,10,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeEscaped,()C,3,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeFastCharEscape,()I,66,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitEscaped,(II)I,72,71,0.986111
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitMultiByte,(IIZ)Z,65,64,0.984615
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitUTF8_3,(III)Z,38,37,0.973684
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitUTF8_4,(III)Z,71,70,0.985915
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_2,(II)I,13,12,0.923077
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_3,(III)I,22,21,0.954545
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_4,(IIII)I,32,31,0.968750
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_fastParseName,()Ljava/lang/String;,83,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishAposName,(III)Lcom/fasterxml/jackson/core/JsonToken;,126,125,0.992063
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishAposString,()Lcom/fasterxml/jackson/core/JsonToken;,141,0,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishBOM,(I)Lcom/fasterxml/jackson/core/JsonToken;,37,36,0.972973
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishCComment,(IZ)Lcom/fasterxml/jackson/core/JsonToken;,57,56,0.982456
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishCppComment,(I)Lcom/fasterxml/jackson/core/JsonToken;,42,41,0.976190
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishErrorToken,()Lcom/fasterxml/jackson/core/JsonToken;,25,0,0.000000
