owner_internal,method,descriptor,roc,forward_probability,impact_probability
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,<clinit>,()V,0.000000,0.000000,0.009091
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,<init>,(Lcom/fasterxml/jackson/core/io/IOContext;ILcom/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer;)V,0.000000,0.875000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeCharEscape,()I,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeEscaped,()C,0.000000,0.000000,0.009091
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeFastCharEscape,()I,0.000000,0.000000,0.009091
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitEscaped,(II)I,0.000000,0.986111,0.075022
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitMultiByte,(IIZ)Z,0.000000,0.984615,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitUTF8_3,(III)Z,0.000000,0.973684,0.014067
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeSplitUTF8_4,(III)Z,0.000000,0.985915,0.014129
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_2,(II)I,0.000000,0.923077,0.022570
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_3,(III)I,0.000000,0.954545,0.018151
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_decodeUTF8_4,(IIII)I,0.000000,0.968750,0.018286
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_fastParseName,()Ljava/lang/String;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishAposName,(III)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.992063,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishAposString,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishBOM,(I)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.972973,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishCComment,(IZ)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.982456,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishCppComment,(I)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.976190,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishErrorToken,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000001
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishErrorTokenWithEOF,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishFieldWithEscape,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishFloatExponent,(ZI)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.984375,0.018860
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishFloatFraction,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishHashComment,(I)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.978723,0.000001
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishKeywordToken,(Ljava/lang/String;ILcom/fasterxml/jackson/core/JsonToken;)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.974359,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishKeywordTokenWithEOF,(Ljava/lang/String;ILcom/fasterxml/jackson/core/JsonToken;)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.916667,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNonStdToken,(II)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.975610,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNonStdTokenWithEOF,(II)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.916667,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNumberIntegralPart,([CI)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.985294,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNumberLeadingNegZeroes,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNumberLeadingZeroes,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishNumberMinus,(I)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.952381,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishRegularString,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishToken,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishTokenWithEOF,()Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.000000,0.000000
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_finishUnquotedName,(III)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.984375,0.015942
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser,_handleOddName,(I)Lcom/fasterxml/jackson/core/JsonToken;,0.000000,0.968750,0.000000
