TestNo,TestName,Runtime
1,com.fasterxml.jackson.core.io.TestCharTypes,1
2,com.fasterxml.jackson.core.io.TestIOContext,1
3,com.fasterxml.jackson.core.util.ByteArrayBuilderTest,1
4,com.fasterxml.jackson.core.util.TestCharTypes,1
5,com.fasterxml.jackson.core.format.DataFormatMatcherTest,2
6,com.fasterxml.jackson.core.io.SegmentedStringWriterTest,2
7,com.fasterxml.jackson.core.io.TestMergedStream,2
8,com.fasterxml.jackson.core.util.SeparatorsTest,3
9,com.fasterxml.jackson.core.util.TestSerializedString,3
10,com.fasterxml.jackson.core.JsonpCharacterEscapesTest,4
11,com.fasterxml.jackson.core.json.JsonReadContextTest,4
12,com.fasterxml.jackson.core.json.TestUnicode,4
13,com.fasterxml.jackson.core.type.TypeReferenceTest,4
14,com.fasterxml.jackson.core.util.DefaultIndenterTest,4
15,com.fasterxml.jackson.core.util.VersionUtilTest,4
16,com.fasterxml.jackson.core.TestVersions,5
17,com.fasterxml.jackson.core.VersionTest,5
18,com.fasterxml.jackson.core.json.GeneratorFailTest,5
19,com.fasterxml.jackson.core.json.LocationInArrayTest,5
20,com.fasterxml.jackson.core.json.LocationInObjectTest,5
21,com.fasterxml.jackson.core.json.TestParserOverrides,5
22,com.fasterxml.jackson.core.util.RequestPayloadTest,5
23,com.fasterxml.jackson.core.io.UTF8WriterTest,6
24,com.fasterxml.jackson.core.json.GeneratorFailFromReaderTest,6
25,com.fasterxml.jackson.core.json.LocationOffsetsTest,6
26,com.fasterxml.jackson.core.json.TestDecorators,6
27,com.fasterxml.jackson.core.json.TestGeneratorDupHandling,6
28,com.fasterxml.jackson.core.json.TestMaxErrorSize,6
29,com.fasterxml.jackson.core.json.async.AsyncLocationTest,6
30,com.fasterxml.jackson.core.main.TestGeneratorArray,6
31,com.fasterxml.jackson.core.main.TestGeneratorCopy,6
32,com.fasterxml.jackson.core.read.DataInputTest,6
33,com.fasterxml.jackson.core.read.ParserSymbolHandlingTest,6
34,com.fasterxml.jackson.core.read.UTF32ParseTest,6
35,com.fasterxml.jackson.core.sym.TestHashCollisionChars,6
36,com.fasterxml.jackson.core.sym.TestSymbolsWithMediaItem,6
37,com.fasterxml.jackson.core.format.TestJsonFormatDetection,7
38,com.fasterxml.jackson.core.json.ParserSequenceTest,7
39,com.fasterxml.jackson.core.json.TestCustomEscaping,7
40,com.fasterxml.jackson.core.json.async.ConfigTest,7
41,com.fasterxml.jackson.core.main.TestParserWithObjects,7
42,com.fasterxml.jackson.core.sym.TestByteBasedSymbols,7
43,com.fasterxml.jackson.core.util.TestVersionUtil,7
44,com.fasterxml.jackson.core.TestLocation,8
45,com.fasterxml.jackson.core.base64.Base64CodecTest,8
46,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest,8
47,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest,8
48,com.fasterxml.jackson.core.json.async.AsyncScopeMatchingTest,8
49,com.fasterxml.jackson.core.main.TestGeneratorClosing,8
50,com.fasterxml.jackson.core.main.TestGeneratorObject,8
51,com.fasterxml.jackson.core.read.ValueConversionsTest,8
52,com.fasterxml.jackson.core.util.TestDelegates,8
53,com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest,9
54,com.fasterxml.jackson.core.json.async.AsyncNumberLeadingZeroesTest,9
55,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest,9
56,com.fasterxml.jackson.core.main.TestParserClosing,9
57,com.fasterxml.jackson.core.main.TestParserFeatures,9
58,com.fasterxml.jackson.core.main.TestParserLinefeeds,9
59,com.fasterxml.jackson.core.sym.SymbolTableMergingTest,9
60,com.fasterxml.jackson.core.PointerFromContextTest,10
61,com.fasterxml.jackson.core.json.JsonFactoryTest,10
62,com.fasterxml.jackson.core.json.TestGeneratorWithSerializedString,10
63,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest,10
64,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest,10
65,com.fasterxml.jackson.core.read.ParserErrorHandlingTest,10
66,com.fasterxml.jackson.core.TestExceptions,11
67,com.fasterxml.jackson.core.TestJsonPointer,11
68,com.fasterxml.jackson.core.json.RawValueWithSurrogatesTest,11
69,com.fasterxml.jackson.core.json.RequestPayloadOnExceptionTest,11
70,com.fasterxml.jackson.core.json.TestUtf8Generator,11
71,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest,11
72,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest,11
73,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest,11
74,com.fasterxml.jackson.core.json.async.AsyncStringObjectTest,11
75,com.fasterxml.jackson.core.main.TestArrayParsing,11
76,com.fasterxml.jackson.core.read.ParserDupHandlingTest,11
77,com.fasterxml.jackson.core.read.ParserScopeMatchingTest,11
78,com.fasterxml.jackson.core.sym.SymbolsViaParserTest,11
79,com.fasterxml.jackson.core.util.TestDefaultPrettyPrinter,11
80,com.fasterxml.jackson.core.base64.Base64GenerationTest,12
81,com.fasterxml.jackson.core.filter.JsonPointerGeneratorFilteringTest,12
82,com.fasterxml.jackson.core.json.JsonParserClosedCaseTest,12
83,com.fasterxml.jackson.core.json.TestCharEscaping,12
84,com.fasterxml.jackson.core.json.TestRootValues,12
