owner_internal,method,descriptor,total_units,sliced_units,probability
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,<init>,(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;)V,6,5,0.833333
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,<init>,(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)V,12,11,0.916667
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,createContextual,(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanProperty;)Lcom/fasterxml/jackson/databind/JsonDeserializer;,39,38,0.974359
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/lang/Object;,5,4,0.800000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/util/Collection;,16,15,0.937500
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/lang/Object;)Ljava/lang/Object;,7,6,0.857143
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;)Ljava/util/Collection;,40,39,0.975000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserializeUsingCustom,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Ljava/util/Collection;,28,27,0.964286
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserializeWithType,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;)Ljava/lang/Object;,6,5,0.833333
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,getContentDeserializer,()Lcom/fasterxml/jackson/databind/JsonDeserializer;,3,0,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,getValueInstantiator,()Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;,3,0,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,handleNonArray,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;)Ljava/util/Collection;,40,39,0.975000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,isCachable,()Z,9,0,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,withResolved,(Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)Lcom/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer;,19,18,0.947368
