owner_internal,method,descriptor,roc,forward_probability,impact_probability
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,<init>,(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;)V,0.000000,0.833333,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,<init>,(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)V,0.000000,0.916667,0.307692
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,createContextual,(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanProperty;)Lcom/fasterxml/jackson/databind/JsonDeserializer;,0.000000,0.974359,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/lang/Object;,0.000000,0.937500,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/lang/Object;)Ljava/lang/Object;,0.000000,0.857143,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserialize,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;)Ljava/util/Collection;,0.000000,0.975000,0.000000
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserializeUsingCustom,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Ljava/util/Collection;,0.000000,0.964286,0.191670
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,deserializeWithType,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;)Ljava/lang/Object;,0.000000,0.833333,0.076923
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,getContentDeserializer,()Lcom/fasterxml/jackson/databind/JsonDeserializer;,0.000000,0.000000,0.076923
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,getValueInstantiator,()Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;,0.000000,0.000000,0.076923
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,handleNonArray,(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/util/Collection;)Ljava/util/Collection;,0.000000,0.975000,0.192945
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,isCachable,()Z,0.000000,0.000000,0.076923
com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer,withResolved,(Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)Lcom/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer;,0.000000,0.947368,0.000000
