MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,LIVE
2,LIVE
3,EXC
4,LIVE
5,EXC
6,LIVE
7,UNCOV
8,EXC
9,LIVE
10,LIVE
11,EXC
12,UNCOV
13,EXC
14,LIVE
15,LIVE
16,EXC
17,LIVE
18,LIVE
19,LIVE
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,EXC
25,EXC
26,EXC
27,UNCOV
28,EXC
29,LIVE
30,EXC
31,EXC
32,UNCOV
33,LIVE
34,LIVE
35,LIVE
36,EXC
37,EXC
38,EXC
39,EXC
40,TIME
41,FAIL
42,EXC
43,EXC
44,FAIL
45,FAIL
46,FAIL
47,UNCOV
48,FAIL
49,TIME
50,TIME
51,FAIL
52,LIVE
53,FAIL
54,FAIL
55,EXC
56,EXC
57,LIVE
58,EXC
59,LIVE
60,LIVE
61,LIVE
62,EXC
63,EXC
64,LIVE
65,EXC
66,LIVE
67,LIVE
68,UNCOV
69,UNCOV
70,EXC
71,FAIL
