TestNo,TestName,Runtime
1,com.fasterxml.jackson.databind.node.JsonNodeFactoryTest,1
2,com.fasterxml.jackson.databind.cfg.DatabindContextTest,2
3,com.fasterxml.jackson.databind.util.NameTransformerTest,2
4,com.fasterxml.jackson.databind.introspect.BeanDescriptionTest,3
5,com.fasterxml.jackson.databind.introspect.PropertyMetadataTest,3
6,com.fasterxml.jackson.databind.node.TextNodeTest,3
7,com.fasterxml.jackson.databind.util.ByteBufferUtilsTest,3
8,com.fasterxml.jackson.databind.util.CompactStringObjectMapTest,3
9,com.fasterxml.jackson.databind.util.EnumValuesTest,3
10,com.fasterxml.jackson.databind.util.JsonParserSequenceTest,3
11,com.fasterxml.jackson.databind.util.RawValueTest,3
12,com.fasterxml.jackson.databind.cfg.SerConfigTest,4
13,com.fasterxml.jackson.databind.deser.creators.FailOnNullCreatorTest,4
14,com.fasterxml.jackson.databind.node.TestDeepCopy,4
15,com.fasterxml.jackson.databind.deser.creators.RequiredCreatorTest,5
16,com.fasterxml.jackson.databind.introspect.TestBuilderMethods,5
17,com.fasterxml.jackson.databind.convert.ScalarConversionTest,6
18,com.fasterxml.jackson.databind.ser.jdk.KeySerializers1679Test,6
19,com.fasterxml.jackson.databind.type.DeprecatedConstructType1456Test,6
20,com.fasterxml.jackson.databind.type.TestTypeBindings,6
21,com.fasterxml.jackson.databind.util.ISO8601DateFormatTest,6
22,com.fasterxml.jackson.databind.misc.BeanPropertyMapTest,7
23,com.fasterxml.jackson.databind.util.ArrayBuildersTest,7
24,com.fasterxml.jackson.databind.util.TestStdDateFormat,7
25,com.fasterxml.jackson.databind.cfg.DeserializationConfigTest,8
26,com.fasterxml.jackson.databind.jsontype.TypeDeserializerTest,8
27,com.fasterxml.jackson.databind.type.TestAnnotatedClass,8
28,com.fasterxml.jackson.databind.util.JSONPObjectTest,8
29,com.fasterxml.jackson.databind.deser.jdk.Base64DecodingTest,9
30,com.fasterxml.jackson.databind.type.TestTypeResolution,9
31,com.fasterxml.jackson.databind.deser.inject.InvalidInjectionTest,10
32,com.fasterxml.jackson.databind.node.POJONodeTest,10
33,com.fasterxml.jackson.databind.type.ContainerTypesTest,10
34,com.fasterxml.jackson.databind.util.BeanUtilTest,10
35,com.fasterxml.jackson.databind.module.SimpleModuleArgCheckTest,11
36,com.fasterxml.jackson.databind.type.TestTypeFactory1604,12
37,com.fasterxml.jackson.databind.util.ClassUtilTest,12
