TestNo,MutantNo
115,1
115,2
115,3
115,4
115,5
115,6
115,8
115,9
115,10
115,11
115,13
115,14
115,15
115,16
115,17
115,18
115,19
115,20
115,21
115,22
115,23
115,24
115,25
115,26
115,28
115,29
115,30
115,31
115,33
115,34
115,35
115,36
115,37
115,38
115,39
115,40
115,41
115,42
151,1
151,2
151,3
151,4
151,5
151,6
151,8
151,9
151,10
151,11
151,13
151,14
151,15
151,16
151,17
151,18
151,19
151,20
151,21
151,22
151,23
151,24
151,25
151,26
151,28
151,29
151,30
151,31
151,33
151,34
151,35
151,36
151,37
151,38
151,39
151,40
151,41
151,42
152,1
152,2
152,3
152,4
152,5
152,6
152,8
152,9
152,10
152,11
152,13
152,14
152,15
152,16
152,17
152,18
152,19
152,20
152,21
152,22
152,23
152,24
152,26
152,28
152,29
152,30
152,31
152,33
152,34
152,35
152,36
152,37
152,38
152,39
152,40
152,41
152,42
159,1
159,2
159,3
159,4
159,5
159,6
159,8
159,9
159,10
159,11
159,13
159,14
159,15
159,16
159,17
159,18
159,19
159,20
159,21
159,22
159,23
159,24
159,26
159,28
159,29
159,30
159,31
159,33
159,34
159,35
159,37
159,38
159,39
159,40
159,41
159,42
172,1
172,2
172,3
172,4
172,5
172,6
172,8
172,9
172,10
172,11
172,13
172,14
172,15
172,16
172,17
172,18
172,19
172,20
172,21
172,22
172,23
172,24
172,26
172,28
172,29
172,30
172,31
172,33
172,34
172,35
172,36
172,37
172,38
172,39
172,40
172,41
172,42
176,1
176,2
176,3
176,4
176,5
176,6
176,8
176,9
176,10
176,11
176,13
176,14
176,15
176,16
176,17
176,18
176,19
176,20
176,21
176,22
176,23
176,24
176,26
176,28
176,29
176,30
176,31
176,33
176,34
176,36
176,37
176,38
176,39
176,49
176,50
176,51
176,52
176,53
176,54
197,1
197,2
197,3
197,4
197,5
197,6
197,8
197,9
197,10
197,11
197,13
197,14
197,15
197,16
197,17
197,18
197,19
197,20
197,21
197,22
197,23
197,24
197,26
197,28
197,29
197,30
197,31
197,33
197,34
197,35
197,36
197,37
197,38
197,55
197,56
197,57
197,58
197,59
197,60
197,61
197,62
197,63
197,64
197,65
197,66
