owner_internal,method,descriptor,total_units,sliced_units,probability
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,<init>,(Lcom/fasterxml/jackson/core/io/IOContext;IILcom/fasterxml/jackson/core/ObjectCodec;Ljavax/xml/stream/XMLStreamWriter;)V,34,33,0.970588
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_constructDefaultPrettyPrinter,()Lcom/fasterxml/jackson/core/PrettyPrinter;,4,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_handleEndObject,()V,31,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_handleStartObject,()V,18,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_releaseBuffers,()V,2,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_reportUnimplementedStax2,(Ljava/lang/String;)V,18,17,0.944444
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_verifyValueWrite,(Ljava/lang/String;)V,13,12,0.923077
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,canWriteFormattedNumbers,()Z,2,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,checkNextIsUnwrapped,()Z,6,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,close,()V,39,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,configure,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;Z)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,8,7,0.875000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,disable,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,9,8,0.888889
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,enable,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,7,6,0.857143
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,finishWrappedValue,(Ljavax/xml/namespace/QName;Ljavax/xml/namespace/QName;)V,19,18,0.947368
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,flush,()V,11,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getFormatFeatures,()I,3,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getOutputBuffered,()I,3,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getOutputTarget,()Ljava/lang/Object;,3,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getStaxWriter,()Ljavax/xml/stream/XMLStreamWriter;,4,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,handleMissingName,()V,4,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,inRoot,()Z,4,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,initGenerator,()V,32,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,isEnabled,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Z,10,9,0.900000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,overrideFormatFeatures,(II)Lcom/fasterxml/jackson/core/JsonGenerator;,14,13,0.928571
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextIsAttribute,(Z)V,4,3,0.750000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextIsCData,(Z)V,4,3,0.750000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextIsUnwrapped,(Z)V,4,3,0.750000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextName,(Ljavax/xml/namespace/QName;)V,4,3,0.750000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextNameIfMissing,(Ljavax/xml/namespace/QName;)Z,7,6,0.857143
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setPrettyPrinter,(Lcom/fasterxml/jackson/core/PrettyPrinter;)Lcom/fasterxml/jackson/core/JsonGenerator;,11,10,0.909091
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,startWrappedValue,(Ljavax/xml/namespace/QName;Ljavax/xml/namespace/QName;)V,22,21,0.954545
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,toFullBuffer,(Ljava/io/InputStream;I)[B,22,21,0.954545
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,toFullBuffer,([BII)[B,12,11,0.916667
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeBinary,(Lcom/fasterxml/jackson/core/Base64Variant;Ljava/io/InputStream;I)I,50,49,0.980000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeBinary,(Lcom/fasterxml/jackson/core/Base64Variant;[BII)V,52,51,0.980769
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeBoolean,(Z)V,45,44,0.977778
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeEndArray,()V,23,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeEndObject,()V,29,0,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeFieldName,(Lcom/fasterxml/jackson/core/SerializableString;)V,5,4,0.800000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,writeFieldName,(Ljava/lang/String;)V,16,15,0.937500
