owner_internal,method,descriptor,roc,forward_probability,impact_probability
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,<init>,(Lcom/fasterxml/jackson/core/io/IOContext;IILcom/fasterxml/jackson/core/ObjectCodec;Ljavax/xml/stream/XMLStreamWriter;)V,0.000000,0.970588,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_constructDefaultPrettyPrinter,()Lcom/fasterxml/jackson/core/PrettyPrinter;,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_handleEndObject,()V,0.000000,0.000000,0.033784
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_handleStartObject,()V,0.000000,0.000000,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_releaseBuffers,()V,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_reportUnimplementedStax2,(Ljava/lang/String;)V,0.000000,0.944444,0.088070
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,_verifyValueWrite,(Ljava/lang/String;)V,0.000000,0.923077,0.239066
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,canWriteFormattedNumbers,()Z,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,checkNextIsUnwrapped,()Z,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,close,()V,0.000000,0.000000,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,configure,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;Z)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,0.000000,0.875000,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,disable,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,0.000000,0.888889,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,enable,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator;,0.000000,0.857143,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,finishWrappedValue,(Ljavax/xml/namespace/QName;Ljavax/xml/namespace/QName;)V,0.000000,0.947368,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,flush,()V,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getFormatFeatures,()I,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getOutputBuffered,()I,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getOutputTarget,()Ljava/lang/Object;,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,getStaxWriter,()Ljavax/xml/stream/XMLStreamWriter;,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,handleMissingName,()V,0.000000,0.000000,0.027027
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,inRoot,()Z,0.000000,0.000000,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,initGenerator,()V,0.000000,0.000000,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,isEnabled,(Lcom/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator$Feature;)Z,0.000000,0.900000,0.000000
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,overrideFormatFeatures,(II)Lcom/fasterxml/jackson/core/JsonGenerator;,0.000000,0.928571,0.013514
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator,setNextIsAttribute,(Z)V,0.000000,0.750000,0.013514
