TestNo,MutantNo
1,1
1,2
1,3
1,4
1,5
1,6
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,32
1,33
1,72
1,75
1,76
1,77
1,78
1,113
1,114
1,115
1,117
1,118
1,119
1,121
1,122
1,128
1,129
1,131
1,132
1,134
1,135
1,136
1,137
1,138
1,139
1,140
1,141
1,142
1,143
1,144
1,505
1,506
1,507
1,513
1,514
1,515
1,516
1,517
1,519
1,520
1,522
1,523
1,524
1,525
1,526
3,1
3,2
3,3
3,4
3,5
3,6
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,32
3,33
3,72
3,75
3,76
3,77
3,78
3,95
3,96
3,97
3,99
3,100
3,113
3,114
3,115
3,117
3,118
3,119
3,121
3,122
3,128
3,129
3,131
3,132
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,149
3,150
3,151
3,153
3,154
3,156
3,157
3,162
3,164
3,165
3,166
3,168
3,169
3,390
3,391
3,393
3,394
3,395
3,396
3,397
3,399
3,505
3,506
3,507
3,513
3,514
3,515
3,516
3,517
3,519
3,520
3,522
3,523
3,524
3,525
3,526
3,529
3,530
3,534
4,1
4,2
4,3
4,4
4,5
4,6
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,32
4,33
4,72
4,75
4,76
4,77
4,78
4,80
4,81
4,83
4,85
4,86
4,87
4,89
4,95
4,96
4,97
4,99
4,100
4,103
4,104
4,105
4,107
4,108
4,110
4,112
4,113
4,114
4,115
4,117
4,118
4,119
4,121
4,122
4,128
4,129
4,131
4,132
4,134
4,135
4,136
4,137
4,138
4,139
4,140
4,141
4,142
4,143
4,144
4,149
4,150
4,151
4,153
4,154
4,156
4,157
4,162
4,164
4,165
4,166
4,168
4,169
4,401
4,402
4,404
4,405
4,407
4,408
4,410
4,412
4,413
4,414
4,505
4,506
4,507
4,513
4,514
4,515
4,516
4,517
4,519
4,520
4,522
4,523
4,524
4,525
4,526
4,529
4,530
4,534
5,1
5,2
5,3
5,4
5,5
5,6
5,8
5,9
5,10
5,11
6,1
6,2
6,3
6,4
6,5
6,6
6,8
6,9
6,10
6,11
7,1
7,2
7,3
7,4
7,5
7,6
7,8
7,9
7,10
7,11
8,1
8,2
8,3
8,4
8,5
8,6
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,32
8,33
8,72
8,75
8,76
8,77
8,78
8,95
8,96
8,97
8,99
8,100
8,113
8,114
8,115
8,117
8,118
8,119
8,121
8,122
8,128
8,129
8,131
8,132
8,134
8,135
8,136
8,137
8,138
8,139
8,140
8,141
8,142
8,143
8,144
8,149
8,150
8,151
8,153
8,154
8,156
8,157
8,162
8,164
8,165
8,166
8,168
8,169
8,401
8,402
8,404
8,405
8,406
8,505
8,506
8,507
8,509
8,510
8,511
8,529
8,530
8,534
9,1
9,2
9,3
9,4
9,5
9,6
9,8
9,9
9,10
9,11
10,1
10,2
10,3
10,4
10,5
10,6
10,8
10,9
10,10
10,11
11,1
11,2
11,3
11,4
11,5
11,6
11,8
11,9
11,10
11,11
12,1
12,2
12,3
12,4
12,5
12,6
12,8
12,9
12,10
12,11
13,1
13,2
13,3
13,4
13,5
13,6
13,8
13,9
13,10
13,11
14,1
14,2
14,3
14,4
14,5
14,6
14,8
14,9
14,10
14,11
15,1
15,2
15,3
15,4
15,5
15,6
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,32
15,33
15,72
15,75
15,76
15,77
15,78
15,95
15,96
15,97
15,99
15,100
15,113
15,114
15,115
15,117
15,118
15,119
15,121
15,122
15,128
15,129
15,131
15,132
15,134
15,135
15,136
15,137
15,138
15,139
15,140
15,141
15,142
15,143
15,144
15,149
15,150
15,151
15,153
15,154
15,156
15,157
15,162
15,164
15,165
15,166
15,168
15,169
15,192
15,505
15,506
15,507
15,513
15,514
15,515
15,516
15,517
15,519
15,520
15,522
15,523
15,524
15,525
15,526
15,529
15,530
15,534
16,1
16,2
16,3
16,4
16,5
16,6
16,8
16,9
16,10
16,11
17,1
17,2
17,3
17,4
17,5
17,6
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,32
17,33
17,72
17,75
17,76
17,77
17,78
17,95
17,96
17,97
17,99
17,100
17,113
17,114
17,115
17,117
17,118
17,119
17,121
17,122
17,128
17,129
17,131
17,132
17,134
17,135
17,136
17,137
17,138
17,139
17,140
17,141
17,142
17,143
17,144
17,149
17,272
17,276
17,277
17,279
17,280
17,282
17,283
17,285
17,289
17,290
17,291
17,293
17,294
17,295
17,296
17,297
17,298
17,299
17,300
17,301
17,302
17,303
17,304
17,305
17,306
17,307
17,308
17,309
17,310
17,311
17,312
17,313
17,314
17,315
17,316
17,317
17,318
17,319
17,320
17,321
17,322
17,323
17,324
17,325
17,326
17,327
17,328
17,329
17,330
17,331
17,332
17,333
17,334
17,505
17,506
17,507
17,513
17,514
17,515
17,516
17,517
17,519
17,520
17,522
17,523
17,524
17,525
17,526
17,529
17,530
17,534
18,1
18,2
18,3
18,4
18,5
18,6
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,32
18,33
18,72
18,73
18,75
18,76
18,77
18,78
18,95
18,96
18,97
18,99
18,100
18,113
18,114
18,115
18,117
18,118
18,119
18,121
18,122
18,128
18,129
18,131
18,132
18,134
18,135
18,136
18,137
18,138
18,139
18,140
18,141
18,142
18,143
18,144
18,149
18,150
18,151
18,153
18,154
18,155
18,156
18,157
18,158
18,159
18,161
18,162
18,164
18,165
18,166
18,168
18,169
18,505
18,506
18,507
18,513
18,514
18,515
18,516
18,517
18,519
18,520
18,522
18,523
18,524
18,525
18,526
18,529
18,530
18,531
18,532
18,533
18,534
19,1
19,2
19,3
19,4
19,5
19,6
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,30
19,32
19,33
19,40
19,41
19,72
19,75
19,76
19,77
19,78
19,95
19,96
19,97
19,99
19,100
19,113
19,114
19,115
19,116
19,118
19,119
19,121
19,122
19,123
19,124
19,127
19,129
19,131
19,132
19,134
19,135
19,136
19,137
19,138
19,139
19,140
19,141
19,142
19,143
19,144
19,145
19,146
19,147
19,149
19,150
19,151
19,153
19,154
19,156
19,157
19,162
19,163
19,239
19,240
19,242
19,249
19,250
19,252
19,505
19,506
19,507
19,513
19,514
19,515
19,516
19,517
19,519
19,520
19,522
19,523
19,524
19,525
19,526
19,529
19,530
19,534
20,1
20,2
20,3
20,4
20,5
20,6
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,32
20,33
20,40
20,41
20,72
20,75
20,76
20,77
20,78
20,80
20,81
20,82
20,85
20,86
20,87
20,88
20,95
20,96
20,97
20,99
20,100
20,103
20,104
20,105
20,106
20,107
20,108
20,110
20,111
20,112
20,113
20,114
20,115
20,116
20,118
20,119
20,121
20,122
20,123
20,124
20,127
20,129
20,131
20,132
20,134
20,135
20,136
20,137
20,138
20,139
20,140
20,141
20,142
20,143
20,144
20,145
20,146
20,147
20,149
20,150
20,151
20,153
20,154
20,156
20,157
20,162
20,163
20,239
20,240
20,242
20,249
20,250
20,252
20,505
20,506
20,507
20,513
20,514
20,515
20,516
20,517
20,519
20,520
20,522
20,523
20,524
20,525
20,526
20,529
20,530
20,534
21,1
21,2
21,3
21,4
21,5
21,6
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,32
21,33
21,72
21,75
21,76
21,77
21,78
21,80
21,81
21,83
21,85
21,86
21,87
21,89
21,95
21,96
21,97
21,99
21,100
21,103
21,104
21,105
21,107
21,108
21,110
21,112
21,113
21,114
21,115
21,117
21,118
21,119
21,121
21,122
21,128
21,129
21,131
21,132
21,134
21,135
21,136
21,137
21,138
21,139
21,140
21,141
21,142
21,143
21,144
21,149
21,401
21,402
21,404
21,405
21,407
21,408
21,410
21,412
21,413
21,414
21,505
21,506
21,507
21,513
21,514
21,515
21,516
21,517
21,519
21,520
21,522
21,523
21,524
21,525
21,526
21,529
21,530
21,534
22,1
22,2
22,3
22,4
22,5
22,6
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,32
22,33
22,72
22,75
22,76
22,77
22,78
22,95
22,96
22,97
22,99
22,100
22,103
22,104
22,105
22,107
22,108
22,110
22,112
22,113
22,114
22,115
22,117
22,118
22,119
22,121
22,122
22,128
22,129
22,131
22,132
22,134
22,135
22,136
22,137
22,138
22,139
22,140
22,141
22,142
22,143
22,144
22,149
22,150
22,151
22,153
22,154
22,155
22,156
22,157
22,162
22,164
22,165
22,166
22,168
22,169
22,505
22,506
22,507
22,513
22,514
22,515
22,516
22,517
22,519
22,520
22,522
22,523
22,524
22,525
22,526
22,529
22,530
22,534
23,1
23,2
23,3
23,4
23,5
23,6
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,32
23,33
23,72
23,75
23,76
23,77
23,78
23,95
23,96
23,97
23,99
23,100
23,103
23,104
23,105
23,107
23,108
23,110
23,112
23,113
23,114
23,115
23,117
23,118
23,119
23,121
23,122
23,128
23,129
23,131
23,132
23,134
23,135
23,136
23,137
23,138
23,139
23,140
23,141
23,142
23,143
23,144
23,149
23,150
23,151
23,153
23,154
23,155
23,156
23,157
23,162
23,164
23,165
23,166
23,168
23,169
23,401
23,402
23,404
23,405
23,406
23,505
23,506
23,507
23,513
23,514
23,515
23,516
23,517
23,519
23,520
23,522
23,523
23,524
23,525
23,526
23,529
23,530
23,534
24,1
24,2
24,3
24,4
24,5
24,6
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,24
24,25
24,26
24,27
24,28
24,29
24,30
24,32
24,33
24,40
24,41
24,72
24,75
24,76
24,77
24,78
24,80
24,81
24,82
24,85
24,86
24,87
24,88
24,95
24,96
24,97
24,99
24,100
24,103
24,104
24,105
24,106
24,107
24,108
24,110
24,111
24,112
24,113
24,114
24,115
24,116
24,118
24,119
24,121
24,122
24,123
24,124
24,127
24,129
24,131
24,132
24,134
24,135
24,136
24,137
24,138
24,139
24,140
24,141
24,142
24,143
24,144
24,145
24,146
24,147
24,149
24,150
24,151
24,153
24,154
24,155
24,156
24,157
24,162
24,163
24,239
24,240
24,242
24,249
24,250
24,252
24,390
24,391
24,393
24,394
24,401
24,402
24,404
24,405
24,407
24,408
24,410
24,411
24,505
24,506
24,507
24,513
24,514
24,515
24,516
24,517
24,519
24,520
24,522
24,523
24,524
24,525
24,526
24,529
24,530
24,534
25,1
25,2
25,3
25,4
25,5
25,6
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
25,26
25,27
25,28
25,29
25,30
25,32
25,33
25,40
25,41
25,72
25,73
25,75
25,76
25,77
25,78
25,95
25,96
25,97
25,99
25,100
25,113
25,114
25,115
25,116
25,117
25,118
25,119
25,121
25,122
25,123
25,124
25,127
25,128
25,129
25,131
25,132
25,134
25,135
25,136
25,137
25,138
25,139
25,140
25,141
25,142
25,143
25,144
25,145
25,146
25,147
25,149
25,150
25,151
25,153
25,154
25,155
25,156
25,157
25,158
25,159
25,161
25,401
25,402
25,404
25,405
25,406
25,505
25,506
25,507
25,513
25,514
25,515
25,516
25,517
25,519
25,520
25,522
25,523
25,524
25,525
25,526
25,529
25,530
25,531
25,532
25,533
26,1
26,2
26,3
26,4
26,5
26,6
26,8
26,9
26,10
26,11
27,1
27,2
27,3
27,4
27,5
27,6
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
