TestNo,TestName,Runtime
1,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest,17
2,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest,18
3,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest,21
4,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest,22
5,com.fasterxml.jackson.dataformat.xml.incr.PartialReadTest,24
6,com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest,25
7,com.fasterxml.jackson.dataformat.xml.deser.CaseInsensitiveDeserTest,26
8,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest,26
9,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,26
10,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test,26
11,com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test,26
12,com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest,28
13,com.fasterxml.jackson.dataformat.xml.deser.DeserErrorHandling236Test,29
14,com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest,29
15,com.fasterxml.jackson.dataformat.xml.deser.TestEnums,32
16,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest,37
17,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization,37
18,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest,38
19,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest,39
20,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest,40
21,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest,40
22,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest,41
23,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest,44
24,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest,46
25,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest,46
26,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest,48
27,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest,52
28,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest,53
29,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test,54
30,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization,57
31,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest,60
32,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization,61
33,com.fasterxml.jackson.dataformat.xml.VersionInfoTest,66
34,com.fasterxml.jackson.dataformat.xml.misc.NodeTest,69
35,com.fasterxml.jackson.dataformat.xml.ser.TestNamespaces,70
36,com.fasterxml.jackson.dataformat.xml.misc.DTDSupportTest,72
37,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest,73
38,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual,75
39,com.fasterxml.jackson.dataformat.xml.jaxb.BuilderWithJAXB291Test,76
40,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest,76
41,com.fasterxml.jackson.dataformat.xml.lists.ListDeser191Test,81
42,com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData,82
43,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationOrdering,85
44,com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute,88
45,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test,88
46,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr,88
47,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,90
48,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest,93
49,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest,94
50,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest,94
51,com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest,95
52,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest,98
53,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest,99
54,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest,99
55,com.fasterxml.jackson.dataformat.xml.deser.Issue274PropertyNameTest,100
56,com.fasterxml.jackson.dataformat.xml.deser.TestViews,100
57,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom,102
58,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability,103
59,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest,104
60,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation,107
61,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration,111
62,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest,116
63,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest,118
64,com.fasterxml.jackson.dataformat.xml.MapperCopyTest,178
