TestNo,TestName,Runtime
1,org.jsoup.parser.HtmlTreeBuilderStateTest,2
2,org.jsoup.parser.HtmlTreeBuilderTest,4
3,org.jsoup.parser.ParserSettingsTest,4
4,org.jsoup.select.QueryParserTest,8
5,org.jsoup.parser.TagTest,11
6,org.jsoup.parser.CharacterReaderTest,24
7,org.jsoup.nodes.AttributesTest,27
8,org.jsoup.parser.ParserTest,28
9,org.jsoup.helper.HttpConnectionTest,35
10,org.jsoup.nodes.DocumentTypeTest,39
11,org.jsoup.internal.StringUtilTest,41
12,org.jsoup.nodes.AttributeTest,45
13,org.jsoup.nodes.TextNodeTest,45
14,org.jsoup.parser.TokenQueueTest,45
15,org.jsoup.select.TraversorTest,48
16,org.jsoup.nodes.FormElementTest,55
17,org.jsoup.parser.AttributeParseTest,58
18,org.jsoup.nodes.EntitiesTest,59
19,org.jsoup.parser.TokeniserTest,60
20,org.jsoup.parser.TokeniserStateTest,61
21,org.jsoup.parser.XmlTreeBuilderTest,64
22,org.jsoup.nodes.NodeTest,66
23,org.jsoup.safety.CleanerTest,76
24,org.jsoup.select.ElementsTest,78
25,org.jsoup.helper.DataUtilTest,81
26,org.jsoup.select.CssTest,85
27,org.jsoup.nodes.DocumentTest,109
28,org.jsoup.select.SelectorTest,123
29,org.jsoup.integration.ParseTest,125
30,org.jsoup.nodes.ElementTest,158
31,org.jsoup.helper.W3CDomTest,160
32,org.jsoup.parser.HtmlParserTest,366
33,org.jsoup.integration.ConnectTest,529
