TestNo,TestName,Runtime
1,org.apache.commons.lang.NullArgumentExceptionTest,3
2,org.apache.commons.lang.enums.EnumEqualsTest,3
3,org.apache.commons.lang.math.RangeTest,3
4,org.apache.commons.lang.text.CompositeFormatTest,3
5,org.apache.commons.lang.UnhandledExceptionTest,4
6,org.apache.commons.lang.mutable.MutableObjectTest,5
7,org.apache.commons.lang.IncompleteArgumentExceptionTest,6
8,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest,6
9,org.apache.commons.lang.mutable.MutableBooleanTest,7
10,org.apache.commons.lang.IntHashMapTest,8
11,org.apache.commons.lang.builder.StandardToStringStyleTest,8
12,org.apache.commons.lang.builder.DefaultToStringStyleTest,9
13,org.apache.commons.lang.builder.ShortPrefixToStringStyleTest,9
14,org.apache.commons.lang.builder.SimpleToStringStyleTest,9
15,org.apache.commons.lang.CharEncodingTest,10
16,org.apache.commons.lang.builder.MultiLineToStringStyleTest,10
17,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest,10
18,org.apache.commons.lang.ObjectUtilsTest,11
19,org.apache.commons.lang.time.DateFormatUtilsTest,11
20,org.apache.commons.lang.oldenum.EnumUtilsTest,12
21,org.apache.commons.lang.IllegalClassExceptionTest,13
22,org.apache.commons.lang.StringUtilsIsTest,13
23,org.apache.commons.lang.WordUtilsTest,13
24,org.apache.commons.lang.builder.ToStringStyleTest,13
25,org.apache.commons.lang.enums.EnumUtilsTest,13
26,org.apache.commons.lang.EntitiesTest,14
27,org.apache.commons.lang.RandomStringUtilsTest,14
28,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest,14
29,org.apache.commons.lang.mutable.MutableByteTest,14
30,org.apache.commons.lang.mutable.MutableLongTest,14
31,org.apache.commons.lang.mutable.MutableShortTest,14
32,org.apache.commons.lang.text.StrMatcherTest,14
33,org.apache.commons.lang.time.DurationFormatUtilsTest,14
34,org.apache.commons.lang.ArrayUtilsAddTest,15
35,org.apache.commons.lang.BitFieldTest,15
36,org.apache.commons.lang.StringUtilsSubstringTest,15
37,org.apache.commons.lang.mutable.MutableFloatTest,15
38,org.apache.commons.lang.mutable.MutableIntTest,15
39,org.apache.commons.lang.oldenum.ValuedEnumTest,15
40,org.apache.commons.lang.SystemUtilsTest,16
41,org.apache.commons.lang.enums.ValuedEnumTest,16
42,org.apache.commons.lang.math.FloatRangeTest,16
43,org.apache.commons.lang.mutable.MutableDoubleTest,16
44,org.apache.commons.lang.time.FastDateFormatTest,16
45,org.apache.commons.lang.NumberRangeTest,17
46,org.apache.commons.lang.StringUtilsTrimEmptyTest,17
47,org.apache.commons.lang.math.DoubleRangeTest,17
48,org.apache.commons.lang.math.NumberRangeTest,17
49,org.apache.commons.lang.math.IntRangeTest,18
50,org.apache.commons.lang.math.LongRangeTest,18
51,org.apache.commons.lang.CharSetTest,19
52,org.apache.commons.lang.CharSetUtilsTest,19
53,org.apache.commons.lang.NotImplementedExceptionTest,19
54,org.apache.commons.lang.ArrayUtilsRemoveTest,20
55,org.apache.commons.lang.ValidateTest,22
56,org.apache.commons.lang.text.VariableFormatterTest,22
57,org.apache.commons.lang.CharRangeTest,23
58,org.apache.commons.lang.LocaleUtilsTest,23
59,org.apache.commons.lang.NumberUtilsTest,23
60,org.apache.commons.lang.StringUtilsEqualsIndexOfTest,25
61,org.apache.commons.lang.text.StrBuilderAppendInsertTest,25
62,org.apache.commons.lang.CharUtilsTest,29
63,org.apache.commons.lang.ClassUtilsTest,31
64,org.apache.commons.lang.SerializationUtilsTest,34
65,org.apache.commons.lang.builder.HashCodeBuilderTest,41
66,org.apache.commons.lang.BooleanUtilsTest,44
67,org.apache.commons.lang.math.NumberUtilsTest,46
68,org.apache.commons.lang.builder.EqualsBuilderTest,47
69,org.apache.commons.lang.time.DateUtilsTest,48
70,org.apache.commons.lang.oldenum.EnumTest,50
71,org.apache.commons.lang.builder.CompareToBuilderTest,51
72,org.apache.commons.lang.enums.EnumTest,51
73,org.apache.commons.lang.text.StrTokenizerTest,56
74,org.apache.commons.lang.math.FractionTest,58
75,org.apache.commons.lang.StringUtilsTest,71
76,org.apache.commons.lang.text.StrBuilderTest,72
77,org.apache.commons.lang.builder.ToStringBuilderTest,79
78,org.apache.commons.lang.ArrayUtilsTest,128
79,org.apache.commons.lang.StringEscapeUtilsTest,234
80,org.apache.commons.lang.EntitiesPerformanceTest,2143
81,org.apache.commons.lang.time.StopWatchTest,4392
