TestNo,TestName,Runtime
1,org.apache.commons.math3.exception.util.ArgUtilsTest,2
2,org.apache.commons.math3.genetics.FixedGenerationCountTest,2
3,org.apache.commons.math3.genetics.OnePointCrossoverTest,2
4,org.apache.commons.math3.genetics.RandomKeyMutationTest,2
5,org.apache.commons.math3.geometry.euclidean.threed.RotationOrderTest,2
6,org.apache.commons.math3.util.ContinuedFractionTest,2
7,org.apache.commons.math3.exception.MaxCountExceededExceptionTest,3
8,org.apache.commons.math3.exception.NonMonotonicSequenceExceptionTest,3
9,org.apache.commons.math3.exception.NotPositiveExceptionTest,3
10,org.apache.commons.math3.exception.NotStrictlyPositiveExceptionTest,3
11,org.apache.commons.math3.exception.OutOfRangeExceptionTest,3
12,org.apache.commons.math3.genetics.BinaryMutationTest,3
13,org.apache.commons.math3.genetics.TournamentSelectionTest,3
14,org.apache.commons.math3.geometry.euclidean.twod.SegmentTest,3
15,org.apache.commons.math3.linear.MatrixDimensionMismatchExceptionTest,3
16,org.apache.commons.math3.ml.distance.ChebyshevDistanceTest,3
17,org.apache.commons.math3.ml.distance.EuclideanDistanceTest,3
18,org.apache.commons.math3.optimization.PointValuePairTest,3
19,org.apache.commons.math3.exception.DimensionMismatchExceptionTest,4
20,org.apache.commons.math3.exception.NumberIsTooLargeExceptionTest,4
21,org.apache.commons.math3.exception.NumberIsTooSmallExceptionTest,4
22,org.apache.commons.math3.genetics.ChromosomeTest,4
23,org.apache.commons.math3.ml.distance.CanberraDistanceTest,4
24,org.apache.commons.math3.ml.distance.EarthMoversDistanceTest,4
25,org.apache.commons.math3.optim.PointValuePairTest,4
26,org.apache.commons.math3.optim.PointVectorValuePairTest,4
27,org.apache.commons.math3.optimization.PointVectorValuePairTest,4
28,org.apache.commons.math3.stat.descriptive.moment.InteractionTest,4
29,org.apache.commons.math3.linear.OpenMapRealMatrixTest,5
30,org.apache.commons.math3.ml.distance.ManhattanDistanceTest,5
31,org.apache.commons.math3.util.PairTest,5
32,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorTest,6
33,org.apache.commons.math3.analysis.integration.gauss.HermiteTest,6
34,org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolverTest,6
35,org.apache.commons.math3.analysis.solvers.NewtonSolverTest,6
36,org.apache.commons.math3.exception.TooManyEvaluationsExceptionTest,6
37,org.apache.commons.math3.genetics.BinaryChromosomeTest,6
38,org.apache.commons.math3.geometry.partitioning.utilities.AVLTreeTest,6
39,org.apache.commons.math3.ml.clustering.MultiKMeansPlusPlusClustererTest,6
40,org.apache.commons.math3.optim.SimplePointCheckerTest,6
41,org.apache.commons.math3.optim.SimpleValueCheckerTest,6
42,org.apache.commons.math3.optim.univariate.BracketFinderTest,6
43,org.apache.commons.math3.optim.univariate.SimpleUnivariateValueCheckerTest,6
44,org.apache.commons.math3.optimization.SimplePointCheckerTest,6
45,org.apache.commons.math3.optimization.SimpleValueCheckerTest,6
46,org.apache.commons.math3.optimization.SimpleVectorValueCheckerTest,6
47,org.apache.commons.math3.optimization.univariate.BracketFinderTest,6
48,org.apache.commons.math3.stat.descriptive.rank.MedianTest,6
49,org.apache.commons.math3.util.BigRealFieldTest,6
50,org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest,7
51,org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunctionTest,7
52,org.apache.commons.math3.complex.ComplexFieldTest,7
53,org.apache.commons.math3.fitting.WeightedObservedPointsTest,7
54,org.apache.commons.math3.genetics.FitnessCachingTest,7
55,org.apache.commons.math3.genetics.NPointCrossoverTest,7
56,org.apache.commons.math3.genetics.OrderedCrossoverTest,7
57,org.apache.commons.math3.optim.SimpleVectorValueCheckerTest,7
58,org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueCheckerTest,7
59,org.apache.commons.math3.RetryRunnerTest,8
60,org.apache.commons.math3.analysis.function.SqrtTest,8
61,org.apache.commons.math3.analysis.integration.RombergIntegratorTest,8
62,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest,8
63,org.apache.commons.math3.fraction.BigFractionFieldTest,8
64,org.apache.commons.math3.fraction.FractionFieldTest,8
65,org.apache.commons.math3.optimization.MultivariateMultiStartOptimizerTest,8
66,org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizerTest,8
67,org.apache.commons.math3.stat.clustering.EuclideanIntegerPointTest,8
68,org.apache.commons.math3.transform.FastHadamardTransformerTest,8
69,org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest,9
70,org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest,9
71,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest,9
72,org.apache.commons.math3.geometry.euclidean.oned.IntervalTest,9
73,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,9
74,org.apache.commons.math3.ode.sampling.DummyStepInterpolatorTest,9
75,org.apache.commons.math3.stat.clustering.EuclideanDoublePointTest,9
76,org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest,10
77,org.apache.commons.math3.complex.RootsOfUnityTest,10
78,org.apache.commons.math3.genetics.CycleCrossoverTest,10
79,org.apache.commons.math3.geometry.euclidean.threed.LineTest,10
80,org.apache.commons.math3.linear.CholeskySolverTest,10
81,org.apache.commons.math3.stat.descriptive.StatisticalSummaryValuesTest,10
82,org.apache.commons.math3.util.MultidimensionalCounterTest,10
83,org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest,11
84,org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest,11
85,org.apache.commons.math3.analysis.solvers.BisectionSolverTest,11
86,org.apache.commons.math3.ode.events.ReappearingEventTest,11
87,org.apache.commons.math3.stat.inference.WilcoxonSignedRankTestTest,11
88,org.apache.commons.math3.util.DefaultTransformerTest,11
89,org.apache.commons.math3.util.TransformerMapTest,11
90,org.apache.commons.math3.genetics.ElitisticListPopulationTest,12
91,org.apache.commons.math3.genetics.GeneticAlgorithmTestBinary,12
92,org.apache.commons.math3.geometry.euclidean.twod.LineTest,12
93,org.apache.commons.math3.linear.SparseFieldVectorTest,12
94,org.apache.commons.math3.optim.univariate.MultiStartUnivariateOptimizerTest,12
95,org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapterTest,12
96,org.apache.commons.math3.optimization.direct.PowellOptimizerTest,12
97,org.apache.commons.math3.stat.descriptive.MixedListUnivariateImplTest,12
98,org.apache.commons.math3.stat.descriptive.moment.VectorialMeanTest,12
99,org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest,13
100,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest,13
101,org.apache.commons.math3.analysis.solvers.LaguerreSolverTest,13
102,org.apache.commons.math3.analysis.solvers.MullerSolver2Test,13
103,org.apache.commons.math3.complex.ComplexUtilsTest,13
104,org.apache.commons.math3.linear.EigenSolverTest,13
105,org.apache.commons.math3.linear.SingularValueSolverTest,13
106,org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest,13
107,org.apache.commons.math3.stat.data.LewTest,13
108,org.apache.commons.math3.stat.data.LotteryTest,13
109,org.apache.commons.math3.stat.descriptive.moment.VectorialCovarianceTest,13
110,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,13
111,org.apache.commons.math3.util.IncrementorTest,13
112,org.apache.commons.math3.analysis.function.StepFunctionTest,14
113,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest,14
114,org.apache.commons.math3.genetics.RandomKeyTest,14
115,org.apache.commons.math3.geometry.euclidean.threed.PlaneTest,14
116,org.apache.commons.math3.linear.BiDiagonalTransformerTest,14
117,org.apache.commons.math3.linear.LUSolverTest,14
118,org.apache.commons.math3.ml.clustering.DBSCANClustererTest,14
119,org.apache.commons.math3.stat.ranking.NaturalRankingTest,14
120,org.apache.commons.math3.analysis.differentiation.JacobianFunctionTest,15
121,org.apache.commons.math3.analysis.function.HarmonicOscillatorTest,15
122,org.apache.commons.math3.analysis.solvers.MullerSolverTest,15
123,org.apache.commons.math3.analysis.solvers.SecantSolverTest,15
124,org.apache.commons.math3.genetics.ListPopulationTest,15
125,org.apache.commons.math3.linear.FieldLUSolverTest,15
126,org.apache.commons.math3.linear.TriDiagonalTransformerTest,15
127,org.apache.commons.math3.ode.events.EventStateTest,15
128,org.apache.commons.math3.ode.events.OverlappingEventsTest,15
129,org.apache.commons.math3.ode.sampling.StepNormalizerTest,15
130,org.apache.commons.math3.optim.linear.SimplexTableauTest,15
131,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest,15
132,org.apache.commons.math3.stat.clustering.DBSCANClustererTest,15
133,org.apache.commons.math3.stat.correlation.StorelessCovarianceTest,15
134,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionTest,16
135,org.apache.commons.math3.analysis.solvers.PegasusSolverTest,16
136,org.apache.commons.math3.filter.KalmanFilterTest,16
137,org.apache.commons.math3.linear.CholeskyDecompositionTest,16
138,org.apache.commons.math3.stat.descriptive.moment.SecondMomentTest,16
139,org.apache.commons.math3.stat.descriptive.moment.SemiVarianceTest,16
140,org.apache.commons.math3.stat.descriptive.moment.ThirdMomentTest,16
141,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest,17
142,org.apache.commons.math3.analysis.solvers.IllinoisSolverTest,17
143,org.apache.commons.math3.analysis.solvers.RiddersSolverTest,17
144,org.apache.commons.math3.exception.util.ExceptionContextTest,17
145,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSetTest,17
146,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,17
147,org.apache.commons.math3.linear.ArrayFieldVectorTest,17
148,org.apache.commons.math3.linear.LUDecompositionTest,17
149,org.apache.commons.math3.ml.clustering.FuzzyKMeansClustererTest,17
150,org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizerTest,17
151,org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapterTest,17
152,org.apache.commons.math3.optimization.direct.SimplexOptimizerMultiDirectionalTest,17
153,org.apache.commons.math3.optimization.linear.SimplexTableauTest,17
154,org.apache.commons.math3.primes.PrimesTest,17
155,org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest,17
156,org.apache.commons.math3.stat.descriptive.moment.FirstMomentTest,17
