TestNo,TestName,Runtime
1,org.joda.time.TestPartial_Match,3
2,org.joda.time.field.TestFieldUtils,4
3,org.joda.time.TestDateTimeConstants,7
4,org.joda.time.tz.TestUTCProvider,7
5,org.joda.time.format.TestPeriodFormatParsing,8
6,org.joda.time.convert.TestLongConverter,9
7,org.joda.time.convert.TestReadableDurationConverter,9
8,org.joda.time.convert.TestReadablePeriodConverter,9
9,org.joda.time.tz.TestFixedDateTimeZone,9
10,org.joda.time.convert.TestConverterSet,10
11,org.joda.time.convert.TestDateConverter,10
12,org.joda.time.TestDurationField,11
13,org.joda.time.format.TestISOPeriodFormat,11
14,org.joda.time.TestInstant_Constructors,14
15,org.joda.time.TestBasePartial,15
16,org.joda.time.convert.TestReadableInstantConverter,15
17,org.joda.time.convert.TestReadablePartialConverter,16
18,org.joda.time.format.TestPeriodFormatter,16
19,org.joda.time.format.TestTextFields,16
20,org.joda.time.chrono.TestJulianChronology,18
21,org.joda.time.convert.TestNullConverter,19
22,org.joda.time.TestYearMonth_Properties,20
23,org.joda.time.convert.TestReadableIntervalConverter,21
24,org.joda.time.format.TestISOPeriodFormatParsing,21
25,org.joda.time.TestMonthDay_Properties,22
26,org.joda.time.TestPartial_Properties,22
27,org.joda.time.chrono.TestLenientChronology,22
28,org.joda.time.convert.TestCalendarConverter,22
29,org.joda.time.TestPartial_Constructors,23
30,org.joda.time.chrono.TestGregorianChronology,23
31,org.joda.time.TestDurationFieldType,24
32,org.joda.time.TestIllegalFieldValueException,24
33,org.joda.time.field.TestUnsupportedDateTimeField,26
34,org.joda.time.TestMutablePeriod_Basics,27
35,org.joda.time.TestLocalDate_Properties,30
36,org.joda.time.TestDateTimeUtils,31
37,org.joda.time.TestDuration_Constructors,32
38,org.joda.time.TestChronology,34
39,org.joda.time.TestYearMonthDay_Properties,34
40,org.joda.time.TestAbstractPartial,35
41,org.joda.time.TestMutableInterval_Basics,36
42,org.joda.time.TestMutableDateTime_Adds,38
43,org.joda.time.TestYearMonth_Constructors,38
44,org.joda.time.field.TestMillisDurationField,38
