rank,test,score
1,org.jfree.chart.junit.GanttChartTests#testDrawWithNullInfo2,818.000000
2,org.jfree.chart.plot.junit.CategoryPlotTests#testSerialization4,731.000000
3,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullMaxOutlier,731.000000
4,org.jfree.chart.plot.junit.XYPlotTests#testSerialization4,692.000000
5,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests#testDrawWithNullInfo,681.000000
6,org.jfree.chart.annotations.junit.XYTitleAnnotationTests#testDrawWithNullInfo,670.000000
7,org.jfree.chart.junit.XYStepChartTests#testDrawWithNullInfo,657.000000
8,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests#testNotification,634.000000
9,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests#testNoDisplayedItem,615.000000
10,org.jfree.chart.junit.WaterfallChartTests#testDrawWithNullInfo,614.000000
11,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests#testNotification,601.000000
12,org.jfree.chart.junit.GanttChartTests#testDrawWithNullInfo,568.000000
13,org.jfree.chart.axis.junit.SubCategoryAxisTests#test2275695,559.000000
14,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests#testDrawWithEmptyDataset,542.000000
15,org.jfree.chart.junit.JFreeChartTests#testSerialization4,535.000000
16,org.jfree.chart.junit.PieChart3DTests#testNullValueInDataset,474.000000
17,org.jfree.chart.junit.JFreeChartTests#testSerialization3,470.000000
18,org.jfree.chart.plot.junit.PiePlotTests#testDrawWithNullLegendLabels,393.000000
19,org.jfree.chart.junit.XYStepChartTests#testReplaceDataset,356.000000
20,org.jfree.chart.plot.junit.SpiderWebPlotTests#testDrawWithNullInfo,324.000000
21,org.jfree.chart.junit.BarChart3DTests#testReplaceDataset,314.000000
22,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests#testSerialization,311.000000
23,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests#testSerialization,308.000000
24,org.jfree.chart.plot.junit.XYPlotTests#testSerialization2,285.000000
25,org.jfree.chart.junit.MeterChartTests#testDrawWithNullInfo,279.000000
26,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests#testGetLegendItemSeriesIndex,278.000000
27,org.jfree.chart.plot.junit.PiePlot3DTests#testDrawWithNullDataset,275.000000
28,org.jfree.chart.junit.ChartPanelTests#test2502355_restoreAutoBounds,272.000000
29,org.jfree.chart.plot.junit.CategoryPlotTests#testEquals,270.000000
30,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testGetLegendItem,266.000000
31,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests#testCloning,258.000000
32,org.jfree.chart.plot.junit.FastScatterPlotTests#testDrawWithNullInfo,258.000000
33,org.jfree.chart.junit.JFreeChartTests#testSerialization2,247.000000
34,org.jfree.chart.plot.junit.XYPlotTests#testSerialization5,241.000000
35,org.jfree.chart.plot.junit.XYPlotTests#testEquals,205.000000
36,org.jfree.chart.plot.junit.XYPlotTests#testGetLegendItems,198.000000
37,org.jfree.chart.plot.junit.XYPlotTests#testCloneIndependence,192.000000
38,org.jfree.chart.plot.junit.MultiplePiePlotTests#testSerialization,177.000000
39,org.jfree.chart.plot.junit.CategoryPlotTests#testAxisRange,168.000000
40,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests#test2947660,168.000000
41,org.jfree.chart.renderer.junit.AbstractRendererTests#testEquals,130.000000
42,org.jfree.chart.plot.junit.PolarPlotTests#testCloning,127.000000
43,org.jfree.chart.title.junit.LegendTitleTests#testSerialization,127.000000
44,org.jfree.chart.junit.ChartPanelTests#testSetChart,121.000000
45,org.jfree.chart.plot.junit.PiePlotTests#testEquals,115.000000
46,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests#testEquals,106.000000
47,org.jfree.chart.plot.junit.PiePlotTests#testGetLegendItems,103.000000
48,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testBug1572478Horizontal,720.000000
49,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests#testDrawWithNullInfo,674.000000
50,org.jfree.chart.plot.junit.CategoryPlotTests#testSerialization3,660.000000
51,org.jfree.chart.plot.junit.XYPlotTests#testSerialization3,657.000000
52,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests#testDrawWithNullInfo,633.000000
53,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests#testNotification,631.000000
54,org.jfree.chart.junit.LineChart3DTests#testDrawWithNullInfo,610.000000
55,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests#testNotification,596.000000
56,org.jfree.chart.junit.XYBarChartTests#testDrawWithNullInfo,580.000000
57,org.jfree.chart.plot.junit.CategoryPlotTests#test1654215,558.000000
58,org.jfree.chart.plot.junit.XYPlotTests#testDrawRangeGridlines,526.000000
59,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests#testFindDomainBounds,316.000000
60,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests#testSerialization,309.000000
61,org.jfree.chart.junit.GanttChartTests#testSetSeriesToolTipGenerator,279.000000
62,org.jfree.chart.junit.ChartPanelTests#test2502355_zoom,272.000000
63,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests#testGetLegendItemSeriesIndex,270.000000
64,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests#testCloning,265.000000
65,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests#testGetLegendItemSeriesIndex,265.000000
66,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests#testEquals,239.000000
67,org.jfree.chart.plot.junit.XYPlotTests#testSerialization1,227.000000
68,org.jfree.chart.plot.junit.MultiplePiePlotTests#testEquals,192.000000
69,org.jfree.chart.plot.junit.MultiplePiePlotTests#testGetLegendItems,163.000000
70,org.jfree.chart.renderer.junit.AbstractRendererTests#testOutlinePaintLookup,144.000000
71,org.jfree.chart.plot.junit.XYPlotTests#testGetRangeAxisForDataset,141.000000
72,org.jfree.chart.axis.junit.DateAxisTests#testBug2201869,109.000000
73,org.jfree.chart.renderer.junit.AbstractRendererTests#testHashCode,90.000000
74,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullMedian,675.000000
75,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests#testDrawWithNullInfo,674.000000
76,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests#testDrawWithNullInfo,646.000000
77,org.jfree.chart.junit.XYStepAreaChartTests#testDrawWithNullInfo,608.000000
78,org.jfree.chart.junit.StackedAreaChartTests#testDrawWithNullInfo,591.000000
79,org.jfree.chart.plot.junit.XYPlotTests#test1654215,533.000000
80,org.jfree.chart.junit.WaterfallChartTests#testSetSeriesURLGenerator,311.000000
81,org.jfree.chart.junit.XYBarChartTests#testSetSeriesToolTipGenerator,304.000000
82,org.jfree.chart.junit.ChartPanelTests#test2502355_zoomOutBoth,271.000000
83,org.jfree.chart.plot.junit.CategoryPlotTests#testSerialization5,268.000000
84,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests#testCloning,265.000000
85,org.jfree.chart.renderer.category.junit.BarRendererTests#testGetLegendItemSeriesIndex,261.000000
86,org.jfree.chart.renderer.xy.junit.XYBarRendererTests#testGetLegendItemSeriesIndex,260.000000
87,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests#testCloning,253.000000
88,org.jfree.chart.junit.JFreeChartTests#testEquals,209.000000
89,org.jfree.chart.plot.junit.MultiplePiePlotTests#testCloning,141.000000
90,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests#testRemoveSubplot,114.000000
91,org.jfree.chart.plot.junit.CategoryPlotTests#testCloning,112.000000
92,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests#testRemoveSubplot,105.000000
93,org.jfree.chart.renderer.junit.AbstractRendererTests#testCloning,100.000000
94,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testBug1572478Vertical,726.000000
95,org.jfree.chart.renderer.category.junit.LevelRendererTests#testDrawWithNullInfo,672.000000
96,org.jfree.chart.renderer.xy.junit.XYStepRendererTests#testDrawWithNullValue,653.000000
97,org.jfree.chart.junit.BarChart3DTests#testDrawWithNullInfo,609.000000
98,org.jfree.chart.plot.junit.XYPlotTests#testDrawSeriesWithZeroItems,555.000000
99,org.jfree.chart.axis.junit.LogAxisTests#testXYAutoRange1,314.000000
100,org.jfree.chart.axis.junit.LogAxisTests#testAutoRange3,284.000000
101,org.jfree.chart.junit.ChartPanelTests#test2502355_zoomInDomain,270.000000
102,org.jfree.chart.plot.junit.CategoryPlotTests#testSerialization,256.000000
103,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests#testEquals,250.000000
104,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests#testGetLegendItemSeriesIndex,250.000000
105,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests#testEquals,242.000000
106,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests#testGetLegendItemSeriesIndex,235.000000
107,org.jfree.chart.junit.PieChartTests#testReplaceDatasetOnPieChart,174.000000
108,org.jfree.chart.renderer.junit.AbstractRendererTests#testFillPaintLookup,144.000000
109,org.jfree.chart.plot.junit.MultiplePiePlotTests#testConstructor,121.000000
110,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests#testRemoveSubplot,106.000000
111,org.jfree.chart.renderer.junit.AbstractRendererTests#testEventNotification,89.000000
112,org.jfree.data.general.junit.DatasetUtilitiesTests#testFindMinimumRangeValue,79.000000
113,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullInfo,679.000000
114,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests#testDrawWithNullDeviationHorizontal,675.000000
115,org.jfree.chart.junit.TimeSeriesChartTests#testDrawWithNullInfo,651.000000
116,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests#testDrawWithNullInfo,628.000000
117,org.jfree.chart.junit.StackedBarChartTests#testDrawWithNullInfo,601.000000
118,org.jfree.chart.junit.XYAreaChartTests#testReplaceDataset,332.000000
119,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests#testSerialization,308.000000
120,org.jfree.chart.junit.StackedBarChartTests#testReplaceDataset,302.000000
121,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests#testGetLegendItemSeriesIndex,276.000000
122,org.jfree.chart.junit.ChartPanelTests#testSetMouseWheelEnabled,258.000000
123,org.jfree.chart.plot.junit.CategoryPlotTests#testSerialization2,256.000000
124,org.jfree.chart.renderer.category.junit.LevelRendererTests#testGetLegendItemSeriesIndex,253.000000
125,org.jfree.chart.junit.PieChart3DTests#testReplaceDatasetOnPieChart,173.000000
126,org.jfree.chart.plot.junit.XYPlotTests#testCloning3,163.000000
127,org.jfree.chart.renderer.junit.AbstractRendererTests#testPaintLookup,144.000000
128,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests#testSerialization,94.000000
129,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullMean,728.000000
130,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests#testDrawWithNullInfo,673.000000
131,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests#testDrawWithNullInfo,627.000000
132,org.jfree.chart.junit.StackedBarChart3DTests#testDrawWithNullInfo,603.000000
133,org.jfree.chart.junit.XYAreaChartTests#testDrawWithNullInfo,589.000000
134,org.jfree.chart.junit.TimeSeriesChartTests#testReplaceDataset,350.000000
135,org.jfree.chart.junit.StackedAreaChartTests#testReplaceDataset,290.000000
136,org.jfree.chart.junit.ChartPanelTests#test2502355_zoomInRange,270.000000
137,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests#testGetLegendItemSeriesIndex,262.000000
138,org.jfree.chart.renderer.category.junit.AreaRendererTests#testGetLegendItemSeriesIndex,255.000000
139,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests#testEquals,251.000000
140,org.jfree.chart.junit.JFreeChartTests#testTitleChangeEvent,171.000000
141,org.jfree.chart.plot.junit.CategoryPlotTests#testGetDomainAxisForDataset,156.000000
142,org.jfree.chart.plot.junit.XYPlotTests#testCloning4,144.000000
143,org.jfree.chart.plot.junit.PlotTests#testEquals,97.000000
144,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullMinRegular,717.000000
145,org.jfree.chart.annotations.junit.XYBoxAnnotationTests#testDrawWithNullInfo,658.000000
146,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests#testDrawWithNullInfo,657.000000
147,org.jfree.chart.junit.ScatterPlotTests#testDrawWithNullInfo,607.000000
148,org.jfree.chart.junit.AreaChartTests#testDrawWithNullInfo,593.000000
149,org.jfree.chart.junit.XYStepAreaChartTests#testReplaceDataset,330.000000
150,org.jfree.chart.junit.StackedBarChart3DTests#testReplaceDataset,305.000000
151,org.jfree.chart.junit.ChartPanelTests#test2502355_zoomInBoth,271.000000
152,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests#testGetLegendItemSeriesIndex,263.000000
153,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testGetLegendItemSeriesIndex,254.000000
154,org.jfree.chart.junit.JFreeChartTests#testAddSubtitle,169.000000
155,org.jfree.chart.plot.junit.CategoryPlotTests#testGetRangeAxisForDataset,145.000000
156,org.jfree.chart.plot.junit.XYPlotTests#testSetNullRenderer,88.000000
157,org.jfree.chart.block.junit.BorderArrangementTests#testBugX,67.000000
158,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests#testDrawWithNullMaxRegular,717.000000
159,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests#testDrawWithNullInfo,672.000000
160,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests#testBug1593156,631.000000
161,org.jfree.chart.junit.LineChartTests#testDrawWithNullInfo,606.000000
162,org.jfree.chart.junit.XYLineChartTests#testDrawWithNullInfo,590.000000
