rank,test,score
1,com.google.javascript.jscomp.CommandLineRunnerTest#testTypedAdvanced,2703.000000
2,com.google.javascript.jscomp.IntegrationTest#testGoogDefineClass3,2526.000000
3,com.google.javascript.jscomp.IntegrationTest#testGoogDefineClass1,2422.000000
4,com.google.javascript.jscomp.CommandLineRunnerTest#testInlineVariables,2308.000000
5,com.google.javascript.jscomp.CommandLineRunnerTest#testDebugFlag3,2270.000000
6,com.google.javascript.jscomp.IntegrationTest#testIssue730,2244.000000
7,com.google.javascript.jscomp.CommandLineRunnerTest#testGetMsgWiring,2220.000000
8,com.google.javascript.jscomp.CommandLineRunnerTest#testIssue504,2213.000000
9,com.google.javascript.jscomp.CommandLineRunnerTest#testForwardDeclareDroppedTypes,2201.000000
10,com.google.javascript.jscomp.IntegrationTest#testExpose,2088.000000
11,com.google.javascript.jscomp.IntegrationTest#testIssue724,2038.000000
12,com.google.javascript.jscomp.CommandLineRunnerTest#testIssue81,2002.000000
13,com.google.javascript.jscomp.IntegrationTest#testSingletonGetter1,1939.000000
14,com.google.javascript.jscomp.CommandLineRunnerTest#testIssue297,1801.000000
15,com.google.javascript.jscomp.SymbolTableTest#testSuperClassReference,1796.000000
16,com.google.javascript.jscomp.IntegrationTest#testIssue787,1739.000000
17,com.google.javascript.jscomp.CommandLineRunnerTest#testSyntheticExterns,1730.000000
18,com.google.javascript.jscomp.CommandLineRunnerTest#testTypeCheckOverride1,1728.000000
19,com.google.javascript.jscomp.IntegrationTest#testMemoizedTypedScopeCreator,1659.000000
20,com.google.javascript.jscomp.IntegrationTest#testIssue550,1634.000000
21,com.google.javascript.jscomp.IntegrationTest#testClosurePassPreservesJsDoc,1619.000000
22,com.google.javascript.jscomp.IntegrationTest#testIssue598,1619.000000
23,com.google.javascript.jscomp.IntegrationTest#testFoldLocals2,1580.000000
24,com.google.javascript.jscomp.IntegrationTest#testRenamePrefixNamespaceProtectSideEffects,1541.000000
25,com.google.javascript.jscomp.IntegrationTest#testBug2592659,1530.000000
26,com.google.javascript.jscomp.DisambiguatePropertiesTest#testClosureInherits,1522.000000
27,com.google.javascript.jscomp.PureFunctionIdentifierTest#testInheritance2,1509.000000
28,com.google.javascript.jscomp.RuntimeTypeCheckTest#testImplementedInterfaceOrderingGoogInherits,1461.000000
29,com.google.javascript.jscomp.CommandLineRunnerTest#testCheckUndefinedProperties1,1456.000000
30,com.google.javascript.jscomp.TightenTypesTest#testUntypedImplicitCallFromProperty,1430.000000
31,com.google.javascript.jscomp.ReplaceStringsTest#testThrowError4,1403.000000
32,com.google.javascript.jscomp.CompilerTest#testLocalUndefined,1367.000000
33,com.google.javascript.jscomp.AmbiguatePropertiesTest#testInline,1366.000000
34,com.google.javascript.jscomp.ExternExportsPassTest#testExportEnum,1358.000000
35,com.google.javascript.jscomp.DisambiguatePropertiesTest#testEnumOfObjects2,1341.000000
36,com.google.javascript.jscomp.TypedScopeCreatorTest#testTemplateType7c,1309.000000
37,com.google.javascript.jscomp.RemoveUnusedNamesTest#testAnalyzeUnusedPrototypeProperties3,1288.000000
38,com.google.javascript.jscomp.TypeCheckTest#testTypeInferenceWithNoEntry2,1279.000000
39,com.google.javascript.jscomp.CheckAccessControlsTest#testAccessOfStaticMethodOnPrivateQualifiedConstructor,1271.000000
40,com.google.javascript.jscomp.IntegrationTest#testBadBreakStatementInIdeMode,1241.000000
41,com.google.javascript.jscomp.IntegrationTest#testBrokenNameSpace,1231.000000
42,com.google.javascript.jscomp.TypeCheckFunctionCheckTest#testMethodCalls,1230.000000
43,com.google.javascript.jscomp.IntegrationTest#testAllChecksOn,1221.000000
44,com.google.javascript.jscomp.IntegrationTest#testBug1962380,1213.000000
45,com.google.javascript.jscomp.CheckMissingReturnTest#testReturnNotMissing,1168.000000
46,com.google.javascript.jscomp.TightenTypesTest#testObjectLiteralTraversal,1140.000000
47,com.google.javascript.jscomp.TypeCheckTest#testQualifiedNameInference8,1118.000000
48,com.google.javascript.jscomp.DisambiguatePropertiesTest#testObjectLiteralNotRenamed,1115.000000
49,com.google.javascript.jscomp.SymbolTableTest#testTypeCheckingOff,1114.000000
50,com.google.javascript.jscomp.IntegrationTest#testCoaleseVariables,1109.000000
51,com.google.javascript.jscomp.IntegrationTest#testCheckConstants2,1078.000000
52,com.google.javascript.jscomp.IntegrationTest#testFoldLocals5,1077.000000
53,com.google.javascript.jscomp.CodePrinterTest#testTypeAnnotationsMember,1056.000000
54,com.google.javascript.jscomp.CheckAccessControlsTest#testAutoboxedDeprecatedProperty,1052.000000
55,com.google.javascript.jscomp.IntegrationTest#testIssue90,1050.000000
56,com.google.javascript.jscomp.TypedScopeCreatorTest#testPrototypePropertyMethodWithoutAnnotation,1034.000000
57,com.google.javascript.jscomp.DisambiguatePropertiesTest#testErrorOnProtectedProperty,1007.000000
58,com.google.javascript.jscomp.InlineFunctionsTest#testBug4944818,1006.000000
59,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest#testInlineIfNameIsLeftSideOfAssign,990.000000
60,com.google.javascript.jscomp.IntegrationTest#testMarkPureCalls,981.000000
61,com.google.javascript.jscomp.RemoveUnusedVarsTest#testReflectedMethods,937.000000
62,com.google.javascript.jscomp.NameAnalyzerTest#testNoSideEffectAnnotation7,936.000000
63,com.google.javascript.jscomp.TypeInferenceTest#testRecordInference,929.000000
64,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest#testOptimizeSwitch,928.000000
65,com.google.javascript.jscomp.TypeCheckTest#testEnum9,921.000000
66,com.google.javascript.jscomp.SpecializeModuleTest#testSpecializeDevirtualizePrototypeMethodsWithInline,918.000000
67,com.google.javascript.jscomp.InlineVariablesTest#testIssue378EscapedArguments2,874.000000
68,com.google.javascript.jscomp.OptimizeCallsTest#testRemovingReturnCallToFunctionWithUnusedParams,850.000000
69,com.google.javascript.jscomp.CheckRequiresForConstructorsTest#testRequiresAreCaughtBeforeProcessed,847.000000
70,com.google.javascript.jscomp.CommandLineRunnerTest#testDependencySortingWhitespaceMode,831.000000
71,com.google.javascript.jscomp.IntegrationTest#testSortingOff,805.000000
72,com.google.javascript.jscomp.CommandLineRunnerTest#testCheckSymbolsOnForVerbose,797.000000
73,com.google.javascript.jscomp.ProcessDefinesTest#testReassignAfterNonGlobalRef,773.000000
74,com.google.javascript.jscomp.IntegrationTest#testRecoverOnBadExterns,763.000000
75,com.google.javascript.jscomp.jsonml.SecureCompilerTest#testCompilerInterface,741.000000
76,com.google.javascript.jscomp.IntegrationTest#testIncompleteFunction1,717.000000
77,com.google.javascript.jscomp.ProcessCommonJSModulesTest#testSortInputs,717.000000
78,com.google.debugging.sourcemap.SourceMapGeneratorV2Test#testGoldenOutput5,712.000000
79,com.google.javascript.jscomp.ExternExportsPassTest#testExportSymbolWithoutTypeCheck,706.000000
80,com.google.javascript.jscomp.FunctionInjectorTest#testInlineReferenceInExpression13,701.000000
81,com.google.javascript.jscomp.AliasExternalsTest#testPropMutatorNotPushedDeeper,675.000000
82,com.google.javascript.jscomp.InlineVariablesTest#testCrossFunctionsAsLeftLeaves,635.000000
83,com.google.javascript.jscomp.CompilerTest#testCommonJSMissingRequire,589.000000
84,com.google.javascript.jscomp.TypeCheckTest#testUndefinedNode,554.000000
85,com.google.javascript.jscomp.ExpressionDecomposerTest#testExposePlusEquals3,510.000000
86,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest#testGoogIsFunction3,507.000000
87,com.google.javascript.jscomp.RecordFunctionInformationTest#testModule,488.000000
88,com.google.javascript.jscomp.parsing.ParserTest#testJSDocAttachment11,398.000000
89,com.google.javascript.jscomp.RhinoErrorReporterTest#testTrailingComma,288.000000
90,com.google.javascript.jscomp.IntegrationTest#testGoogDefineClass2,2380.000000
91,com.google.javascript.jscomp.CommandLineRunnerTest#testReflectedMethods,2277.000000
92,com.google.javascript.jscomp.CommandLineRunnerTest#testDebugFlag4,2249.000000
93,com.google.javascript.jscomp.CommandLineRunnerTest#testIssue115,2194.000000
94,com.google.javascript.jscomp.IntegrationTest#testNegativeZero,2131.000000
95,com.google.javascript.jscomp.CommandLineRunnerTest#testAdvancedModeRemovesUnusedParams,2003.000000
96,com.google.javascript.jscomp.CommandLineRunnerTest#testGoogAssertStripping,1983.000000
97,com.google.javascript.jscomp.IntegrationTest#testHiddenSideEffect,1821.000000
98,com.google.javascript.jscomp.SymbolTableTest#testFieldReferencesMissingTypeInfo,1737.000000
99,com.google.javascript.jscomp.CommandLineRunnerTest#testModuleJSON,1670.000000
100,com.google.javascript.jscomp.IntegrationTest#testFlowSensitiveInlineVariables2,1615.000000
101,com.google.javascript.jscomp.IntegrationTest#testIssue772,1524.000000
102,com.google.javascript.jscomp.IntegrationTest#testMissingReturn,1514.000000
103,com.google.javascript.jscomp.IntegrationTest#testCheckConstants1,1478.000000
104,com.google.javascript.jscomp.DisambiguatePropertiesTest#testInvalidatingInterface,1438.000000
105,com.google.javascript.jscomp.RuntimeTypeCheckTest#testQualifiedClass,1409.000000
106,com.google.javascript.jscomp.ReplaceStringsTest#testLoggerOnObject1,1366.000000
107,com.google.javascript.jscomp.AmbiguatePropertiesTest#testPredeclaredType,1365.000000
108,com.google.javascript.jscomp.ExternExportsPassTest#testExportDontEmitPrototypePathPrefix,1351.000000
109,com.google.javascript.jscomp.TightenTypesTest#testRestrictToInterfaceCast,1323.000000
110,com.google.javascript.jscomp.TypedScopeCreatorTest#testTemplateType7b,1307.000000
111,com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest#testRewritePrototypeMethods2,1302.000000
112,com.google.javascript.jscomp.RemoveUnusedNamesTest#testStatement,1279.000000
113,com.google.javascript.jscomp.TypeCheckTest#testBug7701884,1246.000000
114,com.google.javascript.jscomp.LooseTypeCheckTest#testTypeOfReduction13,1237.000000
115,com.google.javascript.jscomp.DisambiguatePropertiesTest#testMismatchForbiddenInvalidation,1179.000000
116,com.google.javascript.jscomp.IntegrationTest#testStrictWarningsGuard,1175.000000
117,com.google.javascript.jscomp.TypedScopeCreatorTest#testTemplateType6,1144.000000
118,com.google.javascript.jscomp.CheckMissingReturnTest#testFinallyStatements,1138.000000
119,com.google.javascript.jscomp.TightenTypesTest#testCallSlot,1111.000000
120,com.google.javascript.jscomp.IntegrationTest#testProvidedNamespaceIsConst2,1107.000000
121,com.google.javascript.jscomp.IntegrationTest#testIssue378,1080.000000
122,com.google.javascript.jscomp.CheckAccessControlsTest#testAutoboxedPrivateProperty,1035.000000
123,com.google.javascript.jscomp.LooseTypeCheckTest#testStubConstructorImplementingInterface,997.000000
124,com.google.javascript.jscomp.InlineFunctionsTest#testIssue5159924a,984.000000
125,com.google.javascript.jscomp.IntegrationTest#testDevirtualizationAndExtractPrototypeMemberDeclarations,978.000000
126,com.google.javascript.jscomp.CodePrinterTest#testEnumAnnotation2,971.000000
127,com.google.javascript.jscomp.IntegrationTest#testLateStatementFusion,962.000000
128,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest#testDoNotInlineCatchExpression2,960.000000
129,com.google.javascript.jscomp.CollapsePropertiesTest#testAliasedTopLevelEnum,920.000000
130,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest#testFoldBlock,912.000000
131,com.google.javascript.jscomp.NameAnalyzerTest#testUnhandledTopNode,907.000000
132,com.google.javascript.jscomp.TypedScopeCreatorTest#testDeclaredCatchExpression2,861.000000
133,com.google.javascript.jscomp.TypeCheckTest#testMissingProperty29,858.000000
134,com.google.javascript.jscomp.TypeCheckTest#testGetTypedPercent3,852.000000
135,com.google.javascript.jscomp.CoalesceVariableNamesTest#testLoopInductionVar,829.000000
136,com.google.javascript.jscomp.OptimizeCallsTest#testUnusedAssignOnFunctionWithUnusedParams,819.000000
137,com.google.javascript.jscomp.CommandLineRunnerTest#testSourceSortingCircularDeps1,765.000000
138,com.google.javascript.jscomp.ProcessDefinesTest#testNamespacedDefine2c,762.000000
139,com.google.javascript.jscomp.RenamePropertiesTest#testModules,740.000000
140,com.google.javascript.jscomp.InlineFunctionsTest#testCrossModuleInlining2,698.000000
