rank,test,score
1,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSpeedCheck3,90.000000
2,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[Judenburg-iudnbYrk|iudnbirk|iudnburk|xudnbirk|xudnburk|zudnbirk|zudnburk-GENERIC-APPROX],76.000000
3,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testEncodeEmpty,49.000000
4,org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended3,46.000000
5,org.apache.commons.codec.net.BCodecTest#testUTF8RoundTrip,41.000000
6,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testInvalidLangIllegalArgumentException,36.000000
7,org.apache.commons.codec.binary.Base64OutputStreamTest#testBase64OutputStreamByteByByte,33.000000
8,org.apache.commons.codec.binary.Base32InputStreamTest#testCodec130,31.000000
9,org.apache.commons.codec.binary.Base64InputStreamTest#testBase64InputStreamByChunk,31.000000
10,org.apache.commons.codec.binary.Base64Test#testUUID,31.000000
11,org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualBasic,31.000000
12,org.apache.commons.codec.binary.Base32OutputStreamTest#testBase32OutputStreamByteByByte,29.000000
13,org.apache.commons.codec.net.BCodecTest#testDecodeObjects,28.000000
14,org.apache.commons.codec.binary.Base32InputStreamTest#testBase32InputStreamByteByByte,27.000000
15,org.apache.commons.codec.StringEncoderComparatorTest#testComparatorWithDoubleMetaphone,25.000000
16,org.apache.commons.codec.digest.HmacUtilsTest#testSha256HMac,25.000000
17,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSetRuleTypeExact,21.000000
18,org.apache.commons.codec.net.QCodecTest#testUTF8RoundTrip,21.000000
19,org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testSoundexBasic3,20.000000
20,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakEncode,20.000000
21,org.apache.commons.codec.binary.Base32Test#testBase32Chunked,19.000000
22,org.apache.commons.codec.digest.DigestUtilsTest#testShaHex,19.000000
23,org.apache.commons.codec.language.ColognePhoneticTest#testExamples,17.000000
24,org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacHexString[HmacMD5],16.000000
25,org.apache.commons.codec.net.URLCodecTest#testBasicEncodeDecode,16.000000
26,org.apache.commons.codec.binary.Base64Test#testEmptyBase64,14.000000
27,org.apache.commons.codec.binary.HexTest#testEncodeDecodeHexCharArrayRandom,14.000000
28,org.apache.commons.codec.binary.Base32InputStreamTest#testRead0,12.000000
29,org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptStrings,11.000000
30,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testOOM,81.000000
31,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testLocaleIndependence,68.000000
32,org.apache.commons.codec.language.DoubleMetaphoneTest#testDoubleMetaphone,41.000000
33,org.apache.commons.codec.binary.Base64InputStreamTest#testCodec130,32.000000
34,org.apache.commons.codec.net.BCodecTest#testEncodeObjects,32.000000
35,org.apache.commons.codec.binary.Base64Test#testRfc4648Section10DecodeEncode,31.000000
36,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testNegativeIndexForRuleMatchIndexOutOfBoundsException,31.000000
37,org.apache.commons.codec.digest.HmacUtilsTest#testSha1HMac,25.000000
38,org.apache.commons.codec.binary.Base64InputStreamTest#testAvailable,23.000000
39,org.apache.commons.codec.binary.Base32InputStreamTest#testAvailable,22.000000
40,org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended2,20.000000
41,org.apache.commons.codec.language.bm.LanguageGuessingTest#testLanguageGuessing[Renault-french-{2}],18.000000
42,org.apache.commons.codec.binary.Base32OutputStreamTest#testWriteOutOfBounds,16.000000
43,org.apache.commons.codec.binary.Base32Test#testRandomBytes,16.000000
44,org.apache.commons.codec.digest.DigestUtilsTest#testMd2Hex,16.000000
45,org.apache.commons.codec.language.ColognePhoneticTest#testIsEncodeEquals,16.000000
46,org.apache.commons.codec.net.QuotedPrintableCodecTest#testUTF8RoundTrip,14.000000
47,org.apache.commons.codec.binary.Base64InputStreamTest#testSkipWrongArgument,13.000000
48,org.apache.commons.codec.binary.HexTest#testCustomCharset,13.000000
