rank,test,score
1,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToZipUsingZipFilePerform,282.000000
2,org.apache.commons.compress.archivers.zip.ZipFileTest#testEntryAlignment,251.000000
3,org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest#concurrent,249.000000
4,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest#testStackOfContentCompressionsInMemory,247.000000
5,org.apache.commons.compress.archivers.ZipTestCase#testZipArchiveCreationInMemory,241.000000
6,org.apache.commons.compress.archivers.ArchiveOutputStreamTest#testFinish,209.000000
7,org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorInputStreamTest#readIWAFile,191.000000
8,org.apache.commons.compress.archivers.zip.ZipFileTest#testUnzipBZip2CompressedEntry,188.000000
9,org.apache.commons.compress.archivers.zip.ZipFileTest#readDeflate64CompressedStream,185.000000
10,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#properUseOfInflater,178.000000
11,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#testEncodingOutputStream,172.000000
12,org.apache.commons.compress.compressors.Pack200TestCase#testJarUnarchiveAllTempFile,172.000000
13,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#readDeflate64CompressedStreamWithDataDescriptor,169.000000
14,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest#testDirectoriesAndEmptyFiles,166.000000
15,org.apache.commons.compress.archivers.zip.DataDescriptorTest#doesntWriteDataDescriptorForDeflatedEntryOnSeekableOutput,163.000000
16,org.apache.commons.compress.compressors.lz4.FactoryTest#frameRoundtripViaFactory,162.000000
17,org.apache.commons.compress.archivers.zip.ZipFileTest#testConcurrentReadSeekable,161.000000
18,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToTar,152.000000
19,org.apache.commons.compress.archivers.sevenz.SevenZFileTest#testRandomlySkippingEntries,150.000000
20,org.apache.commons.compress.compressors.FramedSnappyTestCase#testRoundtrip,140.000000
21,org.apache.commons.compress.changes.ChangeSetTestCase#testChangeSetResults,139.000000
22,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest#testExtraPaxHeaders,126.000000
23,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#aiffFilesAreNoTARs,125.000000
24,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToAr,92.000000
25,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest#testExtraFieldMerging,91.000000
26,org.apache.commons.compress.archivers.zip.Zip64SupportIT#writeBigDeflatedEntryUnknownSizeToStreamModeNever,89.000000
27,org.apache.commons.compress.compressors.BZip2TestCase#testBzipCreation,88.000000
28,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest#testSevenEmptyFiles,85.000000
29,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_cEf.tar],83.000000
30,org.apache.commons.compress.compressors.DetectCompressorTestCase#testDetection,75.000000
31,org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorInputStreamTest#testLoremIpsum,71.000000
32,org.apache.commons.compress.compressors.Pack200TestCase#testJarArchiveCreationTempFile,260.000000
33,org.apache.commons.compress.archivers.ZipTestCase#testCopyRawZip64EntryFromFile,245.000000
34,org.apache.commons.compress.archivers.zip.ScatterSampleTest#testSample,241.000000
35,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testZipFileReadsUnicodeFields,231.000000
36,org.apache.commons.compress.archivers.SevenZTestCase#testSevenZArchiveCreationUsingBZIP2,207.000000
37,org.apache.commons.compress.compressors.deflate64.Deflate64BugsTest#readBeyondMemoryException,181.000000
38,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testUnzipBZip2CompressedEntry,173.000000
39,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#readDeflate64CompressedStream,158.000000
40,org.apache.commons.compress.IOMethodsTest#testWriteJar,156.000000
41,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testArchiveWithImplodeCompression4K2Trees,152.000000
42,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromTar,151.000000
43,org.apache.commons.compress.archivers.SevenZTestCase#testSevenZArchiveCreationUsingLZMA,148.000000
44,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testZipStreamWithImplodeCompression4K2Trees,145.000000
45,org.apache.commons.compress.archivers.sevenz.SevenZFileTest#test7zDeflate64Unarchive,135.000000
46,org.apache.commons.compress.compressors.lz4.BlockLZ4CompressorRoundtripTest#biggerFileRoundtrip[using default],113.000000
47,org.apache.commons.compress.compressors.snappy.SnappyRoundtripTest#tryReallyBigOffset,96.000000
