rank,test,score
1,org.apache.commons.csv.CSVFileParserTest#testCSVFile[1],88.000000
2,org.apache.commons.csv.CSVPrinterTest#testParseCustomNullValues,86.000000
3,org.apache.commons.csv.CSVPrinterTest#testRandomTdf,86.000000
4,org.apache.commons.csv.CSVParserTest#testRoundtrip,84.000000
5,org.apache.commons.csv.CSVParserTest#testTrailingDelimiter,79.000000
6,org.apache.commons.csv.issues.JiraCsv198Test#test,77.000000
7,org.apache.commons.csv.CSVParserTest#testBackslashEscaping,74.000000
8,org.apache.commons.csv.CSVParserTest#testHeaderMissingWithNull,64.000000
9,org.apache.commons.csv.CSVFormatTest#testWithHeaderComments,55.000000
10,org.apache.commons.csv.CSVParserTest#testCSV57,54.000000
11,org.apache.commons.csv.LexerTest#testNextToken6,53.000000
12,org.apache.commons.csv.CSVPrinterTest#testHeaderCommentTdf,52.000000
13,org.apache.commons.csv.CSVRecordTest#testRemoveAndAddColumns,47.000000
14,org.apache.commons.csv.CSVFormatTest#testToStringAndWithCommentMarkerTakingCharacter,45.000000
15,org.apache.commons.csv.CSVPrinterTest#testSingleLineComment,38.000000
16,org.apache.commons.csv.CSVFormatTest#testToString,30.000000
17,org.apache.commons.csv.ExtendedBufferedReaderTest#testEmptyInput,7.000000
18,org.apache.commons.csv.CSVPrinterTest#testMySqlNullOutput,85.000000
19,org.apache.commons.csv.CSVFileParserTest#testCSVFile[0],84.000000
20,org.apache.commons.csv.CSVParserTest#testTrim,76.000000
21,org.apache.commons.csv.CSVRecordTest#testToMapWithShortRecord,73.000000
22,org.apache.commons.csv.CSVParserTest#testExcelHeaderCountLessThanData,70.000000
23,org.apache.commons.csv.CSVParserTest#testDuplicateHeaders,62.000000
24,org.apache.commons.csv.CSVPrinterTest#testJdbcPrinterWithResultSet,50.000000
25,org.apache.commons.csv.LexerTest#testBackslashWithEscaping,49.000000
26,org.apache.commons.csv.CSVFormatTest#testNullRecordSeparatorCsv106,45.000000
27,org.apache.commons.csv.CSVParserTest#testNoHeaderMap,44.000000
28,org.apache.commons.csv.CSVFormatTest#testNewFormat,41.000000
29,org.apache.commons.csv.CSVFormatTest#testFormatThrowsNullPointerException,32.000000
30,org.apache.commons.csv.CSVFormatTest#testEqualsSkipHeaderRecord,30.000000
31,org.apache.commons.csv.CSVParserTest#testNewCSVParserReaderNullFormat,5.000000
32,org.apache.commons.csv.CSVFileParserTest#testCSVFile[3],86.000000
33,org.apache.commons.csv.CSVPrinterTest#testRandomExcel,84.000000
34,org.apache.commons.csv.CSVParserTest#testHeaderComment,74.000000
35,org.apache.commons.csv.CSVParserTest#testDefaultFormat,73.000000
36,org.apache.commons.csv.CSVParserTest#testHeadersMissingException,63.000000
37,org.apache.commons.csv.CSVParserTest#testEmptyFile,53.000000
38,org.apache.commons.csv.LexerTest#testNextToken4,52.000000
39,org.apache.commons.csv.CSVPrinterTest#testJdbcPrinterWithResultSetMetaData,49.000000
40,org.apache.commons.csv.CSVPrinterTest#testPrintRecordsWithResultSetOneRow,44.000000
41,org.apache.commons.csv.CSVFormatTest#testEqualsOne,41.000000
42,org.apache.commons.csv.CSVPrinterTest#testCloseWithCsvFormatAutoFlushOff,31.000000
