rank,test,score
1,com.google.gson.functional.TypeHierarchyAdapterTest#testTypeHierarchy,242.000000
2,com.google.gson.functional.MapAsArrayTypeAdapterTest#testSerializeComplexMapWithTypeAdapter,221.000000
3,com.google.gson.functional.RuntimeTypeAdapterFactoryFunctionalTest#testSubclassesAutomaticallySerialized,200.000000
4,com.google.gson.functional.DefaultTypeAdaptersTest#testNullSerialization,190.000000
5,com.google.gson.functional.StreamingTypeAdaptersTest#testNullSafe,184.000000
6,com.google.gson.functional.MapTest#testInterfaceTypeMapWithSerializer,179.000000
7,com.google.gson.functional.ExclusionStrategyFunctionalTest#testExclusionStrategyWithMode,175.000000
8,com.google.gson.functional.CustomDeserializerTest#testDefaultConstructorNotCalledOnField,165.000000
9,com.google.gson.functional.StreamingTypeAdaptersTest#testFromJsonTree,163.000000
10,com.google.gson.functional.JsonParserTest#testChangingCustomTreeAndDeserializing,162.000000
11,com.google.gson.functional.CustomSerializerTest#testSubClassSerializerInvokedForBaseClassFieldsHoldingArrayOfSubClassInstances,159.000000
12,com.google.gson.functional.CustomDeserializerTest#testJsonTypeFieldBasedDeserialization,158.000000
13,com.google.gson.functional.JsonAdapterSerializerDeserializerTest#testJsonSerializerDeserializerBasedJsonAdapterOnClass,158.000000
14,com.google.gson.functional.EnumTest#testEnumSubclassWithRegisteredTypeAdapter,154.000000
15,com.google.gson.functional.MapTest#testGeneralMapField,152.000000
16,com.google.gson.functional.TreeTypeAdaptersTest#testDeserializeId,146.000000
17,com.google.gson.functional.MoreSpecificTypeSerializationTest#testMapOfParameterizedSubclassFields,143.000000
18,com.google.gson.functional.CollectionTest#testIssue1107,142.000000
19,com.google.gson.functional.MapTest#testMapNamePromotionWithJsonElementReader,141.000000
20,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithCustomSerializer,138.000000
21,com.google.gson.functional.InheritanceTest#testSubInterfacesOfCollectionDeserialization,133.000000
22,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeWithCustomTypeAdapter,128.000000
23,com.google.gson.functional.CustomTypeAdaptersTest#testCustomAdapterInvokedForMapElementDeserialization,126.000000
24,com.google.gson.functional.JsonAdapterAnnotationOnClassesTest#testRegisteredSerializerOverridesJsonAdapter,125.000000
25,com.google.gson.functional.JavaUtilTest#testProperties,117.000000
26,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesWithCustomDeserializer,117.000000
27,com.google.gson.DefaultMapJsonSerializerTest#testNonEmptyMapSerialization,112.000000
28,com.google.gson.functional.MapTest#testCustomSerializerForSpecificMapType,98.000000
29,com.google.gson.functional.DefaultTypeAdaptersTest#testJsonObjectDeserialization,94.000000
30,com.google.gson.stream.JsonReaderPathTest#path[OBJECT_READER],84.000000
31,com.google.gson.JsonParserTest#testParseMixedArray,79.000000
32,com.google.gson.internal.bind.JsonTreeWriterTest#testObject,67.000000
33,com.google.gson.functional.MapAsArrayTypeAdapterTest#testMultipleEnableComplexKeyRegistrationHasNoEffect,206.000000
34,com.google.gson.functional.ReadersWritersTest#testReadWriteTwoObjects,199.000000
35,com.google.gson.functional.TypeVariableTest#testAdvancedTypeVariables,183.000000
36,com.google.gson.functional.JsonTreeTest#testJsonTreeToString,172.000000
37,com.google.gson.functional.CustomDeserializerTest#testDefaultConstructorNotCalledOnObject,162.000000
38,com.google.gson.functional.EscapingTest#testGsonAcceptsEscapedAndNonEscapedJsonDeserialization,149.000000
39,com.google.gson.functional.TreeTypeAdaptersTest#testSerializeId,147.000000
40,com.google.gson.functional.CustomTypeAdaptersTest#testCustomTypeAdapterDoesNotAppliesToSubClasses,145.000000
41,com.google.gson.functional.MapTest#testConcurrentMap,135.000000
