rank,test,score
1,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls,8.000000
2,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays,8.000000
3,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667,8.000000
4,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays,7.000000
5,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk,6.000000
6,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection,6.000000
7,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString,8.000000
8,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations,7.000000
9,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging,6.000000
10,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead,8.000000
11,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase,7.000000
12,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging,6.000000
13,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization,7.000000
14,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging,6.000000
15,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings,7.000000
16,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2,5.000000
17,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection,7.000000
18,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString,5.000000
19,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet,7.000000
20,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray,5.000000
21,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid,7.000000
22,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings,7.000000
23,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541,7.000000
24,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults,7.000000
25,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections,7.000000
26,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections,7.000000
27,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections,7.000000
28,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys,7.000000
29,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743,7.000000
30,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties,7.000000
31,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride,7.000000
32,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip,7.000000
33,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip,7.000000
34,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind,7.000000
35,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject,7.000000
36,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists,7.000000
