rank,test,score
1,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest#testRoundtrip,160.000000
2,com.fasterxml.jackson.dataformat.xml.failing.ListDeser294Test#testNestedLists294,159.000000
3,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsPropertyWithObjectId,151.000000
4,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingSubWithAttribute,133.000000
5,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testTextOnlyPojo,131.000000
6,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testMultiLevel172,109.000000
7,com.fasterxml.jackson.dataformat.xml.failing.TypeAttributeOrder242Test#testAttributeOrder,103.000000
8,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleMap,100.000000
9,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testWithAttr,95.000000
10,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue117AnySetterAttrs,72.000000
11,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testListAsProperty,69.000000
12,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testMapperCopy,40.000000
13,com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest#testXmlAttributesWithNextTextValue,36.000000
14,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testEmptyTags,16.000000
15,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrapping,151.000000
16,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty,148.000000
17,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest#testEmptyString162,136.000000
18,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingWithAttribute,128.000000
19,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testAsTextWithJAXB,122.000000
20,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample,92.000000
21,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testElementWrapper,89.000000
22,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testAlternateTextElementName,83.000000
23,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121,69.000000
24,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testListToIntArray,34.000000
25,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability#testXmlFactory,31.000000
26,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testSerializerProviderCopy,4.000000
27,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testWithTwoAttributes,145.000000
28,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testArraySerialization,137.000000
29,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testSimpleUnwrappingRoundtrip,132.000000
30,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testRoundTripWithJacksonExample,129.000000
31,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testSimple198,123.000000
32,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsClassArray,89.000000
33,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testNakedMap,89.000000
34,com.fasterxml.jackson.dataformat.xml.incr.PartialReadTest#testSimpleRead,73.000000
35,com.fasterxml.jackson.dataformat.xml.failing.TestConflictingGetters#testIssue27,53.000000
36,com.fasterxml.jackson.dataformat.xml.failing.TestEmptyContent#testNoContent,32.000000
37,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidComment,26.000000
38,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testNested,16.000000
39,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedList,155.000000
40,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIdsFromAttributes,145.000000
41,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testIssue66,125.000000
42,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability#testMapper,125.000000
43,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest#testSimple,87.000000
44,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test#testPolyIdList178,79.000000
45,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCustomSerializer,51.000000
46,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testNullXform,33.000000
47,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testAttrAndElem,26.000000
48,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testRootAttributes,14.000000
49,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithGetters,151.000000
50,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testParentListRoundtrip,144.000000
51,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testListViaObjectReader,135.000000
52,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testCopyWith,89.000000
53,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleViaObjectReader,74.000000
54,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testMapperSerialization,34.000000
55,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetAttribute,25.000000
56,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testSimple,16.000000
57,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test#testPolyIdList178,157.000000
58,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testListWithAttrOnlyValues,140.000000
59,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToGenericPojo,121.000000
60,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration#testXml10Declaration,86.000000
61,com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData#testTwoBinaryProps,76.000000
62,com.fasterxml.jackson.dataformat.xml.VersionInfoTest#testMapperVersions,28.000000
63,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleAttribute,25.000000
64,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testUnwrappedLists,143.000000
65,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testListSerialization,137.000000
66,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom#testIssue42,124.000000
67,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testDynamicRootName,81.000000
68,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringArrayWithAttribute,77.000000
69,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testIntArrayToX,31.000000
70,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArrayValue,24.000000
71,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsInList,151.000000
72,com.fasterxml.jackson.dataformat.xml.failing.TestUnwrappedDeserIssue86#testDeserializeUnwrappedListWhenLocalNameForRootElementAndXmlPropertyMatch,142.000000
73,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassProperty,134.000000
74,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testWriteToFile,83.000000
75,com.fasterxml.jackson.dataformat.xml.deser.DeserErrorHandling236Test#testExceptionWrapping,64.000000
76,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testArrayIdentityTransforms,30.000000
77,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidPI,26.000000
78,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleStringBean,134.000000
79,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassObject,133.000000
80,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2b,94.000000
81,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue19,84.000000
82,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testShortArrayToX,30.000000
83,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidDoctype,26.000000
84,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleIntBean,133.000000
85,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing,132.000000
86,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith0Bytes,84.000000
87,com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest#testEmptyElement,76.000000
88,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testByteArrayFrom,31.000000
89,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleElement,25.000000
90,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists,135.000000
91,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test#testListWithEmptyCData,92.000000
92,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual#testIssue54,88.000000
93,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testLongArrayToX,31.000000
94,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleAttribute,25.000000
95,com.fasterxml.jackson.dataformat.xml.deser.TestEnums#testEnum,122.000000
96,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testXmlTextWithSuppressedValue,86.000000
97,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testForceElementAsArray,60.000000
98,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSecondLevelAttribute,25.000000
99,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue7,136.000000
100,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testRenamedRootItem,80.000000
101,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testSimpleWithEmpty,58.000000
102,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetValue,24.000000
103,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testUntypedEnum,134.000000
104,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue44,84.000000
105,com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test#testSimpleCollectionDeserWithForwardRefs,80.000000
106,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArratAttribute,25.000000
107,com.fasterxml.jackson.dataformat.xml.failing.EmptyListDeser124Test#test124,125.000000
108,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataString,83.000000
109,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testMixedContent,80.000000
110,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleValue,24.000000
111,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsWrappedClassArray,132.000000
112,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testSerializeAsText,92.000000
113,com.fasterxml.jackson.dataformat.xml.misc.DTDSupportTest#testDTDAttempt,47.000000
114,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidXmlDecl,25.000000
115,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testRootNameAnnotation,85.000000
116,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testDeserializeAsText,71.000000
117,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidRoot,26.000000
118,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList,82.000000
119,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testIssue24,74.000000
120,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleInvalid,14.000000
121,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testSimpleWrappedList,91.000000
122,com.fasterxml.jackson.dataformat.xml.misc.NodeTest#testMixed,56.000000
123,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testStringList,91.000000
124,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListBeanDeser,76.000000
125,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testUnwrappedListBeanDeser,90.000000
126,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression,82.000000
127,com.fasterxml.jackson.dataformat.xml.failing.TestUntypedListSerialization#testListAsObject,90.000000
128,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithAttribute,76.000000
129,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testOptionalsWithMissingType,96.000000
130,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap,79.000000
131,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testListWithAttributes,89.000000
132,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMap,79.000000
133,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIssue43,82.000000
134,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMapSimpleAnnotation,79.000000
135,com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest#testCollection,93.000000
136,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation,79.000000
137,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty2,94.000000
138,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation_nonJaxb,85.000000
139,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty,93.000000
140,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap_nonJaxb,85.000000
141,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2,94.000000
142,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testPersonAsXml,83.000000
143,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested2_1,94.000000
144,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testSerializeAsAttr,90.000000
145,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testOptionals,95.000000
146,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testRootName,90.000000
147,com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest#testEmptyList,90.000000
148,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testTwoAttributes,75.000000
149,com.fasterxml.jackson.dataformat.xml.lists.ListDeser191Test#testListDeser,79.000000
150,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testAttributeAndElement,75.000000
151,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test#testNestedUnwrappedLists180,94.000000
152,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testNoElementWrapper,81.000000
153,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testOptionalsWithMissingType,96.000000
154,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testSimpleNsAttr,82.000000
155,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrappingWithEmptyLists,90.000000
