rank,test,score
1,org.jsoup.integration.ParseTest#testYahooJp,429.000000
2,org.jsoup.integration.ParseTest#testBaidu,417.000000
3,org.jsoup.integration.ConnectTest#sendsRequestBodyWithUrlParams,399.000000
4,org.jsoup.parser.HtmlParserTest#handlesXmlDeclAndCommentsBeforeDoctype,365.000000
5,org.jsoup.helper.W3CDomTest#convertsGoogleLocation,364.000000
6,org.jsoup.helper.DataUtilTest#supportsXmlCharsetDeclaration,359.000000
7,org.jsoup.integration.ParseTest#testLowercaseUtf8Charset,329.000000
8,org.jsoup.integration.ConnectTest#getUtf8Bom,325.000000
9,org.jsoup.parser.HtmlParserTest#testHtmlLowerCase,325.000000
10,org.jsoup.parser.HtmlParserTest#fallbackToUtfIfCantEncode,322.000000
11,org.jsoup.safety.CleanerTest#testIsValidBodyHtml,306.000000
12,org.jsoup.safety.CleanerTest#testRemoveEnforcedAttributes,294.000000
13,org.jsoup.parser.XmlTreeBuilderTest#testDetectCharsetEncodingDeclaration,290.000000
14,org.jsoup.integration.ConnectTest#handlesRedirect,289.000000
15,org.jsoup.parser.HtmlParserTest#parsesBodyFragment,289.000000
16,org.jsoup.select.CssTest#lastOfType,287.000000
17,org.jsoup.parser.HtmlParserTest#handlesUnclosedFormattingElements,285.000000
18,org.jsoup.parser.HtmlParserTest#testInvalidTableContents,285.000000
19,org.jsoup.select.SelectorTest#containsData,285.000000
20,org.jsoup.nodes.ElementTest#testNextElementSiblingAfterClone,279.000000
21,org.jsoup.helper.W3CDomTest#namespacePreservation,258.000000
22,org.jsoup.parser.HtmlParserTest#testFragment,254.000000
23,org.jsoup.safety.CleanerTest#handlesFramesets,254.000000
24,org.jsoup.parser.XmlTreeBuilderTest#handlesXmlDeclarationAsDeclaration,246.000000
25,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateUtf8,176.000000
26,org.jsoup.integration.ConnectTest#testBinaryThrowsExceptionWhenTypeIgnored,125.000000
27,org.jsoup.integration.ParseTest#testGoogleSearchIpod,404.000000
28,org.jsoup.integration.ConnectTest#postFiles,394.000000
29,org.jsoup.helper.W3CDomTest#convertsGoogle,364.000000
30,org.jsoup.integration.ParseTest#testBaiduVariant,318.000000
31,org.jsoup.parser.HtmlParserTest#selfClosingOnNonvoidIsError,293.000000
32,org.jsoup.select.SelectorTest#matchText,289.000000
33,org.jsoup.helper.DataUtilTest#supportsBOMinFiles,288.000000
34,org.jsoup.nodes.DocumentTest#testHtmlAndXmlSyntax,277.000000
35,org.jsoup.nodes.FormElementTest#createsSubmitableConnection,269.000000
36,org.jsoup.parser.HtmlParserTest#characterReaderBuffer,260.000000
37,org.jsoup.parser.HtmlParserTest#handlesCommentsInTable,252.000000
38,org.jsoup.parser.XmlTreeBuilderTest#cdataPreservesWhiteSpace,233.000000
39,org.jsoup.safety.CleanerTest#testScriptTagInWhiteList,229.000000
40,org.jsoup.parser.XmlTreeBuilderTest#testSupplyParserToDataStream,226.000000
41,org.jsoup.parser.HtmlParserTest#tracksErrorsWhenRequested,224.000000
42,org.jsoup.integration.ConnectTest#handlesEmptyStreamDuringParseRead,209.000000
43,org.jsoup.parser.HtmlParserTest#handlesDeepStack,203.000000
44,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlIso8859,160.000000
45,org.jsoup.nodes.ElementTest#testAddBooleanAttribute,102.000000
46,org.jsoup.nodes.DocumentTest#testLocation,428.000000
47,org.jsoup.integration.ConnectTest#fetchURl,329.000000
48,org.jsoup.nodes.DocumentTest#testShiftJisRoundtrip,306.000000
49,org.jsoup.integration.ConnectIT#infiniteReadSupported,287.000000
50,org.jsoup.helper.DataUtilTest#supportsUTF8BOM,284.000000
51,org.jsoup.safety.CleanerTest#supplyOutputSettings,264.000000
52,org.jsoup.parser.HtmlParserTest#handlesUnexpectedMarkupInTables,257.000000
53,org.jsoup.parser.HtmlParserTest#testTemplateInsideTable,243.000000
54,org.jsoup.safety.CleanerTest#testIsValidDocument,240.000000
55,org.jsoup.parser.XmlTreeBuilderTest#testCommentAndDocType,222.000000
