rank,test,score
1,org.apache.commons.lang.text.StrTokenizerTest#test6,100.000000
2,org.apache.commons.lang.builder.StandardToStringStyleTest#testObject,80.000000
3,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionArrayAndObjectCycle,69.000000
4,org.apache.commons.lang.builder.StandardToStringStyleTest#testLong,66.000000
5,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeEmptyCollection,62.000000
6,org.apache.commons.lang.text.VariableFormatterTest#testNonInstanceMethods,61.000000
7,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest#testObject,60.000000
8,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionObjectArray,59.000000
9,org.apache.commons.lang.text.StrTokenizerTest#testCSVSimpleNeedsTrim,58.000000
10,org.apache.commons.lang.builder.ShortPrefixToStringStyleTest#testObjectArray,56.000000
11,org.apache.commons.lang.text.StrTokenizerTest#testBasicIgnoreTrimmed4,53.000000
12,org.apache.commons.lang.builder.ShortPrefixToStringStyleTest#testLong,46.000000
13,org.apache.commons.lang.time.DurationFormatUtilsTest#testFormatPeriodISO,44.000000
14,org.apache.commons.lang.time.DateFormatUtilsTest#testFormat,42.000000
15,org.apache.commons.lang.time.DateFormatUtilsTest#testSMTP,42.000000
16,org.apache.commons.lang.time.FastDateFormatTest#testShortDateStyleWithLocales,37.000000
17,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionNull,34.000000
18,org.apache.commons.lang.text.StrTokenizerTest#testTSVEmpty,34.000000
19,org.apache.commons.lang.StringEscapeUtilsTest#testEscapeXml,28.000000
20,org.apache.commons.lang.text.StrTokenizerTest#testChaining,28.000000
21,org.apache.commons.lang.time.FastDateFormatTest#testSimpleDate,27.000000
22,org.apache.commons.lang.text.StrBuilderTest#testAsWriter,24.000000
23,org.apache.commons.lang.time.DateFormatUtilsTest#testConstructor,24.000000
24,org.apache.commons.lang.time.FastDateFormatTest#test_getInstance,23.000000
25,org.apache.commons.lang.ArrayUtilsTest#testIsEquals,22.000000
26,org.apache.commons.lang.NotImplementedExceptionTest#testGetThrowable,22.000000
27,org.apache.commons.lang.text.StrBuilderTest#testAsReader,22.000000
28,org.apache.commons.lang.text.StrBuilderTest#testReplaceFirst_StrMatcher_String,22.000000
29,org.apache.commons.lang.exception.ExceptionUtilsTestCase#testPrintRootCauseStackTrace_ThrowableStream,21.000000
30,org.apache.commons.lang.ArrayUtilsAddTest#testAddObjectArrayToObjectArray,18.000000
31,org.apache.commons.lang.math.NumberUtilsTest#testCreateNumber,18.000000
32,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testInsert,18.000000
33,org.apache.commons.lang.builder.CompareToBuilderTest#testReflectionHierarchyCompareExcludeFields,17.000000
34,org.apache.commons.lang.exception.NestableErrorTestCase#testIndexOfThrowableI,17.000000
35,org.apache.commons.lang.StringUtilsTest#testDeleteSpace_String,16.000000
36,org.apache.commons.lang.time.StopWatchTest#testStopWatchSimpleGet,16.000000
37,org.apache.commons.lang.text.VariableFormatterTest#testInitialize,14.000000
38,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest#testIntegerWithTransients,12.000000
39,org.apache.commons.lang.ArrayUtilsAddTest#testAddObjectAtIndex,11.000000
40,org.apache.commons.lang.NumberUtilsTest#testIsNumber,11.000000
41,org.apache.commons.lang.text.StrTokenizerTest#test5,99.000000
42,org.apache.commons.lang.builder.StandardToStringStyleTest#testObjectArray,76.000000
43,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionHierarchy,67.000000
44,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExclude,61.000000
45,org.apache.commons.lang.builder.StandardToStringStyleTest#testBlank,59.000000
46,org.apache.commons.lang.builder.ToStringBuilderTest#testObject,59.000000
47,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionArrayArrayCycle,58.000000
48,org.apache.commons.lang.text.VariableFormatterTest#testReplaceCharArray,58.000000
49,org.apache.commons.lang.text.StrTokenizerTest#testTSV,57.000000
50,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest#testLongArray,51.000000
51,org.apache.commons.lang.text.StrTokenizerTest#testIteration,46.000000
52,org.apache.commons.lang.builder.ToStringBuilderTest#testInt,42.000000
53,org.apache.commons.lang.time.DateFormatUtilsTest#testFormatUTC,40.000000
54,org.apache.commons.lang.text.StrTokenizerTest#testCSVEmpty,34.000000
55,org.apache.commons.lang.builder.ToStringBuilderTest#testConstructorEx1,30.000000
56,org.apache.commons.lang.time.FastDateFormatTest#testMilleniumBug,27.000000
57,org.apache.commons.lang.text.StrTokenizerTest#testCloneNull,26.000000
58,org.apache.commons.lang.EntitiesTest#testBinaryIntMap,21.000000
59,org.apache.commons.lang.exception.ExceptionUtilsTestCase#testPrintRootCauseStackTrace_ThrowableWriter,21.000000
60,org.apache.commons.lang.time.FastDateFormatTest#test_getInstance_String,20.000000
61,org.apache.commons.lang.builder.CompareToBuilderTest#testReflectionHierarchyCompare,17.000000
62,org.apache.commons.lang.text.StrBuilderTest#testChaining,17.000000
63,org.apache.commons.lang.NumberUtilsTest#testCreateNumber,16.000000
64,org.apache.commons.lang.exception.NestableExceptionTestCase#testGetThrowableCount,15.000000
65,org.apache.commons.lang.CharSetTest#testConstructor_String_comboNegated,13.000000
66,org.apache.commons.lang.time.DurationFormatUtilsTest#testFormatDurationPluralWords,13.000000
67,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest#testFixture,12.000000
68,org.apache.commons.lang.math.NumberUtilsTest#testIsNumber,12.000000
69,org.apache.commons.lang.text.StrTokenizerTest#test7,94.000000
70,org.apache.commons.lang.builder.StandardToStringStyleTest#testLongArray,74.000000
71,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionBoolean,63.000000
72,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeArrayWithNull,60.000000
73,org.apache.commons.lang.builder.SimpleToStringStyleTest#testObject,60.000000
74,org.apache.commons.lang.text.VariableFormatterTest#testCyclicReplacement,59.000000
75,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionLongArrayArray,58.000000
76,org.apache.commons.lang.text.StrTokenizerTest#testCSVSimple,57.000000
77,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest#testAppendSuper,50.000000
78,org.apache.commons.lang.text.StrTokenizerTest#testCloneReset,44.000000
79,org.apache.commons.lang.builder.ToStringBuilderTest#testFloat,42.000000
80,org.apache.commons.lang.time.DateFormatUtilsTest#testTimeISO,36.000000
81,org.apache.commons.lang.time.FastDateFormatTest#testLowYearPadding,26.000000
82,org.apache.commons.lang.builder.ToStringStyleTest#testSetSizeStartText,23.000000
83,org.apache.commons.lang.text.StrTokenizerTest#testGetContent,21.000000
84,org.apache.commons.lang.exception.ExceptionUtilsTestCase#testGetRootCauseStackTrace_Throwable,20.000000
85,org.apache.commons.lang.time.FastDateFormatTest#test_getInstance_String_TimeZone_Locale,19.000000
86,org.apache.commons.lang.EntitiesTest#testTreeIntMap,17.000000
87,org.apache.commons.lang.builder.CompareToBuilderTest#testReflectionHierarchyCompareTransients,17.000000
88,org.apache.commons.lang.NotImplementedExceptionTest#testPrintStackTrace,14.000000
89,org.apache.commons.lang.exception.ExceptionUtilsTestCase#test_getRootCauseMessage_Throwable,14.000000
90,org.apache.commons.lang.text.StrBuilderTest#testDeleteAll_String,14.000000
91,org.apache.commons.lang.time.DurationFormatUtilsTest#testFormatPeriod,13.000000
92,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest#testFixtureWithTransients,12.000000
93,org.apache.commons.lang.CharSetUtilsTest#testEvaluateSet_Stringarray,10.000000
94,org.apache.commons.lang.text.StrTokenizerTest#test1,98.000000
95,org.apache.commons.lang.builder.StandardToStringStyleTest#testAppendSuper,73.000000
96,org.apache.commons.lang.builder.ToStringBuilderTest#testSelfInstanceTwoVarsReflectionObjectCycle,66.000000
97,org.apache.commons.lang.builder.DefaultToStringStyleTest#testObject,60.000000
98,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeArray,60.000000
99,org.apache.commons.lang.text.VariableFormatterTest#testReplaceSystemProperties,59.000000
100,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionDoubleArrayArray,58.000000
101,org.apache.commons.lang.builder.ToStringBuilderTest#testCharArray,50.000000
102,org.apache.commons.lang.text.StrTokenizerTest#testConstructor_charArray_char_char,46.000000
103,org.apache.commons.lang.builder.ToStringBuilderTest#testShort,42.000000
104,org.apache.commons.lang.time.DateFormatUtilsTest#testDateTimeISO,41.000000
105,org.apache.commons.lang.StringEscapeUtilsTest#testEscapeHtmlVersions,24.000000
106,org.apache.commons.lang.builder.ToStringStyleTest#testSetSizeEndText,23.000000
107,org.apache.commons.lang.time.FastDateFormatTest#test_getInstance_String_TimeZone,20.000000
108,org.apache.commons.lang.text.StrTokenizerTest#testCloneNotSupportedException,19.000000
109,org.apache.commons.lang.exception.NestableRuntimeExceptionTestCase#testIndexOfThrowableI,17.000000
110,org.apache.commons.lang.CharSetUtilsTest#testSqueeze_StringString,15.000000
111,org.apache.commons.lang.enums.EnumTest#testSerialization,14.000000
112,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest#testInteger,12.000000
113,org.apache.commons.lang.text.StrBuilderTest#testLastIndexOf_String,12.000000
114,org.apache.commons.lang.time.DurationFormatUtilsTest#testFormatDurationISO,9.000000
115,org.apache.commons.lang.text.StrTokenizerTest#test2,97.000000
116,org.apache.commons.lang.builder.StandardToStringStyleTest#testLongArrayArray,75.000000
117,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionInteger,63.000000
118,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeNullCollection,62.000000
119,org.apache.commons.lang.builder.ShortPrefixToStringStyleTest#testObject,60.000000
120,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionhortArrayArray,58.000000
121,org.apache.commons.lang.text.VariableFormatterTest#testNoResolver,56.000000
122,org.apache.commons.lang.builder.ToStringBuilderTest#testFloatArray,50.000000
123,org.apache.commons.lang.text.StrTokenizerTest#testReset_charArray,43.000000
124,org.apache.commons.lang.builder.ToStringBuilderTest#testByte,42.000000
125,org.apache.commons.lang.time.DateFormatUtilsTest#testTimeNoTISO,36.000000
126,org.apache.commons.lang.builder.ToStringStyleTest#testSetFieldNameValueSeparator,23.000000
127,org.apache.commons.lang.time.FastDateFormatTest#test_getInstance_String_Locale,19.000000
128,org.apache.commons.lang.EntitiesTest#testArrayIntMap,18.000000
129,org.apache.commons.lang.text.StrBuilderTest#testCapacityAndLength,17.000000
130,org.apache.commons.lang.CharSetUtilsTest#testKeep_StringString,15.000000
131,org.apache.commons.lang.NotImplementedExceptionTest#testIndexOfThrowable_Index,15.000000
