rank,test,score
1,org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest#serialization,253.000000
2,org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest#testIsometry,248.000000
3,org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTestValidation#testParametersErrorMonteCarloObservations,232.000000
4,org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest#testCircleFitting2,218.000000
5,org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizerTestValidation#testParametersErrorMonteCarloObservations,211.000000
6,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest#testElliRotated,196.000000
7,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest#testPreconditions,194.000000
8,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSetTest#testIssue880Complete,192.000000
9,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest#testCircleFitting2,189.000000
10,org.apache.commons.math3.optimization.fitting.GaussianFitterTest#testMath519,186.000000
11,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest#testConstrainedRosen,182.000000
12,org.apache.commons.math3.fitting.GaussianFitterTest#testMath519,177.000000
13,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest#testMath798WithToleranceTooLowButNoException,176.000000
14,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest#testConvergenceException,169.000000
15,org.apache.commons.math3.linear.UnmodifiableOpenMapRealVectorTest#testAllButExcluded,169.000000
16,org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizerTest#testCircleFitting2,165.000000
17,org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest#testMinStep,163.000000
18,org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest#testGLSEfficiency,162.000000
19,org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizerTestValidation#testParametersErrorMonteCarloObservations,158.000000
20,org.apache.commons.math3.random.EmpiricalDistributionTest#testDensityIntegrals,153.000000
21,org.apache.commons.math3.ode.JacobianMatricesTest#testInternalDifferentiation,147.000000
22,org.apache.commons.math3.ode.nonstiff.DormandPrince54IntegratorTest#testEvents,147.000000
23,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegratorTest#testEvents,144.000000
24,org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest#testSwissFertility,143.000000
25,org.apache.commons.math3.optim.linear.SimplexSolverTest#testMath434PivotRowSelection2,141.000000
26,org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizerTestValidation#testParametersErrorMonteCarloParameters,139.000000
27,org.apache.commons.math3.linear.UnmodifiableArrayRealVectorTest#testAllButExcluded,134.000000
28,org.apache.commons.math3.optimization.MultivariateDifferentiableMultiStartOptimizerTest#testCircleFitting,131.000000
29,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSetTest#testLineIntersection,127.000000
30,org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest#testDoubleRotations,122.000000
31,org.apache.commons.math3.random.ISAACTest#testNextF,119.000000
32,org.apache.commons.math3.stat.inference.TestUtilsTest#testTwoSampleTHeterscedastic,119.000000
33,org.apache.commons.math3.random.ValueServerTest#testFixedSeed,118.000000
34,org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest#testSummaryConsistency,117.000000
35,org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest#testCircleFitting,115.000000
36,org.apache.commons.math3.random.ISAACTest#testNextPoissonConsistency,114.000000
37,org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest#testCovarianceConsistency,114.000000
38,org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest#testAngles,113.000000
39,org.apache.commons.math3.optimization.linear.SimplexSolverTest#testMath434PivotRowSelection2,111.000000
40,org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest#dimensionCheck,110.000000
41,org.apache.commons.math3.stat.descriptive.SynchronizedMultivariateSummaryStatisticsTest#testEqualsAndHashCode,107.000000
42,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest#testSumSinc,106.000000
43,org.apache.commons.math3.linear.EigenDecompositionTest#testUnsymmetric,105.000000
44,org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTest#testGetRMS,105.000000
45,org.apache.commons.math3.stat.descriptive.SynchronizedSummaryStatisticsTest#testCopy,105.000000
