rank,test,score
1,org.joda.time.tz.TestCompiler#testCompile,592.000000
2,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology4,589.000000
3,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology7,589.000000
4,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString4,565.000000
5,org.joda.time.TestDateMidnight_Basics#testToString_String_String,561.000000
6,org.joda.time.TestYearMonthDay_Basics#testToInterval,557.000000
7,org.joda.time.format.TestDateTimeFormatter#testParseMutableDateTime_simple_precedence,557.000000
8,org.joda.time.format.TestPeriodFormatter#testPrinterParserMethods,548.000000
9,org.joda.time.TestInterval_Constructors#testConstructor_Object1,531.000000
10,org.joda.time.TestPartial_Basics#testPlus_RP,521.000000
11,org.joda.time.chrono.TestGJChronology#testPartialGetAsText,520.000000
12,org.joda.time.convert.TestStringConverter#testGetDateTime,515.000000
13,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology3,504.000000
14,org.joda.time.chrono.TestGJChronology#testCutoverAddYears,501.000000
15,org.joda.time.tz.TestBuilder#testSerialization,501.000000
16,org.joda.time.TestInterval_Constructors#testConstructor_Object_Chronology1,475.000000
17,org.joda.time.format.TestDateTimeFormatStyle#testForStyle_shortDateTime,475.000000
18,org.joda.time.TestTimeOfDay_Constructors#testConstructor_Object2,468.000000
19,org.joda.time.TestDateTime_Properties#testPropertySetTextDayOfWeek,465.000000
20,org.joda.time.format.TestDateTimeFormat#testFormat_yearOfEraParse,465.000000
21,org.joda.time.TestDateTime_Constructors#testConstructor_ObjectString4,462.000000
22,org.joda.time.convert.TestStringConverter#testSetIntoIntervalEx_Object_Chronology5,458.000000
23,org.joda.time.TestDateTimeZoneCutover#test_DateTime_JustAfterLastEverOverlap,457.000000
24,org.joda.time.TestParseISO#testSpecWeekExpandedYWD,451.000000
25,org.joda.time.format.TestDateTimeFormat#testFormat_weekyearOfEra_twoDigit,450.000000
26,org.joda.time.chrono.TestGJChronology#testSubtractDays,440.000000
27,org.joda.time.format.TestDateTimeFormat#testFormatParse_textMonthApr_Korean,440.000000
28,org.joda.time.format.TestISODateTimeFormatParsing#test_dateTimeParser,433.000000
29,org.joda.time.TestDateMidnight_Properties#testPropertyGetDayOfWeek,432.000000
30,org.joda.time.chrono.TestGJChronology#testToString,426.000000
31,org.joda.time.chrono.TestISOChronology#testCutoverAddYears,425.000000
32,org.joda.time.format.TestDateTimeFormatStyle#testForStyle_shortMediumDateTime,423.000000
33,org.joda.time.chrono.TestGJChronology#testMaximumValue,421.000000
34,org.joda.time.TestDateTimeComparator#testBasicComps5,416.000000
35,org.joda.time.TestTimeOfDay_Constructors#testConstructor_todObject,415.000000
36,org.joda.time.chrono.TestCopticChronology#testSampleDate,408.000000
37,org.joda.time.format.TestISODateTimeFormatParsing#test_weekDate,405.000000
