rank,test,score
1,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS.zip],0.043171
2,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testZipStreamWithImplodeCompression8K3Trees,0.025501
3,org.apache.commons.compress.archivers.JarTestCase#testJarUnarchive,0.023984
4,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testThrowOnInvalidEntry,0.022178
5,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#skipsPK00Prefix,0.020161
6,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#properlyMarksEntriesAsUnreadableIfUncompressedSizeIsUnknown,0.018863
7,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testZipFileReadsUnicodeFields,0.016942
8,org.apache.commons.compress.archivers.ZipTestCase#testSkipEntryWithUnsupportedCompressionMethod,0.016765
9,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testReadingOfFirstStoredEntry,0.014757
10,org.apache.commons.compress.IOMethodsTest#testReadZip,0.013622
11,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#properUseOfInflater,0.013496
12,org.apache.commons.compress.archivers.zip.EncryptedArchiveTest#testReadPasswordEncryptedEntryViaStream,0.012198
13,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToZipUsingZipFilePerform,0.011192
14,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testUnshrinkEntry,0.010898
15,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#testEncodingInputStream,0.010753
16,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testRawNameReadFromStream,0.010165
17,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#readDeflate64CompressedStreamWithDataDescriptor,0.010158
18,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest#testRead7ZipMultiVolumeArchiveForStream,0.007083
19,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#readDeflate64CompressedStream,0.007083
20,org.apache.commons.compress.archivers.ZipTestCase#testSkipsPK00Prefix,0.006642
21,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#shouldReadNestedZip,0.005887
22,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_crc.cpio],0.005376
23,org.apache.commons.compress.archivers.JarTestCase#testJarUnarchiveAll,0.005180
24,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#nameSourceDefaultsToName,0.005082
25,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#nameSourceIsSetToEFS,0.003388
26,org.apache.commons.compress.IOMethodsTest#testReadJar,0.002951
27,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testOffsets,0.002754
28,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testWithBytesAfterData,0.001877
29,org.apache.commons.compress.archivers.ZipTestCase#testListAllFilesWithNestedArchive,0.001877
30,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromZip,0.001660
31,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD.zip],0.000000
32,org.apache.commons.compress.changes.ChangeSetTestCase#testAddToEmptyArchive,0.000000
33,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteAddToOneFileArchive,0.000000
34,org.apache.commons.compress.changes.ChangeSetTestCase#testAddAllreadyExistingWithReplaceFalse,0.000000
35,org.apache.commons.compress.changes.ChangeSetTestCase#testDeletePlusAddSame,0.000000
36,org.apache.commons.compress.changes.ChangeSetTestCase#testAddAllreadyExistingWithReplaceTrue,0.000000
37,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromJar,0.000000
38,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToJar,0.000000
39,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToZip,0.000000
40,org.apache.commons.compress.archivers.ZipTestCase#testZipArchiveCreationInMemory,0.000000
41,org.apache.commons.compress.archivers.ZipTestCase#testZipArchiveCreation,0.000000
42,org.apache.commons.compress.compressors.Pack200TestCase#testJarArchiveCreationTempFile,0.000000
43,org.apache.commons.compress.compressors.Pack200TestCase#testJarUnarchiveAllInMemory,0.000000
44,org.apache.commons.compress.compressors.Pack200TestCase#testJarArchiveCreationInMemory,0.000000
45,org.apache.commons.compress.compressors.Pack200TestCase#testJarUnarchiveAllFileArgInMemory,0.000000
46,org.apache.commons.compress.compressors.Pack200TestCase#testJarUnarchiveAllFileTempFile,0.000000
47,org.apache.commons.compress.compressors.Pack200TestCase#testJarUnarchiveAllTempFile,0.000000
48,org.apache.commons.compress.compressors.pack200.Pack200UtilsTest#testNormalizeInPlace,0.000000
49,org.apache.commons.compress.compressors.pack200.Pack200UtilsTest#testNormalize,0.000000
50,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#shouldConsumeArchiveCompletely,0.000000
51,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testZipStreamWithImplodeCompression4K2Trees,0.000000
52,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testTikaTestStream,0.000000
53,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testUnzipBZip2CompressedEntry,0.000000
54,org.apache.commons.compress.archivers.ZipTestCase#testZipUnarchive,0.000000
55,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testRead7ZipArchiveForStream,0.000000
56,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testReadWinZipArchiveForStream,0.000000
57,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#nameSourceIsSetToUnicodeExtraField,0.000000
58,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testMessageWithCorruptFileName,0.000000
59,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#winzipBackSlashWorkaround,0.000000
60,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#testEncodingInputStreamAutodetect,0.000000
61,org.apache.commons.compress.DetectArchiverTestCase#testEmptyJarArchive,0.000000
62,org.apache.commons.compress.DetectArchiverTestCase#testEmptyZipArchive,0.000000
63,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_odc.cpio],0.000000
64,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_cf.tar],0.000000
65,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_.cpio],0.000000
66,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS.ar],0.000000
67,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_ustar.tar],0.000000
68,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_.tar],0.000000
69,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_hpbin.cpio],0.000000
70,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_bin.cpio],0.000000
71,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_crc.cpio],0.000000
72,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_newc.cpio],0.000000
73,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_-c.cpio],0.000000
74,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_cEf.tar],0.000000
75,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD_pax.tar],0.000000
76,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD.ar],0.000000
77,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS_cAEf.tar],0.000000
78,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFile2,0.000000
79,org.apache.commons.compress.changes.ChangeSetTestCase#testAddDeleteToOneFileArchive,0.000000
80,org.apache.commons.compress.changes.ChangeSetTestCase#testChangeSetResults,0.000000
81,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToAr,0.000000
82,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAr,0.000000
83,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteAddDelete,0.000000
