rank,test,score
1,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays,0.053974
2,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection,0.021978
3,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls,0.015348
4,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667,0.008791
5,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk,0.006410
6,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2,0.006410
7,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays,0.002564
8,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString,0.000000
9,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead,0.000000
10,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString,0.000000
11,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray,0.000000
12,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging,0.000000
13,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging,0.000000
14,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging,0.000000
15,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations,0.000000
16,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase,0.000000
17,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization,0.000000
18,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings,0.000000
19,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection,0.000000
20,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet,0.000000
21,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid,0.000000
22,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings,0.000000
23,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541,0.000000
24,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults,0.000000
25,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections,0.000000
26,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections,0.000000
27,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections,0.000000
28,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys,0.000000
29,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743,0.000000
30,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties,0.000000
31,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride,0.000000
32,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip,0.000000
33,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip,0.000000
34,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind,0.000000
35,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject,0.000000
36,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists,0.000000
