rank,test,score
1,org.apache.commons.lang.time.DateUtilsTest#testMonthIterator,0.300248
2,org.apache.commons.lang.time.DateUtilsTest#testAddByField,0.290323
3,org.apache.commons.lang.time.DateUtilsTest#testRound,0.266887
4,org.apache.commons.lang.time.DateUtilsTest#testTruncate,0.225186
5,org.apache.commons.lang.time.DateUtilsTest#testTruncateLang59,0.180149
6,org.apache.commons.lang.time.DateUtilsTest#testAddDays,0.145161
7,org.apache.commons.lang.time.DateUtilsTest#testAddHours,0.145161
8,org.apache.commons.lang.time.DateUtilsTest#testAddMilliseconds,0.145161
9,org.apache.commons.lang.time.DateUtilsTest#testAddMinutes,0.145161
10,org.apache.commons.lang.time.DateUtilsTest#testAddMonths,0.145161
11,org.apache.commons.lang.time.DateUtilsTest#testAddSeconds,0.145161
12,org.apache.commons.lang.time.DateUtilsTest#testAddWeeks,0.145161
13,org.apache.commons.lang.time.DateUtilsTest#testAddYears,0.145161
14,org.apache.commons.lang.time.DateUtilsTest#testWeekIterator,0.075062
15,org.apache.commons.lang.time.DateUtilsTest#testIsSameDay_Cal,0.064516
16,org.apache.commons.lang.time.DateUtilsTest#testIsSameDay_Date,0.032258
17,org.apache.commons.lang.time.DateUtilsTest#testIsSameInstant_Cal,0.032258
18,org.apache.commons.lang.time.DateUtilsTest#testIsSameInstant_Date,0.032258
19,org.apache.commons.lang.time.DateUtilsTest#testIsSameLocalTime_Cal,0.032258
20,org.apache.commons.lang.time.DateUtilsTest#testParseDate,0.032258
21,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStripStart_StringString,0.000000
22,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStripAll,0.000000
23,org.apache.commons.lang.StringUtilsTrimEmptyTest#testClean,0.000000
24,org.apache.commons.lang.StringUtilsTrimEmptyTest#testTrim,0.000000
25,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStripToNull_String,0.000000
26,org.apache.commons.lang.StringUtilsTrimEmptyTest#testIsNotBlank,0.000000
27,org.apache.commons.lang.StringUtilsTrimEmptyTest#testIsNotEmpty,0.000000
28,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStrip_StringString,0.000000
29,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStripToEmpty_String,0.000000
30,org.apache.commons.lang.StringUtilsTrimEmptyTest#testTrimToEmpty,0.000000
31,org.apache.commons.lang.StringUtilsTrimEmptyTest#testTrimToNull,0.000000
32,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStripEnd_StringString,0.000000
33,org.apache.commons.lang.StringUtilsTrimEmptyTest#testIsBlank,0.000000
34,org.apache.commons.lang.StringUtilsTrimEmptyTest#testIsEmpty,0.000000
35,org.apache.commons.lang.StringUtilsTrimEmptyTest#testStrip_String,0.000000
36,org.apache.commons.lang.LocaleUtilsTest#testAvailableLocaleSet,0.000000
37,org.apache.commons.lang.LocaleUtilsTest#testIsAvailableLocale,0.000000
38,org.apache.commons.lang.LocaleUtilsTest#testAvailableLocaleList,0.000000
39,org.apache.commons.lang.LocaleUtilsTest#testCountriesByLanguage,0.000000
40,org.apache.commons.lang.LocaleUtilsTest#testLocaleLookupList_LocaleLocale,0.000000
41,org.apache.commons.lang.LocaleUtilsTest#testToLocale_1Part,0.000000
42,org.apache.commons.lang.LocaleUtilsTest#testToLocale_2Part,0.000000
43,org.apache.commons.lang.LocaleUtilsTest#testLocaleLookupList_Locale,0.000000
44,org.apache.commons.lang.LocaleUtilsTest#testConstructor,0.000000
45,org.apache.commons.lang.mutable.MutableFloatTest#testToFloat,0.000000
46,org.apache.commons.lang.mutable.MutableFloatTest#testToString,0.000000
47,org.apache.commons.lang.mutable.MutableFloatTest#testConstructors,0.000000
48,org.apache.commons.lang.mutable.MutableFloatTest#testCompareTo,0.000000
49,org.apache.commons.lang.mutable.MutableFloatTest#testIncrement,0.000000
50,org.apache.commons.lang.mutable.MutableFloatTest#testPrimitiveValues,0.000000
51,org.apache.commons.lang.mutable.MutableFloatTest#testSubtractValuePrimitive,0.000000
52,org.apache.commons.lang.mutable.MutableFloatTest#testNanInfinite,0.000000
53,org.apache.commons.lang.mutable.MutableFloatTest#testHashCode,0.000000
54,org.apache.commons.lang.mutable.MutableFloatTest#testAddValuePrimitive,0.000000
55,org.apache.commons.lang.mutable.MutableFloatTest#testSubtractValueObject,0.000000
56,org.apache.commons.lang.mutable.MutableFloatTest#testDecrement,0.000000
57,org.apache.commons.lang.mutable.MutableFloatTest#testEquals,0.000000
58,org.apache.commons.lang.mutable.MutableFloatTest#testGetSet,0.000000
59,org.apache.commons.lang.mutable.MutableFloatTest#testAddValueObject,0.000000
60,org.apache.commons.lang.mutable.MutableLongTest#testToString,0.000000
61,org.apache.commons.lang.mutable.MutableLongTest#testConstructors,0.000000
62,org.apache.commons.lang.mutable.MutableLongTest#testCompareTo,0.000000
63,org.apache.commons.lang.mutable.MutableLongTest#testIncrement,0.000000
64,org.apache.commons.lang.mutable.MutableLongTest#testPrimitiveValues,0.000000
65,org.apache.commons.lang.mutable.MutableLongTest#testSubtractValuePrimitive,0.000000
66,org.apache.commons.lang.mutable.MutableLongTest#testHashCode,0.000000
67,org.apache.commons.lang.mutable.MutableLongTest#testAddValuePrimitive,0.000000
68,org.apache.commons.lang.mutable.MutableLongTest#testSubtractValueObject,0.000000
69,org.apache.commons.lang.mutable.MutableLongTest#testDecrement,0.000000
70,org.apache.commons.lang.mutable.MutableLongTest#testEquals,0.000000
71,org.apache.commons.lang.mutable.MutableLongTest#testGetSet,0.000000
72,org.apache.commons.lang.mutable.MutableLongTest#testToLong,0.000000
73,org.apache.commons.lang.mutable.MutableLongTest#testAddValueObject,0.000000
74,org.apache.commons.lang.mutable.MutableIntTest#testToString,0.000000
75,org.apache.commons.lang.mutable.MutableIntTest#testConstructors,0.000000
76,org.apache.commons.lang.mutable.MutableIntTest#testCompareTo,0.000000
77,org.apache.commons.lang.mutable.MutableIntTest#testIncrement,0.000000
78,org.apache.commons.lang.mutable.MutableIntTest#testPrimitiveValues,0.000000
79,org.apache.commons.lang.mutable.MutableIntTest#testSubtractValuePrimitive,0.000000
80,org.apache.commons.lang.mutable.MutableIntTest#testHashCode,0.000000
81,org.apache.commons.lang.mutable.MutableIntTest#testAddValuePrimitive,0.000000
82,org.apache.commons.lang.mutable.MutableIntTest#testToInteger,0.000000
83,org.apache.commons.lang.mutable.MutableIntTest#testSubtractValueObject,0.000000
84,org.apache.commons.lang.mutable.MutableIntTest#testDecrement,0.000000
85,org.apache.commons.lang.mutable.MutableIntTest#testEquals,0.000000
86,org.apache.commons.lang.mutable.MutableIntTest#testGetSet,0.000000
87,org.apache.commons.lang.mutable.MutableIntTest#testAddValueObject,0.000000
88,org.apache.commons.lang.mutable.MutableBooleanTest#testToString,0.000000
89,org.apache.commons.lang.mutable.MutableBooleanTest#testConstructors,0.000000
90,org.apache.commons.lang.mutable.MutableBooleanTest#testCompareTo,0.000000
91,org.apache.commons.lang.mutable.MutableBooleanTest#testHashCode,0.000000
92,org.apache.commons.lang.mutable.MutableBooleanTest#testEquals,0.000000
93,org.apache.commons.lang.mutable.MutableBooleanTest#testGetSet,0.000000
94,org.apache.commons.lang.mutable.MutableDoubleTest#testToDouble,0.000000
95,org.apache.commons.lang.mutable.MutableDoubleTest#testToString,0.000000
96,org.apache.commons.lang.mutable.MutableDoubleTest#testConstructors,0.000000
97,org.apache.commons.lang.mutable.MutableDoubleTest#testCompareTo,0.000000
98,org.apache.commons.lang.mutable.MutableDoubleTest#testIncrement,0.000000
99,org.apache.commons.lang.mutable.MutableDoubleTest#testPrimitiveValues,0.000000
100,org.apache.commons.lang.mutable.MutableDoubleTest#testSubtractValuePrimitive,0.000000
101,org.apache.commons.lang.mutable.MutableDoubleTest#testNanInfinite,0.000000
102,org.apache.commons.lang.mutable.MutableDoubleTest#testHashCode,0.000000
