rank,test,score
1,org.apache.commons.csv.CSVParserTest#testHeadersMissingException,0.080000
2,org.apache.commons.csv.CSVParserTest#testGetHeaderMap,0.073333
3,org.apache.commons.csv.CSVParserTest#testGetOneLineOneParser,0.070000
4,org.apache.commons.csv.CSVParserTest#testHeaderMissingWithNull,0.070000
5,org.apache.commons.csv.CSVParserTest#testHeadersMissing,0.070000
6,org.apache.commons.csv.CSVPrinterTest#testParseCustomNullValues,0.066667
7,org.apache.commons.csv.CSVRecordTest#testToMapWithShortRecord,0.066667
8,org.apache.commons.csv.CSVRecordTest#testToMapWithNoHeader,0.066667
9,org.apache.commons.csv.CSVFileParserTest#testCSVFile[0],0.066667
10,org.apache.commons.csv.CSVFileParserTest#testCSVFile[1],0.066667
11,org.apache.commons.csv.CSVFileParserTest#testCSVFile[2],0.066667
12,org.apache.commons.csv.CSVFileParserTest#testCSVFile[3],0.066667
13,org.apache.commons.csv.CSVFileParserTest#testCSVFile[4],0.066667
14,org.apache.commons.csv.CSVFileParserTest#testCSVFile[5],0.066667
15,org.apache.commons.csv.CSVParserTest#testMultipleIterators,0.066667
16,org.apache.commons.csv.CSVParserTest#testClose,0.066667
17,org.apache.commons.csv.CSVParserTest#testIterator,0.066667
18,org.apache.commons.csv.issues.JiraCsv198Test#test,0.066667
19,org.apache.commons.csv.CSVParserTest#testHeaderComment,0.060000
20,org.apache.commons.csv.CSVParserTest#testHeaderMissing,0.060000
21,org.apache.commons.csv.CSVParserTest#testTrailingDelimiter,0.060000
22,org.apache.commons.csv.CSVParserTest#testProvidedHeaderAuto,0.060000
23,org.apache.commons.csv.CSVParserTest#testGetRecordWithMultiLineValues,0.060000
24,org.apache.commons.csv.CSVParserTest#testSkipSetAltHeaders,0.060000
25,org.apache.commons.csv.CSVParserTest#testTrim,0.060000
26,org.apache.commons.csv.CSVParserTest#testForEach,0.060000
27,org.apache.commons.csv.CSVParserTest#testIgnoreCaseHeaderMapping,0.060000
28,org.apache.commons.csv.CSVParserTest#testProvidedHeader,0.060000
29,org.apache.commons.csv.CSVParserTest#testIteratorSequenceBreaking,0.060000
30,org.apache.commons.csv.CSVParserTest#testSkipHeaderOverrideDuplicateHeaders,0.060000
31,org.apache.commons.csv.CSVParserTest#testRoundtrip,0.060000
32,org.apache.commons.csv.CSVParserTest#testMappedButNotSetAsOutlook2007ContactExport,0.060000
33,org.apache.commons.csv.CSVParserTest#testSkipSetHeader,0.060000
34,org.apache.commons.csv.CSVParserTest#testHeader,0.060000
35,org.apache.commons.csv.CSVParserTest#testDuplicateHeaders,0.060000
36,org.apache.commons.csv.CSVParserTest#testSkipAutoHeader,0.060000
37,org.apache.commons.csv.perf.PerformanceTest#testParseBigFileRepeat,0.060000
38,org.apache.commons.csv.CSVParserTest#testGetLine,0.056000
39,org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithCRLF,0.053333
40,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineCrLf,0.053333
41,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithCR,0.053333
42,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithLF,0.053333
43,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithCR,0.053333
44,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithLF,0.053333
45,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithCRLF,0.053333
46,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithCRLF,0.053333
47,org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithLF,0.053333
48,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineCr,0.053333
49,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineLf,0.053333
50,org.apache.commons.csv.CSVPrinterTest#testMySqlNullOutput,0.048000
51,org.apache.commons.csv.CSVPrinterTest#testRandomExcel,0.046667
