rank,test,score
1,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue440WeakReference,0.160373
2,com.google.gson.reflect.TypeTokenTest#testArrayFactory,0.093549
3,com.google.gson.internal.GsonTypesTest#testGetFirstTypeArgument,0.081863
4,com.google.gson.internal.bind.RecursiveTypesResolveTest#testDoubleSupertype,0.077472
5,com.google.gson.JavaSerializationTest#testMapIsSerializable,0.075546
6,com.google.gson.functional.PrettyPrintingTest#testPrettyPrintListOfPrimitiveArrays,0.075510
7,com.google.gson.MixedStreamTest#testReadClosed,0.064344
8,com.google.gson.reflect.TypeTokenTest#testIsAssignableFromWithNestedWildcards,0.063340
9,com.google.gson.functional.InstanceCreatorTest#testInstanceCreatorForCollectionType,0.055514
10,com.google.gson.functional.MoreSpecificTypeSerializationTest#testParameterizedSubclassFields,0.047594
11,com.google.gson.reflect.TypeTokenTest#testParameterizedFactory,0.047505
12,com.google.gson.functional.ArrayTest#testArrayOfCollectionDeserialization,0.045327
13,com.google.gson.functional.CollectionTest#testWildcardCollectionField,0.040795
14,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest#testFieldAnnotationWorksForParameterizedType,0.039832
15,com.google.gson.functional.ParameterizedTypesTest#testVariableTypeArrayDeserialization,0.038711
16,com.google.gson.functional.MapTest#testMapSubclassDeserialization,0.036706
17,com.google.gson.functional.MapTest#testHashMapDeserialization,0.031996
18,com.google.gson.functional.StreamingTypeAdaptersTest#testSerialize2dArray,0.030905
19,com.google.gson.functional.CollectionTest#testIssue1107,0.030905
20,com.google.gson.functional.JsonAdapterAnnotationOnClassesTest#testIncorrectJsonAdapterType,0.029717
21,com.google.gson.GenericArrayTypeTest#testOurTypeFunctionality,0.028503
22,com.google.gson.internal.bind.RecursiveTypesResolveTest#testDoubleSubtype,0.027842
23,com.google.gson.functional.ParameterizedTypesTest#testDeepParameterizedTypeDeserialization,0.027576
24,com.google.gson.functional.DefaultTypeAdaptersTest#testTreeSetSerialization,0.026429
25,com.google.gson.functional.CollectionTest#testUserCollectionTypeAdapter,0.025336
26,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithReaderDeserialization,0.024056
27,com.google.gson.functional.CircularReferenceTest#testCircularSerialization,0.023997
28,com.google.gson.functional.MoreSpecificTypeSerializationTest#testListOfParameterizedSubclassFields,0.022910
29,com.google.gson.functional.MapTest#testMapDeserializationWithWildcardValues,0.022664
30,com.google.gson.functional.InheritanceTest#testSubInterfacesOfCollectionSerialization,0.022664
31,com.google.gson.functional.MapAsArrayTypeAdapterTest#testMultipleEnableComplexKeyRegistrationHasNoEffect,0.021383
32,com.google.gson.ObjectTypeAdapterTest#testSerializeNullValue,0.016131
33,com.google.gson.functional.RawSerializationTest#testThreeLevelParameterizedObject,0.015998
34,com.google.gson.functional.PrimitiveTest#testBigDecimalInASingleElementArraySerialization,0.015679
35,com.google.gson.functional.MapTest#testGeneralMapField,0.015109
36,com.google.gson.GenericArrayTypeTest#testNotEquals,0.014937
37,com.google.gson.functional.CollectionTest#testRawCollectionDeserializationNotAlllowed,0.014442
38,com.google.gson.functional.ThrowableFunctionalTest#testErrorWithoutCause,0.013945
39,com.google.gson.internal.bind.RecursiveTypesResolveTest#testSubSupertype,0.013921
40,com.google.gson.functional.MapTest#testSerializeMaps,0.013898
41,com.google.gson.functional.StreamingTypeAdaptersTest#testNullSafe,0.013598
42,com.google.gson.functional.JsonAdapterSerializerDeserializerTest#testDifferentJsonAdaptersForGenericFieldsOfSameRawType,0.013277
43,com.google.gson.FieldAttributesTest#testDeclaredTypeAndClass,0.012668
44,com.google.gson.functional.MapTest#testCustomSerializerForSpecificMapType,0.012668
45,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue603PrintStream,0.011060
46,com.google.gson.functional.CollectionTest#testTopLevelCollectionOfIntegersDeserialization,0.009713
47,com.google.gson.ObjectTypeAdapterTest#testSerialize,0.009439
48,com.google.gson.DefaultMapJsonSerializerTest#testNonEmptyMapSerialization,0.009065
49,com.google.gson.functional.MoreSpecificTypeSerializationTest#testListOfSubclassFields,0.009065
50,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesSerialization,0.009065
51,com.google.gson.functional.TypeVariableTest#testBasicTypeVariables,0.009065
52,com.google.gson.functional.DefaultTypeAdaptersTest#testNullSerialization,0.008810
53,com.google.gson.functional.DefaultTypeAdaptersTest#testDateSerializationInCollection,0.008019
54,com.google.gson.functional.TypeVariableTest#testTypeVariablesViaTypeParameter,0.008019
55,com.google.gson.MixedStreamTest#testWriteLenient,0.007999
56,com.google.gson.functional.CollectionTest#testFieldIsArrayList,0.007999
57,com.google.gson.functional.CollectionTest#testWildcardPrimitiveCollectionDeserilaization,0.007999
58,com.google.gson.functional.MapTest#testMapSerializationWithWildcardValues,0.007999
59,com.google.gson.functional.CollectionTest#testCollectionOfObjectWithNullSerialization,0.007157
60,com.google.gson.functional.MapAsArrayTypeAdapterTest#testMapWithTypeVariableSerialization,0.007157
61,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveTypeVariablesResolve12,0.006973
62,com.google.gson.functional.ArrayTest#testArrayOfCollectionSerialization,0.006181
