rank,test,score
1,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue440WeakReference,0.160373
2,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveTypeVariablesResolve12,0.160373
3,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveTypeVariablesResolve1,0.160373
4,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue603PrintStream,0.160373
5,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveResolveSimple,0.160373
6,com.google.gson.functional.DefaultTypeAdaptersTest#testDateSerializationInCollection,0.160373
7,com.google.gson.functional.JsonParserTest#testExtraCommasInArrays,0.160373
8,com.google.gson.functional.InstanceCreatorTest#testInstanceCreatorForCollectionType,0.160373
9,com.google.gson.functional.MoreSpecificTypeSerializationTest#testListOfParameterizedSubclassFields,0.160373
10,com.google.gson.functional.MoreSpecificTypeSerializationTest#testMapOfParameterizedSubclassFields,0.160373
11,com.google.gson.functional.MapAsArrayTypeAdapterTest#testMultipleEnableComplexKeyRegistrationHasNoEffect,0.160373
12,com.google.gson.functional.MapAsArrayTypeAdapterTest#testSerializeComplexMapWithTypeAdapter,0.160373
13,com.google.gson.functional.MapTest#testMapDeserializationWithNullKey,0.160373
14,com.google.gson.functional.ParameterizedTypesTest#testVariableTypeArrayDeserialization,0.160373
15,com.google.gson.functional.ParameterizedTypesTest#testVariableTypeFieldsAndGenericArraysSerialization,0.160373
16,com.google.gson.functional.ParameterizedTypesTest#testVariableTypeDeserialization,0.160373
17,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeGenericArraysSerialization,0.160373
18,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithReaderDeserialization,0.160373
19,com.google.gson.functional.ParameterizedTypesTest#testVariableTypeFieldsAndGenericArraysDeserialization,0.160373
20,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeGenericArraysDeserialization,0.160373
21,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithVariableTypeDeserialization,0.160373
22,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeDeserialization,0.160373
23,com.google.gson.functional.TypeVariableTest#testTypeVariablesViaTypeParameter,0.160373
24,com.google.gson.functional.ThrowableFunctionalTest#testErrorWithoutCause,0.160373
25,com.google.gson.functional.ThrowableFunctionalTest#testSerializedNameOnExceptionFields,0.160373
26,com.google.gson.functional.ThrowableFunctionalTest#testExceptionWithCause,0.160373
27,com.google.gson.functional.ThrowableFunctionalTest#testExceptionWithoutCause,0.160373
28,com.google.gson.functional.ThrowableFunctionalTest#testErrornWithCause,0.160373
29,com.google.gson.FieldAttributesTest#testDeclaredTypeAndClass,0.152017
30,com.google.gson.reflect.TypeTokenTest#testIsAssignableFromWithNestedWildcards,0.152017
31,com.google.gson.reflect.TypeTokenTest#testArrayFactory,0.152017
32,com.google.gson.reflect.TypeTokenTest#testIsAssignableFromWithTypeParameters,0.152017
33,com.google.gson.reflect.TypeTokenTest#testIsAssignableFromWithBasicWildcards,0.152017
34,com.google.gson.reflect.TypeTokenTest#testParameterizedFactory,0.152017
35,com.google.gson.GenericArrayTypeTest#testOurTypeFunctionality,0.152017
36,com.google.gson.ParameterizedTypeTest#testOurTypeFunctionality,0.152017
37,com.google.gson.ParameterizedTypeTest#testNotEquals,0.152017
38,com.google.gson.functional.CollectionTest#testUserCollectionTypeAdapter,0.152017
39,com.google.gson.functional.MapTest#testCustomSerializerForSpecificMapType,0.152017
40,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithCustomSerializer,0.152017
41,com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesWithCustomDeserializer,0.152017
42,com.google.gson.MixedStreamTest#testWriteLenient,0.135982
43,com.google.gson.MixedStreamTest#testWriteHtmlSafe,0.135982
44,com.google.gson.JavaSerializationTest#testNumberIsSerializable,0.135982
45,com.google.gson.JavaSerializationTest#testMapIsSerializable,0.135982
46,com.google.gson.JavaSerializationTest#testListIsSerializable,0.135982
47,com.google.gson.CommentsTest#testParseComments,0.135982
48,com.google.gson.DefaultMapJsonSerializerTest#testNonEmptyMapSerialization,0.135982
49,com.google.gson.DefaultMapJsonSerializerTest#testEmptyMapSerialization,0.135982
50,com.google.gson.functional.PrimitiveTest#testStringsAsBooleans,0.135982
51,com.google.gson.functional.StreamingTypeAdaptersTest#testSerialize2dArray,0.135982
52,com.google.gson.functional.StreamingTypeAdaptersTest#testNullSafe,0.135982
53,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeWithCustomTypeAdapter,0.135982
54,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserialize1dArray,0.135982
55,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserialize2dArray,0.135982
56,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserializeWithCustomTypeAdapter,0.135982
57,com.google.gson.functional.StreamingTypeAdaptersTest#testSerialize,0.135982
58,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserializeNullField,0.135982
59,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserializeNullObject,0.135982
60,com.google.gson.functional.StreamingTypeAdaptersTest#testFromJsonTree,0.135982
61,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserializeMap,0.135982
62,com.google.gson.functional.StreamingTypeAdaptersTest#testDeserialize,0.135982
63,com.google.gson.functional.StreamingTypeAdaptersTest#testSerialize1dArray,0.135982
64,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeNullField,0.135982
65,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeNullObject,0.135982
66,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeMap,0.135982
67,com.google.gson.functional.StreamingTypeAdaptersTest#testSerializeRecursive,0.135982
68,com.google.gson.functional.ArrayTest#testArrayOfCollectionSerialization,0.135982
69,com.google.gson.functional.ArrayTest#testArrayOfCollectionDeserialization,0.135982
70,com.google.gson.functional.CollectionTest#testWildcardCollectionField,0.135982
71,com.google.gson.functional.CollectionTest#testCollectionOfObjectWithNullSerialization,0.135982
72,com.google.gson.functional.CollectionTest#testFieldIsArrayList,0.135982
73,com.google.gson.functional.CollectionTest#testTopLevelCollectionOfIntegersDeserialization,0.135982
74,com.google.gson.functional.CollectionTest#testCollectionOfStringsDeserialization,0.135982
75,com.google.gson.functional.CollectionTest#testPriorityQueue,0.135982
76,com.google.gson.functional.CollectionTest#testStack,0.135982
77,com.google.gson.functional.CollectionTest#testLinkedListDeserialization,0.135982
78,com.google.gson.functional.CollectionTest#testQueueSerialization,0.135982
79,com.google.gson.functional.CollectionTest#testWildcardPrimitiveCollectionSerilaization,0.135982
80,com.google.gson.functional.CollectionTest#testNullsInListSerialization,0.135982
81,com.google.gson.functional.CollectionTest#testWildcardPrimitiveCollectionDeserilaization,0.135982
82,com.google.gson.functional.CollectionTest#testTopLevelListOfIntegerCollectionsDeserialization,0.135982
83,com.google.gson.functional.CollectionTest#testCollectionOfObjectSerialization,0.135982
84,com.google.gson.functional.CollectionTest#testSetDeserialization,0.135982
85,com.google.gson.functional.CollectionTest#testIssue1107,0.135982
86,com.google.gson.functional.CollectionTest#testLinkedListSerialization,0.135982
87,com.google.gson.functional.CollectionTest#testNullsInListDeserialization,0.135982
88,com.google.gson.functional.CollectionTest#testTopLevelCollectionOfIntegersSerialization,0.135982
89,com.google.gson.functional.CollectionTest#testVector,0.135982
90,com.google.gson.functional.CollectionTest#testQueueDeserialization,0.135982
91,com.google.gson.functional.DefaultTypeAdaptersTest#testTreeSetDeserialization,0.135982
