rank,test,score
1,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail,0.019168
2,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific,0.010723
3,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled,0.010280
4,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testTokens,0.008413
5,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testNumbers,0.008349
6,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedArray,0.006670
7,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSingleQuotesEscaped,0.006567
8,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testEscapedFieldNames,0.006546
9,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testNonStandardNameChars,0.006023
10,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootFloats,0.005855
11,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testLongUnicodeWithSurrogates,0.005704
12,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testBooleans,0.005700
13,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testYAMLCommentsEnabled,0.005246
14,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsWithUTF8,0.005188
15,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInObject,0.005101
16,com.fasterxml.jackson.core.json.async.AsyncScopeMatchingTest#testMismatchObjectToArray,0.004941
17,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testAllowInf,0.004883
18,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartOk,0.004658
19,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testDoubles,0.004339
20,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToIntFailing,0.004190
21,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testSimpleFieldNames,0.004066
22,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testUtf8BOMHandling,0.004005
23,com.fasterxml.jackson.core.json.async.ConfigTest#testAsyncParerDefaults,0.003929
24,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features []],0.003918
25,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testLargeUnquotedNames,0.003861
