rank,test,score
1,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays,0.053974
2,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString,0.053974
3,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead,0.053974
4,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls,0.053719
5,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection,0.038462
6,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667,0.030769
7,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2,0.025641
8,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString,0.025641
9,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray,0.025641
10,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk,0.019231
11,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging,0.019231
12,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging,0.019231
13,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging,0.019231
14,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays,0.015385
15,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations,0.015385
16,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase,0.015385
17,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization,0.015385
18,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings,0.015385
19,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection,0.015385
20,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet,0.015385
21,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid,0.015385
22,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings,0.015385
23,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541,0.015385
24,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults,0.015385
25,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections,0.015385
26,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections,0.015385
27,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections,0.015385
28,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys,0.015385
29,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743,0.015385
30,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties,0.015385
31,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride,0.015385
32,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip,0.015385
33,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip,0.015385
34,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind,0.015385
35,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject,0.015385
36,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists,0.015385
