rank,test,score
1,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassProperty,0.169082
2,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121,0.084541
3,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetValue,0.074930
4,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest#testRoundtrip,0.067633
5,com.fasterxml.jackson.dataformat.xml.failing.EmptyListDeser124Test#test124,0.051460
6,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsClassArray,0.048309
7,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample,0.046113
8,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleMap,0.046113
9,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList,0.044495
10,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testAttrAndElem,0.042817
11,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testMapperCopy,0.042588
12,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap,0.042271
13,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual#testIssue54,0.038428
14,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest#testEmptyString162,0.033816
15,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith0Bytes,0.032206
16,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleElement,0.032113
17,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleAttribute,0.032113
18,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testSerializeAsText,0.030742
19,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testRoundTripWithJacksonExample,0.030742
20,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testUntypedEnum,0.029406
21,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testWithAttr,0.029406
22,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testArraySerialization,0.029152
23,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testNakedMap,0.026697
24,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArrayValue,0.024977
25,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingWithAttribute,0.024155
26,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest#testSimple,0.024155
27,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testListWithAttrOnlyValues,0.024155
28,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue19,0.023057
29,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleAttribute,0.023055
30,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testMultiLevel172,0.022544
31,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsPropertyWithObjectId,0.022054
32,com.fasterxml.jackson.dataformat.xml.failing.TestConflictingGetters#testIssue27,0.021294
33,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testEmptyElem,0.017798
34,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testDynamicRootName,0.016908
35,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedList,0.016908
36,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testRenamedRootItem,0.016908
37,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToGenericPojo,0.016908
38,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataString,0.016908
39,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testXmlTextWithSuppressedValue,0.016103
40,com.fasterxml.jackson.dataformat.xml.deser.TestEnums#testEnum,0.016103
41,com.fasterxml.jackson.dataformat.xml.failing.TestUnwrappedDeserIssue86#testDeserializeUnwrappedListWhenLocalNameForRootElementAndXmlPropertyMatch,0.016103
42,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom#testIssue42,0.016103
43,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty,0.015371
44,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIdsFromAttributes,0.015371
45,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testSimpleWrappedList,0.015371
46,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCustomSerializer,0.015371
47,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataStringArray,0.014090
48,com.fasterxml.jackson.dataformat.xml.failing.ListDeser294Test#testNestedLists294,0.013527
49,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithGetters,0.012525
50,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetAttribute,0.012488
51,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArratAttribute,0.012488
52,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleValue,0.012488
53,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testSimpleNsAttr,0.009393
54,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassObject,0.008899
55,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingSubWithAttribute,0.008899
56,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue117AnySetterAttrs,0.008899
57,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testRootNameAnnotation,0.008454
58,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testWithTwoAttributes,0.008052
59,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testAsTextWithJAXB,0.008052
60,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testStringList,0.007351
61,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue7,0.007351
62,com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test#testSimpleCollectionDeserWithForwardRefs,0.003003
63,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testSimple198,0.000000
64,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testTextOnlyPojo,0.000000
65,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testIssue66,0.000000
66,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testSimpleUnwrappingRoundtrip,0.000000
67,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testParentListRoundtrip,0.000000
68,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test#testPolyIdList178,0.000000
69,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testListSerialization,0.000000
70,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing,0.000000
71,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists,0.000000
72,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testUnwrappedLists,0.000000
73,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrapping,0.000000
74,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsInList,0.000000
75,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression,0.000000
76,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue44,0.000000
77,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testWriteToFile,0.000000
78,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testListViaObjectReader,0.000000
79,com.fasterxml.jackson.dataformat.xml.failing.TestUntypedListSerialization#testListAsObject,0.000000
80,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsWrappedClassArray,0.000000
81,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMap,0.000000
82,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMapSimpleAnnotation,0.000000
83,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation,0.000000
84,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation_nonJaxb,0.000000
85,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap_nonJaxb,0.000000
86,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testPersonAsXml,0.000000
87,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testSerializeAsAttr,0.000000
88,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testRootName,0.000000
89,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testTwoAttributes,0.000000
90,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testAttributeAndElement,0.000000
91,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testElementWrapper,0.000000
92,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testNoElementWrapper,0.000000
93,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue6,0.000000
94,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration#testXml10Declaration,0.000000
95,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration#testXml11Declaration,0.000000
