rank,test,score
1,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassProperty,0.169082
2,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsPropertyWithObjectId,0.169082
3,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassObject,0.169082
4,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testXmlTextWithSuppressedValue,0.169082
5,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testSimple198,0.169082
6,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testTextOnlyPojo,0.169082
7,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testSerializeAsText,0.169082
8,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testIssue66,0.169082
9,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty,0.169082
10,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testRootNameAnnotation,0.169082
11,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testDynamicRootName,0.169082
12,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingSubWithAttribute,0.169082
13,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingWithAttribute,0.169082
14,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testSimpleUnwrappingRoundtrip,0.169082
15,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest#testSimple,0.169082
16,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedList,0.169082
17,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithGetters,0.169082
18,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testWithTwoAttributes,0.169082
19,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIdsFromAttributes,0.169082
20,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testParentListRoundtrip,0.169082
21,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testListWithAttrOnlyValues,0.169082
22,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList,0.169082
23,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test#testPolyIdList178,0.169082
24,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testArraySerialization,0.169082
25,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testListSerialization,0.169082
26,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testRenamedRootItem,0.169082
27,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testSimpleWrappedList,0.169082
28,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testStringList,0.169082
29,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing,0.169082
30,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists,0.169082
31,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testUnwrappedLists,0.169082
32,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrapping,0.169082
33,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToGenericPojo,0.169082
34,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsInList,0.169082
35,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testRoundTripWithJacksonExample,0.169082
36,com.fasterxml.jackson.dataformat.xml.deser.TestEnums#testEnum,0.169082
37,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest#testEmptyString162,0.169082
38,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression,0.169082
39,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue7,0.169082
40,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue44,0.169082
41,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testWriteToFile,0.169082
42,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testListViaObjectReader,0.169082
43,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample,0.169082
44,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testUntypedEnum,0.169082
45,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121,0.169082
46,com.fasterxml.jackson.dataformat.xml.failing.TestUnwrappedDeserIssue86#testDeserializeUnwrappedListWhenLocalNameForRootElementAndXmlPropertyMatch,0.169082
47,com.fasterxml.jackson.dataformat.xml.failing.ListDeser294Test#testNestedLists294,0.169082
