rank,test,score
1,org.jsoup.nodes.FormElementTest#createsFormData,0.333333
2,org.jsoup.nodes.FormElementTest#formsAddedAfterParseAreFormElements,0.111111
3,org.jsoup.nodes.FormElementTest#actionWithNoBaseUri,0.111111
4,org.jsoup.nodes.FormElementTest#actionWithNoValue,0.111111
5,org.jsoup.nodes.FormElementTest#removeFormElement,0.111111
6,org.jsoup.nodes.FormElementTest#controlsAddedAfterParseAreLinkedWithForms,0.111111
7,org.jsoup.nodes.DocumentTest#testLocation,0.083334
8,org.jsoup.nodes.FormElementTest#createsSubmitableConnection,0.000000
9,org.jsoup.nodes.FormElementTest#formDataUsesFirstAttribute,0.000000
10,org.jsoup.nodes.FormElementTest#adoptedFormsRetainInputs,0.000000
11,org.jsoup.nodes.FormElementTest#usesOnForCheckboxValueIfNoValueSet,0.000000
12,org.jsoup.nodes.FormElementTest#hasAssociatedControls,0.000000
13,org.jsoup.integration.ParseTest#testYahooJp,0.000000
14,org.jsoup.integration.ParseTest#testGoogleSearchIpod,0.000000
15,org.jsoup.integration.ParseTest#testBaidu,0.000000
16,org.jsoup.integration.ParseTest#testSmhBizArticle,0.000000
17,org.jsoup.integration.ParseTest#testYahooArticle,0.000000
18,org.jsoup.integration.ParseTest#testNytArticle,0.000000
19,org.jsoup.integration.ParseTest#testLowercaseUtf8Charset,0.000000
20,org.jsoup.integration.ParseTest#testNewsHomepage,0.000000
21,org.jsoup.parser.HtmlParserTest#testNormalisesIsIndex,0.000000
22,org.jsoup.parser.HtmlParserTest#createsFormElements,0.000000
23,org.jsoup.parser.HtmlParserTest#associatedFormControlsWithDisjointForms,0.000000
24,org.jsoup.select.ElementsTest#forms,0.000000
25,org.jsoup.helper.W3CDomTest#convertsGoogleLocation,0.000000
26,org.jsoup.helper.W3CDomTest#convertsGoogle,0.000000
27,org.jsoup.nodes.TextNodeTest#testWithSupplementaryCharacter,0.000000
28,org.jsoup.nodes.TextNodeTest#testLeadNodesHaveNoChildren,0.000000
29,org.jsoup.nodes.TextNodeTest#testBlank,0.000000
30,org.jsoup.nodes.TextNodeTest#testTextBean,0.000000
31,org.jsoup.nodes.TextNodeTest#testSplitText,0.000000
32,org.jsoup.nodes.TextNodeTest#testSplitAnEmbolden,0.000000
33,org.jsoup.nodes.AttributeTest#settersOnOrphanAttribute,0.000000
34,org.jsoup.nodes.AttributeTest#testWithSupplementaryCharacterInAttributeKeyAndValue,0.000000
35,org.jsoup.nodes.AttributeTest#html,0.000000
36,org.jsoup.nodes.AttributeTest#booleanAttributesAreEmptyStringValues,0.000000
37,org.jsoup.nodes.AttributeTest#validatesKeysNotEmpty,0.000000
38,org.jsoup.nodes.AttributeTest#validatesKeysNotEmptyViaSet,0.000000
39,org.jsoup.nodes.ElementTest#testFormatOutline,0.000000
40,org.jsoup.nodes.ElementTest#parentlessToString,0.000000
41,org.jsoup.nodes.ElementTest#insertChildrenArgumentValidation,0.000000
42,org.jsoup.nodes.ElementTest#testPrependElement,0.000000
43,org.jsoup.nodes.ElementTest#testOuterHtml,0.000000
44,org.jsoup.nodes.ElementTest#testHashcodeIsStableWithContentChanges,0.000000
45,org.jsoup.nodes.ElementTest#voidTestFilterCallReturnsElement,0.000000
46,org.jsoup.nodes.ElementTest#elementByTagName,0.000000
47,org.jsoup.nodes.ElementTest#testClonesClassnames,0.000000
48,org.jsoup.nodes.ElementTest#appendMustCorrectlyMoveChildrenInsideOneParentElement,0.000000
49,org.jsoup.nodes.ElementTest#before,0.000000
50,org.jsoup.nodes.ElementTest#testRemoveBeforeIndex,0.000000
51,org.jsoup.nodes.ElementTest#testChainedRemoveAttributes,0.000000
52,org.jsoup.nodes.ElementTest#booleanAttributeOutput,0.000000
53,org.jsoup.nodes.ElementTest#testAddNewHtml,0.000000
54,org.jsoup.nodes.ElementTest#testAddNewText,0.000000
55,org.jsoup.nodes.ElementTest#testPreviousElementSiblings,0.000000
56,org.jsoup.nodes.ElementTest#testGetElementById,0.000000
57,org.jsoup.nodes.ElementTest#testClone,0.000000
58,org.jsoup.nodes.ElementTest#testHtmlContainsOuter,0.000000
59,org.jsoup.nodes.ElementTest#testClassDomMethods,0.000000
60,org.jsoup.nodes.ElementTest#testRoot,0.000000
61,org.jsoup.nodes.ElementTest#testWrap,0.000000
62,org.jsoup.nodes.ElementTest#testNamespacedElements,0.000000
63,org.jsoup.nodes.ElementTest#testClassNames,0.000000
64,org.jsoup.nodes.ElementTest#testElementSiblingIndex,0.000000
65,org.jsoup.nodes.ElementTest#testIs,0.000000
66,org.jsoup.nodes.ElementTest#testEmptyElementFormatHtml,0.000000
67,org.jsoup.nodes.ElementTest#testLoopedRemoveAttributes,0.000000
68,org.jsoup.nodes.ElementTest#testShadowElementsAreUpdated,0.000000
69,org.jsoup.nodes.ElementTest#testKeepsPreTextAtDepth,0.000000
70,org.jsoup.nodes.ElementTest#testGetElementsWithAttribute,0.000000
71,org.jsoup.nodes.ElementTest#testNoIndentOnScriptAndStyle,0.000000
72,org.jsoup.nodes.ElementTest#testAppendRowToTable,0.000000
73,org.jsoup.nodes.ElementTest#testGetElementsWithClass,0.000000
74,org.jsoup.nodes.ElementTest#testShallowClone,0.000000
75,org.jsoup.nodes.ElementTest#testWrapWithRemainder,0.000000
76,org.jsoup.nodes.ElementTest#testClearAttributes,0.000000
77,org.jsoup.nodes.ElementTest#testKeepsPreTextInCode,0.000000
78,org.jsoup.nodes.ElementTest#testHasClassDomMethods,0.000000
79,org.jsoup.nodes.ElementTest#testGetParents,0.000000
80,org.jsoup.nodes.ElementTest#testGetText,0.000000
81,org.jsoup.nodes.ElementTest#getElementsByTagName,0.000000
82,org.jsoup.nodes.ElementTest#testFormatHtml,0.000000
83,org.jsoup.nodes.ElementTest#testGetElementsWithAttributeValue,0.000000
84,org.jsoup.nodes.ElementTest#testWholeText,0.000000
85,org.jsoup.nodes.ElementTest#testGetElementsWithAttributeDash,0.000000
86,org.jsoup.nodes.ElementTest#testManipulateTextNodes,0.000000
87,org.jsoup.nodes.ElementTest#testChildThrowsIndexOutOfBoundsOnMissing,0.000000
88,org.jsoup.nodes.ElementTest#testPrependRowToTable,0.000000
89,org.jsoup.nodes.ElementTest#testGetTextNodes,0.000000
90,org.jsoup.nodes.ElementTest#after,0.000000
91,org.jsoup.nodes.ElementTest#testContainerOutput,0.000000
92,org.jsoup.nodes.ElementTest#testInnerHtml,0.000000
93,org.jsoup.nodes.ElementTest#testHasText,0.000000
94,org.jsoup.nodes.ElementTest#testRemoveAttr,0.000000
95,org.jsoup.nodes.ElementTest#textHasSpaceBetweenDivAndCenterTags,0.000000
96,org.jsoup.nodes.ElementTest#testGetDataNodes,0.000000
97,org.jsoup.nodes.ElementTest#testCssPath,0.000000
98,org.jsoup.nodes.ElementTest#testSetHtmlTitle,0.000000
99,org.jsoup.nodes.ElementTest#testChildrenElements,0.000000
100,org.jsoup.nodes.ElementTest#moveByAppend,0.000000
101,org.jsoup.nodes.ElementTest#testNormalisesText,0.000000
102,org.jsoup.nodes.ElementTest#testClassUpdates,0.000000
103,org.jsoup.nodes.ElementTest#testAddNewElement,0.000000
104,org.jsoup.nodes.ElementTest#testHashAndEqualsAndValue,0.000000
105,org.jsoup.nodes.ElementTest#testElementSiblingIndexSameContent,0.000000
106,org.jsoup.nodes.ElementTest#testGetChildText,0.000000
107,org.jsoup.nodes.ElementTest#testRelativeUrls,0.000000
108,org.jsoup.nodes.ElementTest#testSetIndent,0.000000
109,org.jsoup.nodes.ElementTest#testThrowsOnAddNullText,0.000000
110,org.jsoup.nodes.ElementTest#testGetSiblingsWithDuplicateContent,0.000000
111,org.jsoup.nodes.ElementTest#testNormalizesInvisiblesInText,0.000000
112,org.jsoup.nodes.ElementTest#insertChildrenAsCopy,0.000000
113,org.jsoup.nodes.ElementTest#testTagNameSet,0.000000
114,org.jsoup.nodes.ElementTest#dataset,0.000000
