rank,test,score
1,org.joda.time.format.TestPeriodFormatter#testPrinterParserMethods,0.016733
2,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_PrinterParser,0.014866
3,org.joda.time.format.TestPeriodFormatterBuilder#testFormatLiteral,0.014666
4,org.joda.time.TestMinutes#testFactory_standardMinutesIn_RPeriod,0.014562
5,org.joda.time.TestDays#testFactory_standardDaysIn_RPeriod,0.014562
6,org.joda.time.TestBaseSingleFieldPeriod#testFactory_standardPeriodIn_RPeriod,0.014562
7,org.joda.time.TestHours#testFactory_standardHoursIn_RPeriod,0.014562
8,org.joda.time.format.TestISOPeriodFormat#testFormatStandard,0.014562
9,org.joda.time.TestWeeks#testFactory_standardWeeksIn_RPeriod,0.014562
10,org.joda.time.TestSeconds#testFactory_standardSecondsIn_RPeriod,0.014562
11,org.joda.time.TestMutablePeriod_Basics#testToString,0.014562
12,org.joda.time.TestPeriod_Basics#testToString,0.014562
13,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSeparatorComplex,0.014128
14,org.joda.time.format.TestPeriodFormat#test_wordBased_es_formatTwoFields,0.014128
15,org.joda.time.format.TestPeriodFormat#test_wordBased_pt_FormatOneField,0.014128
16,org.joda.time.format.TestPeriodFormat#test_wordBased_de_FormatOneField,0.014128
17,org.joda.time.format.TestPeriodFormat#test_wordBased_pt_formatStandard,0.014128
18,org.joda.time.format.TestPeriodFormat#test_wordBased_de_formatStandard,0.014128
19,org.joda.time.format.TestPeriodFormat#test_wordBased_fr_FormatOneField,0.014128
20,org.joda.time.format.TestPeriodFormat#test_wordBased_fr_formatStandard,0.014128
21,org.joda.time.format.TestPeriodFormat#test_wordBased_nl_FormatOneField,0.014128
22,org.joda.time.format.TestPeriodFormat#test_wordBased_fr_formatTwoFields,0.014128
23,org.joda.time.format.TestPeriodFormat#test_wordBased_nl_formatStandard,0.014128
24,org.joda.time.format.TestPeriodFormat#test_wordBased_nl_formatTwoFields,0.014128
25,org.joda.time.format.TestPeriodFormat#test_getDefault_formatTwoFields,0.014128
26,org.joda.time.format.TestPeriodFormat#test_getDefault_FormatOneField,0.014128
27,org.joda.time.format.TestPeriodFormat#test_wordBased_es_FormatOneField,0.014128
28,org.joda.time.format.TestPeriodFormat#test_wordBased_pt_formatTwoFields,0.014128
29,org.joda.time.format.TestPeriodFormat#test_getDefault_formatStandard,0.014128
30,org.joda.time.format.TestPeriodFormat#test_wordBased_es_formatStandard,0.014128
31,org.joda.time.format.TestPeriodFormat#test_wordBased_de_formatTwoFields,0.014128
32,org.joda.time.TestPeriod_Basics#testToString_PeriodFormatter,0.014128
33,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstDays,0.013897
34,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstMinutes,0.013897
35,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstSeconds,0.013897
36,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMillis3Digit,0.013897
37,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstHours,0.013897
38,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstWeeks,0.013897
39,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstYears,0.013897
40,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstMonths,0.013897
41,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_null_Parser,0.013724
42,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppendFormatter,0.013602
43,org.joda.time.format.TestPeriodFormatter#testPrint_simple,0.013294
44,org.joda.time.TestPeriod_Basics#testToString_nullPeriodFormatter,0.013294
45,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMillis,0.013125
46,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMonths,0.013125
47,org.joda.time.format.TestPeriodFormatterBuilder#testFormatDays,0.013125
48,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMinutes,0.013125
49,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSecondsWithOptionalMillis,0.013125
50,org.joda.time.format.TestPeriodFormatterBuilder#testFormatHours,0.013125
51,org.joda.time.format.TestPeriodFormatterBuilder#testFormatWeeks,0.013125
52,org.joda.time.format.TestPeriodFormatterBuilder#testFormatYears,0.013125
53,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSeconds,0.013125
54,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSecondsWithMillis,0.013125
55,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSeparatorIfFieldsBefore,0.012823
56,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSeparatorSimple,0.012823
57,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSeparatorIfFieldsAfter,0.012823
58,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_Printer_null,0.012732
59,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyLast,0.012445
60,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirst,0.012445
61,org.joda.time.format.TestISOPeriodFormat#testFormatAlternateExtendedWithWeeks,0.012349
62,org.joda.time.format.TestPeriodFormatterBuilder#testToFormatterPrinterParser,0.012302
63,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMinDigits,0.012059
64,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixSimple1,0.012010
65,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixSimple2,0.012010
66,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixSuffix,0.012010
67,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixPlural1,0.012010
68,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixPlural2,0.012010
69,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroDefault,0.012010
70,org.joda.time.format.TestISOPeriodFormat#testFormatAlternateWithWeeks,0.011914
71,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixSimple1,0.011647
72,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixSimple2,0.011647
73,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixPlural1,0.011647
74,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixPlural2,0.011647
75,org.joda.time.format.TestPeriodFormatter#testPrint_bufferMethods,0.011555
76,org.joda.time.format.TestPeriodFormatter#testPrint_writerMethods,0.011555
77,org.joda.time.format.TestPeriodFormatParsing#testParseCustom1,0.011496
78,org.joda.time.format.TestISOPeriodFormat#testFormatAlternateExtended,0.011479
79,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroIfSupported,0.011177
80,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroNever,0.011177
81,org.joda.time.format.TestISOPeriodFormat#testFormatAlternate,0.011044
82,org.joda.time.TestMinutes#testFactory_parseMinutes_String,0.011005
83,org.joda.time.TestYears#testFactory_parseYears_String,0.011005
84,org.joda.time.TestMonths#testFactory_parseMonths_String,0.011005
85,org.joda.time.TestPeriod_Constructors#testConstructor_Object_PeriodType1,0.011005
86,org.joda.time.TestPeriod_Constructors#testConstructor_Object1,0.011005
87,org.joda.time.TestDays#testFactory_parseDays_String,0.011005
88,org.joda.time.TestMutablePeriod_Constructors#testConstructor_Object_PeriodType1,0.011005
89,org.joda.time.TestMutablePeriod_Constructors#testConstructor_Object1,0.011005
90,org.joda.time.TestHours#testFactory_parseHours_String,0.011005
91,org.joda.time.format.TestPeriodFormatter#testParseMutablePeriod_simple,0.011005
92,org.joda.time.format.TestPeriodFormatter#testParsePeriod_parseType,0.011005
93,org.joda.time.format.TestPeriodFormatter#testParseInto_simple,0.011005
94,org.joda.time.format.TestPeriodFormatter#testParsePeriod_simple,0.011005
95,org.joda.time.format.TestPeriodFormatterBuilder#testBug2495455,0.011005
96,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard1,0.011005
97,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard2,0.011005
98,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard3,0.011005
99,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard4,0.011005
100,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard5,0.011005
101,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard6,0.011005
102,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard7,0.011005
103,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard8,0.011005
104,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard9,0.011005
105,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandardFail1,0.011005
106,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard10,0.011005
107,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandard11,0.011005
108,org.joda.time.TestWeeks#testFactory_parseWeeks_String,0.011005
109,org.joda.time.TestSeconds#testFactory_parseSeconds_String,0.011005
110,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object1,0.011005
111,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object2,0.011005
112,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object3,0.011005
113,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object4,0.011005
114,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object5,0.011005
115,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object6,0.011005
116,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object7,0.011005
117,org.joda.time.convert.TestStringConverter#testSetIntoPeriod_Object8,0.011005
118,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology1,0.011005
119,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology2,0.011005
120,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology4,0.011005
121,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology5,0.011005
122,org.joda.time.convert.TestStringConverter#testSetIntoIntervalEx_Object_Chronology5,0.011005
123,org.joda.time.format.TestPeriodFormat#test_wordBased_pt_parseTwoFields,0.010570
124,org.joda.time.format.TestPeriodFormat#test_wordBased_de_parseTwoFields,0.010570
125,org.joda.time.format.TestPeriodFormat#test_wordBased_fr_parseTwoFields,0.010570
126,org.joda.time.format.TestPeriodFormat#test_wordBased_es_parseOneField,0.010570
127,org.joda.time.format.TestPeriodFormat#test_wordBased_pt_parseOneField,0.010570
128,org.joda.time.format.TestPeriodFormat#test_wordBased_nl_parseTwoFields,0.010570
129,org.joda.time.format.TestPeriodFormat#test_getDefault_parseOneField,0.010570
130,org.joda.time.format.TestPeriodFormat#test_wordBased_de_parseOneField,0.010570
131,org.joda.time.format.TestPeriodFormat#test_getDefault_parseTwoFields,0.010570
132,org.joda.time.format.TestPeriodFormat#test_wordBased_es_parseTwoFields,0.010570
133,org.joda.time.format.TestPeriodFormat#test_wordBased_nl_parseOneField,0.010570
134,org.joda.time.format.TestPeriodFormat#test_wordBased_fr_parseOneField,0.010570
135,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixSimple3,0.010000
136,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_null_null,0.010000
137,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixPlural3,0.010000
138,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixSimple3,0.010000
139,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixPlural3,0.010000
140,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_Printer_null_null_Parser,0.009688
141,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroAlways,0.009362
142,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandardFail2,0.009305
143,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandardFail3,0.009305
144,org.joda.time.format.TestISOPeriodFormatParsing#testParseStandardFail4,0.009305
145,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParserThenClear,0.009083
146,org.joda.time.TestInterval_Constructors#testConstructor_Object1,0.007566
147,org.joda.time.TestMinutes#testMultipliedBy_int,0.007566
148,org.joda.time.TestMinutes#testGetFieldType,0.007566
149,org.joda.time.TestMinutes#testMinus_Minutes,0.007566
150,org.joda.time.TestMinutes#testDividedBy_int,0.007566
151,org.joda.time.TestMinutes#testSerialization,0.007566
152,org.joda.time.TestMinutes#testPlus_int,0.007566
153,org.joda.time.TestMinutes#testToString,0.007566
154,org.joda.time.TestMinutes#testFactory_minutesBetween_RPartial,0.007566
155,org.joda.time.TestMinutes#testPlus_Minutes,0.007566
156,org.joda.time.TestMinutes#testFactory_minutes_int,0.007566
157,org.joda.time.TestMinutes#testConstants,0.007566
158,org.joda.time.TestMinutes#testToStandardDays,0.007566
159,org.joda.time.TestMinutes#testIsLessThan,0.007566
160,org.joda.time.TestMinutes#testToStandardSeconds,0.007566
161,org.joda.time.TestMinutes#testToStandardDuration,0.007566
162,org.joda.time.TestMinutes#testGetMethods,0.007566
163,org.joda.time.TestMinutes#testToStandardHours,0.007566
164,org.joda.time.TestMinutes#testIsGreaterThan,0.007566
165,org.joda.time.TestMinutes#testToStandardWeeks,0.007566
166,org.joda.time.TestMinutes#testNegated,0.007566
167,org.joda.time.TestMinutes#testAddToLocalDate,0.007566
168,org.joda.time.TestMinutes#testMinus_int,0.007566
169,org.joda.time.TestMinutes#testFactory_minutesBetween_RInstant,0.007566
170,org.joda.time.TestMinutes#testGetPeriodType,0.007566
171,org.joda.time.TestMinutes#testFactory_minutesIn_RInterval,0.007566
172,org.joda.time.TestDuration_Basics#testToStandardMinutes,0.007566
173,org.joda.time.TestDuration_Basics#testToStandardDays,0.007566
