rank,test
1,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSpeedCheck3
2,org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended3
3,org.apache.commons.codec.net.BCodecTest#testUTF8RoundTrip
4,org.apache.commons.codec.digest.HmacUtilsTest#testSha512HMac
5,org.apache.commons.codec.binary.Base32InputStreamTest#testCodec130
6,org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testSoundexBasic3
7,org.apache.commons.codec.language.ColognePhoneticTest#testExamples
8,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakEncode
9,org.apache.commons.codec.digest.DigestUtilsTest#testShaHex
10,org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptStrings
11,org.apache.commons.codec.net.URLCodecTest#testUnsafeEncodeDecode
12,org.apache.commons.codec.net.QCodecTest#testEncodeDecodeBlanks
13,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_BURNS_BOURNE_SuccessfullyMatched
14,org.apache.commons.codec.language.MetaphoneTest#testIsMetaphoneEqualKnight
15,org.apache.commons.codec.binary.HexTest#testCustomCharset
16,org.apache.commons.codec.language.SoundexTest#testDifference
17,org.apache.commons.codec.language.NysiisTest#testTrueVariant
18,org.apache.commons.codec.digest.DigestUtilsTest#testSha384
19,org.apache.commons.codec.digest.Apr1CryptTest#testApr1CryptBytes
20,org.apache.commons.codec.digest.DigestUtilsTest#testSha256
21,org.apache.commons.codec.digest.DigestUtilsTest#testMd2Hex
22,org.apache.commons.codec.binary.BinaryCodecTest#testDecodeObject
23,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestFile[SHA3-512]
24,org.apache.commons.codec.digest.HmacUtilsTest#testMd5HMac
25,org.apache.commons.codec.digest.HmacUtilsTest#testSha256HMac
26,org.apache.commons.codec.digest.DigestUtilsTest#testMd5Hex
27,org.apache.commons.codec.digest.HmacUtilsTest#testSha384HMac
28,org.apache.commons.codec.digest.HmacUtilsTest#testGetHMac
29,org.apache.commons.codec.digest.HmacUtilsTest#testSha1HMac
30,org.apache.commons.codec.digest.PureJavaCrc32Test#testCorrectness
31,org.apache.commons.codec.binary.Base64InputStreamTest#testAvailable
32,org.apache.commons.codec.binary.HexTest#testEncodeHexByteBufferHelloWorldUpperCaseHex
33,org.apache.commons.codec.digest.DigestUtilsTest#testSha224
34,org.apache.commons.codec.language.RefinedSoundexTest#testDifference
35,org.apache.commons.codec.digest.DigestUtilsTest#testSha512HexInputStream
36,org.apache.commons.codec.language.Caverphone2Test#testEncodeWithInvalidObject
37,org.apache.commons.codec.binary.StringUtilsTest#testNewStringNullInput_CODEC229
38,org.apache.commons.codec.digest.PureJavaCrc32CTest#testOnes
39,org.apache.commons.codec.binary.Base64Test#testByteToStringVariations
40,org.apache.commons.codec.digest.CryptTest#testDefaultCryptVariant
41,org.apache.commons.codec.StringEncoderComparatorTest#testComparatorWithDoubleMetaphone
42,org.apache.commons.codec.binary.Base32OutputStreamTest#testBase32OutputStreamByteByByte
43,org.apache.commons.codec.binary.Base64Test#testCodeInteger2
44,org.apache.commons.codec.digest.HmacAlgorithmsTest#testInitializedMac[HmacSHA1]
45,org.apache.commons.codec.language.Caverphone1Test#testIsCaverphoneEquals
46,org.apache.commons.codec.net.QuotedPrintableCodecTest#testDecodeObjects
47,org.apache.commons.codec.binary.Base64Test#testIsUrlSafe
48,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testInvalidLangIllegalArgumentException
49,org.apache.commons.codec.binary.Base32Test#testBase32SamplesNonDefaultPadding
50,org.apache.commons.codec.binary.Base64Test#testStringToByteVariations
51,org.apache.commons.codec.language.bm.LanguageGuessingTest#testLanguageGuessing[Nuñez-spanish-{2}]
52,org.apache.commons.codec.binary.Base64OutputStreamTest#testWriteOutOfBounds
53,org.apache.commons.codec.binary.BinaryCodecTest#testEncodeObject
54,org.apache.commons.codec.binary.HexTest#testEncodeClassCastException
55,org.apache.commons.codec.binary.BaseNCodecTest#testIsInAlphabetString
56,org.apache.commons.codec.net.BCodecTest#testDecodeObjects
57,org.apache.commons.codec.net.QuotedPrintableCodecTest#testDefaultEncoding
58,org.apache.commons.codec.language.bm.LanguageGuessingTest#testLanguageGuessing[ácz-any-{2}]
59,org.apache.commons.codec.binary.Base32InputStreamTest#testMarkSupported
60,org.apache.commons.codec.binary.StringUtilsTest#testGetBytesUncheckedBadName
61,org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testEncodeEmpty
62,org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptWithoutSalt
63,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testEncodeEmpty
64,org.apache.commons.codec.binary.HexTest#testEncodeHexByteBufferEmpty
65,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSetConcat
66,org.apache.commons.codec.digest.Sha256CryptTest#testSha256CryptNullData
67,org.apache.commons.codec.digest.DigestUtilsTest#testShaUpdateWithByteArray
68,org.apache.commons.codec.binary.BinaryCodecTest#testEncodeByteArray
69,org.apache.commons.codec.digest.Md5CryptTest#testMd5CryptNullData
70,org.apache.commons.codec.CharsetsTest#testToCharset
71,org.apache.commons.codec.digest.DigestUtilsTest#testSha512
72,org.apache.commons.codec.binary.Base64Test#testObjectEncodeWithInvalidParameter
73,org.apache.commons.codec.DecoderExceptionTest#testConstructorStringThrowable
74,org.apache.commons.codec.language.SoundexTest#testEncodeWithInvalidObject
75,org.apache.commons.codec.binary.Base64InputStreamTest#testRead0
76,org.apache.commons.codec.binary.HexTest#testEncodeHexByteString_ByteArrayBoolean_ToLowerCase
77,org.apache.commons.codec.binary.StringUtilsTest#testConstructor
78,org.apache.commons.codec.binary.StringUtilsTest#testNewStringUtf16
79,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSetRuleTypeExact
80,org.apache.commons.codec.language.Caverphone2Test#testCaverphoneRevisitedExamples
81,org.apache.commons.codec.binary.Base32Test#testBase32Chunked
82,org.apache.commons.codec.binary.HexTest#testCustomCharsetToString
83,org.apache.commons.codec.language.ColognePhoneticTest#testEncodeWithInvalidObject
84,org.apache.commons.codec.language.MetaphoneTest#testSetMaxLengthWithTruncation
85,org.apache.commons.codec.language.MetaphoneTest#testLocaleIndependence
86,org.apache.commons.codec.net.RFC1522CodecTest#testNullInput
87,org.apache.commons.codec.digest.HmacUtilsTest#testHmacSha1UpdateWithInpustream
88,org.apache.commons.codec.DecoderExceptionTest#testConstructorThrowable
89,org.apache.commons.codec.binary.Base64Test#testKnownEncodings
90,org.apache.commons.codec.binary.Base64OutputStreamTest#testBase64OutputStreamByChunk
91,org.apache.commons.codec.EncoderExceptionTest#testConstructorThrowable
92,org.apache.commons.codec.language.DoubleMetaphoneTest#testLocaleIndependence
93,org.apache.commons.codec.language.DoubleMetaphoneTest#testSetMaxCodeLength
94,org.apache.commons.codec.language.MetaphoneTest#testEncodeEmpty
95,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestByteBuffer[SHA-1]
96,org.apache.commons.codec.digest.HmacUtilsTest#testHmacSha1UpdateWithByteArray
97,org.apache.commons.codec.digest.DigestUtilsTest#testSha1UpdateWithByteBuffer
98,org.apache.commons.codec.net.QCodecTest#testEncodeObjects
99,org.apache.commons.codec.language.RefinedSoundexTest#testEncodeWithInvalidObject
100,org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptWithHalfSalt
101,org.apache.commons.codec.digest.CryptTest#testCrypt
102,org.apache.commons.codec.binary.Base64Test#testUrlSafe
