rank,test
1,org.apache.commons.codec.binary.Base64Test#testDecodePadOnly
2,org.apache.commons.codec.language.DoubleMetaphoneTest#testCodec184
3,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_FRANCISZEK_FRANCES_SuccessfullyMatched
4,org.apache.commons.codec.digest.HmacAlgorithmsTest#testHmacFailInputStream[HmacSHA1]
5,org.apache.commons.codec.binary.Base32Test#testBase64AtBufferEnd
6,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testisEncodeEquals_CornerCase_SecondNameJustSpace_ReturnsFalse
7,org.apache.commons.codec.binary.Base64Test#testRfc4648Section10DecodeWithCrLf
8,org.apache.commons.codec.language.DoubleMetaphone2Test#testEncodeEmpty
9,org.apache.commons.codec.binary.Base32InputStreamTest#testAvailable
10,org.apache.commons.codec.language.ColognePhoneticTest#testAychlmajrForCodec122
11,org.apache.commons.codec.digest.HmacAlgorithmsTest#testGetHmacNullKey[HmacSHA256]
12,org.apache.commons.codec.digest.DigestUtilsTest#testMd5HexLengthForBytes
13,org.apache.commons.codec.language.RefinedSoundexTest#testEncodeWithInvalidObject
14,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_STEPHEN_STEVEN_SuccessfullyMatched
15,org.apache.commons.codec.language.MetaphoneTest#testWhy
16,org.apache.commons.codec.binary.Base32Test#testRandomBytesHex
17,org.apache.commons.codec.digest.HmacUtilsTest#testSha512HMacFail
18,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestInputStream[SHA-512]
19,org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacHexString[HmacSHA384]
20,org.apache.commons.codec.digest.HmacAlgorithmsTest#testGetHmacNullKey[HmacSHA512]
21,org.apache.commons.codec.language.ColognePhoneticTest#testEdgeCases
22,org.apache.commons.codec.binary.Base32InputStreamTest#testReadOutOfBounds
23,org.apache.commons.codec.digest.HmacAlgorithmsTest#testHmacHexFailByteArray[HmacSHA256]
24,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch
25,org.apache.commons.codec.language.MetaphoneTest#testMetaphone
26,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched
27,org.apache.commons.codec.net.QuotedPrintableCodecTest#testDecodeStringWithNull
28,org.apache.commons.codec.language.SoundexTest#testEncodeEmpty
29,org.apache.commons.codec.language.bm.LanguageGuessingTest#testLanguageGuessing[Renault-french-{2}]
30,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched
31,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testGetMessageDigest[SHA3-224]
32,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakDecode
33,org.apache.commons.codec.binary.Base64Test#testIgnoringNonBase64InDecode
34,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestByteBuffer[SHA-1]
35,org.apache.commons.codec.language.Caverphone2Test#testIsCaverphoneEquals
36,org.apache.commons.codec.net.QCodecTest#testLetUsMakeCloverHappy
37,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testEncodeEmpty
38,org.apache.commons.codec.binary.HexTest#testEncodeClassCastException
39,org.apache.commons.codec.language.SoundexTest#testSoundexUtilsConstructable
40,org.apache.commons.codec.binary.Base64Test#testChunkedEncodeMultipleOf76
41,org.apache.commons.codec.binary.HexTest#testDecodeClassCastException
42,org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacByteArary[HmacSHA256]
43,org.apache.commons.codec.digest.HmacAlgorithmsTest#testHmacHexFailByteArray[HmacSHA1]
44,org.apache.commons.codec.digest.Sha512CryptTest#testSha256LargetThanBlocksize
45,org.apache.commons.codec.language.Caverphone1Test#testEncodeWithInvalidObject
46,org.apache.commons.codec.binary.Base64Test#testBase64AtBufferMiddle
47,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testAccentRemoval_ComprehensiveAccentMix_AllSuccessfullyRemoved
48,org.apache.commons.codec.digest.DigestUtilsTest#testSha384
49,org.apache.commons.codec.digest.PureJavaCrc32CTest#testZeros
50,org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacByteArary[HmacMD5]
51,org.apache.commons.codec.digest.HmacAlgorithmsTest#testHmacFailString[HmacSHA1]
52,org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacString[HmacSHA1]
53,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestByteBuffer[MD5]
54,org.apache.commons.codec.digest.DigestUtilsTest#testSha224
55,org.apache.commons.codec.digest.DigestUtilsTest#testShaUpdateWithByteArray
56,org.apache.commons.codec.net.QuotedPrintableCodecTest#testEncodeStringWithNull
57,org.apache.commons.codec.net.BCodecTest#testDecodeStringWithNull
58,org.apache.commons.codec.language.SoundexTest#testUsMappingOWithDiaeresis
59,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testisEncodeEquals_CornerCase_FirstNameNothing_ReturnsFalse
60,org.apache.commons.codec.binary.BinaryCodecTest#testToByteArrayFromString
61,org.apache.commons.codec.language.NysiisTest#testTrueVariant
62,org.apache.commons.codec.language.SoundexTest#testEncodeBatch4
63,org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testSpecialRomanianCharacters
64,org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualBasic
65,org.apache.commons.codec.binary.Base64InputStreamTest#testCodec98NPE
66,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testleftTorightThenRightToLeft_ALEXANDER_ALEXANDRA_Returns4
67,org.apache.commons.codec.digest.Apr1CryptTest#testApr1CryptWithoutSalt
68,org.apache.commons.codec.binary.Base32InputStreamTest#testCodec130
69,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testGetFirstLast3_PETE_Returns_PETE
70,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testGetMessageDigest[SHA-256]
71,org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_SAM_SAMUEL_SuccessfullyMatched
72,org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestFile[SHA-512]
73,org.apache.commons.codec.net.QuotedPrintableCodecTest#testFinalBytes
