rank,test
1,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSpeedCheck3
2,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testAsciiEncodeNotEmpty2Letters
3,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testEncodeAtzNotEmpty
4,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSpeedCheck2
5,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testAllChars
6,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSpeedCheck
7,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testLongestEnglishSurname
8,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testAsciiEncodeNotEmpty1Letter
9,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testOOM
10,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testEncodeGna
11,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[Judenburg-iudnbYrk|iudnbirk|iudnburk|xudnbirk|xudnburk|zudnbirk|zudnburk-GENERIC-APPROX]
12,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#testSolrGENERIC
13,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#testCompatibilityWithOriginalVersion
14,org.apache.commons.codec.language.bm.PhoneticEnginePerformanceTest#test
15,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#testSolrASHKENAZI
16,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[Renault-rinD|rinDlt|rina|rinalt|rino|rinolt|rinu|rinult-GENERIC-APPROX]
17,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[Renault-rYnDlt|rYnalt|rYnult|rinDlt|rinalt|rinolt|rinult-ASHKENAZI-APPROX]
18,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[d'ortley-(ortlaj|ortlej)-(dortlaj|dortlej)-GENERIC-EXACT]
19,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[Renault-rinDlt-ASHKENAZI-APPROX]
20,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#testSolrSEPHARDIC
21,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[van helsing-(elSink|elsink|helSink|helsink|helzink|xelsink)-(banhelsink|fanhelsink|fanhelzink|vanhelsink|vanhelzink|vanjelsink)-GENERIC-EXACT]
22,org.apache.commons.codec.language.bm.PhoneticEngineTest#testEncode[SntJohn-Smith-sntjonsmit-GENERIC-EXACT]
23,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testLocaleIndependence
