rank,test
1,org.apache.commons.csv.CSVFileParserTest#testCSVFile[1]
2,org.apache.commons.csv.CSVPrinterTest#testRandomTdf
3,org.apache.commons.csv.CSVPrinterTest#testParseCustomNullValues
4,org.apache.commons.csv.CSVFileParserTest#testCSVFile[3]
5,org.apache.commons.csv.CSVPrinterTest#testMySqlNullOutput
6,org.apache.commons.csv.CSVFileParserTest#testCSVFile[5]
7,org.apache.commons.csv.CSVFileParserTest#testCSVFile[4]
8,org.apache.commons.csv.CSVFileParserTest#testCSVFile[2]
9,org.apache.commons.csv.CSVPrinterTest#testRandomRfc4180
10,org.apache.commons.csv.CSVPrinterTest#testRandomExcel
11,org.apache.commons.csv.CSVPrinterTest#testRandomDefault
12,org.apache.commons.csv.CSVParserTest#testRoundtrip
13,org.apache.commons.csv.CSVFileParserTest#testCSVFile[0]
14,org.apache.commons.csv.CSVPrinterTest#testRandomMySql
15,org.apache.commons.csv.CSVParserTest#testTrailingDelimiter
16,org.apache.commons.csv.issues.JiraCsv198Test#test
17,org.apache.commons.csv.CSVParserTest#testTrim
18,org.apache.commons.csv.CSVParserTest#testMappedButNotSetAsOutlook2007ContactExport
19,org.apache.commons.csv.CSVParserTest#testGetHeaderMap
20,org.apache.commons.csv.CSVParserTest#testClose
21,org.apache.commons.csv.CSVParserTest#testHeaderComment
22,org.apache.commons.csv.CSVParserTest#testBackslashEscaping
23,org.apache.commons.csv.CSVRecordTest#testToMapWithShortRecord
24,org.apache.commons.csv.CSVParserTest#testDefaultFormat
25,org.apache.commons.csv.CSVParserTest#testProvidedHeaderAuto
26,org.apache.commons.csv.CSVParserTest#testProvidedHeader
27,org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithLF
28,org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithCRLF
29,org.apache.commons.csv.CSVRecordTest#testToMapWithNoHeader
30,org.apache.commons.csv.CSVParserTest#testSkipSetHeader
31,org.apache.commons.csv.CSVParserTest#testSkipSetAltHeaders
32,org.apache.commons.csv.CSVParserTest#testSkipHeaderOverrideDuplicateHeaders
33,org.apache.commons.csv.CSVParserTest#testIgnoreCaseHeaderMapping
34,org.apache.commons.csv.CSVParserTest#testHeaderMissing
35,org.apache.commons.csv.CSVParserTest#testHeader
36,org.apache.commons.csv.CSVParserTest#testGetRecords
37,org.apache.commons.csv.CSVParserTest#testMultipleIterators
38,org.apache.commons.csv.CSVParserTest#testGetLine
39,org.apache.commons.csv.CSVParserTest#testExcelHeaderCountLessThanData
40,org.apache.commons.csv.CSVParserTest#testSkipAutoHeader
41,org.apache.commons.csv.CSVParserTest#testExcelFormat1
42,org.apache.commons.csv.CSVParserTest#testEndOfFileBehaviourExcel
43,org.apache.commons.csv.CSVParserTest#testEndOfFileBehaviorCSV
44,org.apache.commons.csv.CSVParserTest#testEmptyLineBehaviourExcel
45,org.apache.commons.csv.CSVParserTest#testEmptyLineBehaviourCSV
46,org.apache.commons.csv.CSVParserTest#testIterator
47,org.apache.commons.csv.CSVParserTest#testGetRecordWithMultiLineValues
48,org.apache.commons.csv.CSVParserTest#testBackslashEscaping2
49,org.apache.commons.csv.CSVParserTest#testIteratorSequenceBreaking
50,org.apache.commons.csv.CSVParserTest#testForEach
51,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineCrLf
52,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineCr
53,org.apache.commons.csv.perf.PerformanceTest#testParseBigFileRepeat
54,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithCRLF
55,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithCR
56,org.apache.commons.csv.CSVParserTest#testFirstEndOfLineLf
57,org.apache.commons.csv.CSVParserTest#testExcelFormat2
58,org.apache.commons.csv.CSVParserTest#testIgnoreEmptyLines
59,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithCRLF
60,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithCR
61,org.apache.commons.csv.CSVParserTest#testGetLineNumberWithLF
62,org.apache.commons.csv.CSVParserTest#testCarriageReturnLineFeedEndings
63,org.apache.commons.csv.CSVParserTest#testCarriageReturnEndings
64,org.apache.commons.csv.CSVParserTest#testLineFeedEndings
65,org.apache.commons.csv.CSVParserTest#testHeadersMissing
66,org.apache.commons.csv.CSVParserTest#testHeaderMissingWithNull
67,org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithLF
68,org.apache.commons.csv.CSVParserTest#testGetOneLineOneParser
69,org.apache.commons.csv.CSVParserTest#testGetOneLine
70,org.apache.commons.csv.CSVParserTest#testHeadersMissingException
71,org.apache.commons.csv.CSVParserTest#testDuplicateHeaders
72,org.apache.commons.csv.CSVFormatTest#testWithHeaderComments
73,org.apache.commons.csv.CSVParserTest#testCSV57
74,org.apache.commons.csv.LexerTest#testNextToken6
