rank,test
1,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled
2,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testBooleans
3,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testDoubles
4,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsWithUTF8
5,com.fasterxml.jackson.core.json.async.ConfigTest#testAsyncParerDefaults
6,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testEscapedFieldNames
7,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail
8,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray
9,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testUtf8BOMHandling
10,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testShortUnicodeWithSurrogates
11,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCppCommentsEnabled
12,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testSymbolTable
13,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testTokenRootTokens
14,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsObject
15,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testInts
16,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testNonStandardNameChars
17,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testYAMLCommentsEnabled
18,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testDisallowInf
19,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific
20,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsArray
21,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsRootValue
22,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest#test8DigitSequence
23,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest#testMissingLinefeedEscaping
24,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest#testSimpleEscaping
25,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsEnabled
26,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCommentsDisabled
27,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCommentsEnabled
28,com.fasterxml.jackson.core.json.async.AsyncConcurrencyTest#testConcurrentAsync
29,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testSimpleFieldNames
30,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testHandlingOfInvalidSpace
31,com.fasterxml.jackson.core.json.async.AsyncLocationTest#testLocationOffsets
32,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features [ALLOW_MISSING_VALUES]]
33,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features [ALLOW_TRAILING_COMMA]]
34,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features []]
35,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features [ALLOW_MISSING_VALUES]]
36,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features [ALLOW_TRAILING_COMMA]]
37,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features []]
38,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features [ALLOW_MISSING_VALUES]]
39,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features [ALLOW_TRAILING_COMMA]]
40,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features []]
41,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features [ALLOW_MISSING_VALUES]]
42,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features [ALLOW_TRAILING_COMMA]]
43,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features []]
44,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommas[Features [ALLOW_MISSING_VALUES]]
45,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommas[Features [ALLOW_TRAILING_COMMA]]
46,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommas[Features []]
47,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_MISSING_VALUES]]
48,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_TRAILING_COMMA]]
49,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features []]
50,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_MISSING_VALUES]]
51,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_TRAILING_COMMA]]
