rank,test
1,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCommentsEnabled
2,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsObject
3,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInObject
4,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testBigIntegers
5,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail
6,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features [ALLOW_TRAILING_COMMA]]
7,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testAllowInf
8,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features []]
9,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray
10,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testLargeUnquotedNames
11,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features [ALLOW_TRAILING_COMMA]]
12,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledRootFloats
13,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToIntFailing
14,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_TRAILING_COMMA]]
15,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features []]
16,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features [ALLOW_MISSING_VALUES]]
17,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testShortAsciiStrings
18,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testFloats
19,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testMixedRootSequence
20,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest#testFilteredNonBlockingParserAllContent
21,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testLongUnicodeWithSurrogates
22,com.fasterxml.jackson.core.json.async.ConfigTest#testAsyncParerDefaults
23,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testTokenRootSequence
24,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootInts
25,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCommentsDisabled
26,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testHandlingOfInvalidSpace
27,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features []]
28,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedArray
29,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToDoubleCoercion
30,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testDisallowNaN
31,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features [ALLOW_MISSING_VALUES]]
32,com.fasterxml.jackson.core.json.async.AsyncConcurrencyTest#testConcurrentAsync
33,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest#testSkipChildrenFailOnSplit
34,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedObject
35,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testDoubles
36,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testUtf8BOMHandling
37,com.fasterxml.jackson.core.json.async.AsyncStringObjectTest#testBasicFieldsNames
38,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific
39,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testSimpleFieldNames
40,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootFloats
41,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommas[Features []]
42,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingDisabled
43,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testLongNames
44,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testLongAsciiStrings
45,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsWithUTF8
46,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testEvenLongerName
47,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToBigIntegerCoercion
48,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSingleQuotesEscaped
49,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testShortUnicodeWithSurrogates
50,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features []]
51,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features []]
52,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledRootInts
