rank,test
1,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled
2,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testBooleans
3,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInObject
4,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testMixedRootSequence
5,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray
6,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testShortUnicodeWithSurrogates
7,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testLongUnicodeWithSurrogates
8,com.fasterxml.jackson.core.json.async.AsyncStringObjectTest#testBasicFieldsNames
9,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testNumbers
10,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testYAMLCommentsEnabled
11,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSimpleUnquotedNames
12,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testSimpleFieldNames
13,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testNonStandardNameChars
14,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsObject
15,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray2
16,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testEscapedFieldNames
17,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testDoubles
18,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testLargeUnquotedNames
19,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features [ALLOW_TRAILING_COMMA]]
20,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features []]
21,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_TRAILING_COMMA]]
22,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_MISSING_VALUES]]
23,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCppCommentsEnabled
24,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsEnabled
25,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testTokens
26,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testInts
27,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingCommas[Features []]
28,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingCommas[Features [ALLOW_TRAILING_COMMA]]
29,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingCommas[Features [ALLOW_MISSING_VALUES]]
30,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features []]
31,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features [ALLOW_MISSING_VALUES]]
32,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testFloats
33,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testSymbolTable
34,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testLongNames
35,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testEvenLongerName
36,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features []]
37,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_TRAILING_COMMA]]
38,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_MISSING_VALUES]]
39,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartOk
40,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsWithUTF8
41,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail
42,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest#testFilteredNonBlockingParserAllContent
43,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testShortUnicodeStrings
44,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testLongUnicodeStrings
45,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific
46,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testLongAsciiStrings
47,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testBigDecimals
48,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesSimple
49,com.fasterxml.jackson.core.json.async.AsyncNumberLeadingZeroesTest#testLeadingZeroesFloat
50,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testAllowInf
51,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsArray
52,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testTokenRootSequence
53,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootInts
54,com.fasterxml.jackson.core.json.async.AsyncNumberLeadingZeroesTest#testLeadingZeroesInt
