rank,test
1,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString
2,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls
3,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection
4,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667
5,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays
6,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip
7,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization
8,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk
9,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid
10,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings
11,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541
12,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults
13,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections
14,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections
15,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections
16,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet
17,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection
18,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays
19,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings
20,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging
21,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging
22,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging
23,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip
24,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations
25,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase
26,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists
27,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray
28,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2
29,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject
30,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString
31,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys
32,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind
33,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead
34,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride
35,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties
36,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743
