rank,test
1,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists
2,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString
3,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase
4,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2
5,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections
6,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip
7,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead
8,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections
9,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray
10,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays
11,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet
12,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections
13,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging
14,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations
15,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection
16,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString
17,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667
18,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind
19,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys
20,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings
21,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride
22,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays
23,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip
24,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization
25,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging
26,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties
27,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid
28,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls
29,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection
30,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541
31,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743
32,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject
33,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging
34,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults
35,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk
36,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings
