rank,test
1,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString
2,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead
3,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667
4,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays
5,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls
6,com.fasterxml.jackson.databind.type.TypeAliasesTest#testAliasResolutionIssue743
7,com.fasterxml.jackson.databind.type.TestTypeFactory#testSneakyBeanProperties
8,com.fasterxml.jackson.databind.type.PolymorphicList036Test#testPolymorphicWithOverride
9,com.fasterxml.jackson.databind.node.TestTreeTraversingParser#testDataBind
10,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer#testWithEnumKeys
11,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithObject
12,com.fasterxml.jackson.databind.jsontype.TestAbstractContainers#testAbstractLists
13,com.fasterxml.jackson.databind.introspect.TestNamingStrategyCustom#testLowerCase
14,com.fasterxml.jackson.databind.introspect.TestJacksonAnnotationIntrospector#testSerializeDeserializeWithJaxbAnnotations
15,com.fasterxml.jackson.databind.format.CollectionFormatShapeTest#testListAsObjectRoundtrip
16,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testIterableWithStrings
17,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testExactStringCollection
18,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testAbstractListAndSet
19,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsSkipWithCollections
20,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testNullsAsEmptyWithCollections
21,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullWithCollections
22,com.fasterxml.jackson.databind.deser.filter.NullConversionsForContentTest#testFailOnNullFromDefaults
23,com.fasterxml.jackson.databind.deser.creators.TestCreators3#testCreator541
24,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreator2324Test#testDeserializeBagOfStrings
25,com.fasterxml.jackson.databind.deser.TestValueAnnotations#testOverrideClassValid
26,com.fasterxml.jackson.databind.deser.TestOverloaded#testSpecialization
27,com.fasterxml.jackson.databind.RoundtripTest#testMedaItemRoundtrip
28,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays
29,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testListMerging
30,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testGenericListMerging
31,com.fasterxml.jackson.databind.deser.merge.CollectionMergeTest#testCollectionMerging
32,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection
33,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk
34,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString
35,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2
36,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray
