rank,test
1,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest#testRoundtrip
2,com.fasterxml.jackson.dataformat.xml.failing.TypeAttributeOrder242Test#testAttributeOrder
3,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testAsTextWithJAXB
4,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testMapperCopy
5,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsPropertyWithObjectId
6,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingWithAttribute
7,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability#testXmlFactory
8,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidComment
9,com.fasterxml.jackson.dataformat.xml.deser.DeserErrorHandling236Test#testExceptionWrapping
10,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testRoundTripWithJacksonExample
11,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest#testSimple
12,com.fasterxml.jackson.dataformat.xml.incr.PartialReadTest#testSimpleRead
13,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample
14,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith3Bytes
15,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty2
16,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringWithAttribute
17,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testListViaObjectReader
18,com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest#testEmptyElement
19,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testAlternateTextElementName
20,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsClassArray
21,com.fasterxml.jackson.dataformat.xml.VersionInfoTest#testMapperVersions
22,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual#testIssue54
23,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testNested
24,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleValue
25,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability#testMapper
26,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testNullXform
27,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testArraySerialization
28,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArratAttribute
29,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue44
30,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testXmlAttributes
31,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedList
32,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetAttribute
33,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testSimpleWithEmpty
34,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testWriteToFile
35,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataStringArray
36,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty
37,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest#testEmptyString162
38,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test#testPolyIdList178
39,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testSimpleValidDoctype
40,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testMultiLevel172
41,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testCopyWith
42,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testMapperSerialization
43,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testSerializerProviderCopy
44,com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute#testEmptyStringFromElemAndAttr
45,com.fasterxml.jackson.dataformat.xml.deser.CaseInsensitiveDeserTest#testCaseInsensitive1036
46,com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest#testEmptyString162
47,com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest#testEmptyStringElement
48,com.fasterxml.jackson.dataformat.xml.deser.Issue274PropertyNameTest#testIssue274
49,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToEmptyArrays
50,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToEmptyPojo
51,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToGenericPojo
52,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest#testSkipNullField1
53,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest#testSkipNullField2
54,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest#testSkipNullMethod1
55,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest#testSkipNullMethod2
56,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsSkipTest#testSkipNullWithDefaults
57,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testEmptyElementToString
58,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testMissingString
59,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testSimpleStringElement
60,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringArrayWithAttribute
61,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsInList
62,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsWithAttribute
63,com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData#testTwoBinaryProps
64,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testFromAttribute
65,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testMapWithAttr
66,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testMissingOptionalAttr
67,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testOptionalAttr
68,com.fasterxml.jackson.dataformat.xml.deser.TestEnums#testEnum
69,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue7
70,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression
71,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testEmptyTags
72,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testRootAttributes
73,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStreamTest#testSimple
74,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testBuilderMethodReturnMoreGeneral
75,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testBuilderMethodReturnMoreSpecific
76,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testCustomWith
77,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testImmutable
78,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testMultiAccess
79,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testPOJOConfigResolution1557
80,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testSelfBuilder777
81,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testSimple
82,com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest#testSimpleWithIgnores
83,com.fasterxml.jackson.dataformat.xml.failing.CaseInsensitiveDeser273Test#testCaseInsensitiveComplex
84,com.fasterxml.jackson.dataformat.xml.failing.EmptyListDeser124Test#test124
85,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121
86,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testUntypedEnum
87,com.fasterxml.jackson.dataformat.xml.failing.FailingDelegatingCreator254Test#testIntList
88,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap
89,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation
90,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation_nonJaxb
91,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap_nonJaxb
92,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMap
93,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMapSimpleAnnotation
94,com.fasterxml.jackson.dataformat.xml.failing.ListDeser294Test#testNestedLists294
95,com.fasterxml.jackson.dataformat.xml.failing.MixedContentTreeRead226Test#testMixed226
96,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsWrappedClassArray
97,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicList97Test#testBad
98,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicList97Test#testGood
99,com.fasterxml.jackson.dataformat.xml.failing.TestConflictingGetters#testIssue27
100,com.fasterxml.jackson.dataformat.xml.failing.TestDeserialization#testEmptyStringFromElemAndAttr
101,com.fasterxml.jackson.dataformat.xml.failing.TestEmptyContent#testNoContent
102,com.fasterxml.jackson.dataformat.xml.failing.TestUntypedListSerialization#testListAsObject
103,com.fasterxml.jackson.dataformat.xml.failing.TestUnwrappedDeserIssue86#testDeserializeUnwrappedListWhenLocalNameForRootElementAndXmlPropertyMatch
104,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testAttributeAndElement
105,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest#testTwoAttributes
106,com.fasterxml.jackson.dataformat.xml.jaxb.BuilderWithJAXB291Test#testBuilder291
107,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testElementWrapper
108,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testNoElementWrapper
109,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testPersonAsXml
110,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testRootName
111,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testSerializeAsAttr
112,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test#testPolyIdList178
113,com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest#testEmptyList
114,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testOptionalsWithMissingType
115,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testWithTwoAttributes
116,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing
117,com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest#testCollection
118,com.fasterxml.jackson.dataformat.xml.lists.ListDeser191Test#testListDeser
119,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testUnwrappedListBeanDeser
120,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListBeanDeser
121,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithAttribute
122,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithGetters
123,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testListWithAttrOnlyValues
124,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testOptionals
125,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testParentListRoundtrip
126,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testSimpleWrappedList
127,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testStringList
128,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIdsFromAttributes
129,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIssue43
130,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testListWithAttributes
131,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test#testNestedUnwrappedLists180
132,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2
133,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2b
134,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested2_1
135,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty
136,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testListSerialization
137,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testRenamedRootItem
138,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test#testListWithEmptyCData
139,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrapping
140,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrappingWithEmptyLists
141,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testOptionalsWithMissingType
142,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testUnwrappedLists
143,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists
144,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList
145,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testArrayIdentityTransforms
146,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testByteArrayFrom
147,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testIntArrayToX
148,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testListAsProperty
149,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testListToIntArray
150,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testLongArrayToX
